horizon,b_mp_shock,se_mp_shock,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,0.4801572755812019,0.40671516999433044,-1.4078048023858558,1.4105208258183797,-3.7279050986238023,0.9122954938520909,-0.532113563387116,0.9654184927014643,-2.1200856726331425,1.0558585458589103,2673,cumulative,lag2,contractionary
1,-0.31938008051266437,0.26337752262359787,-0.4106611070703923,0.7314054601458386,-1.613716030963385,0.7923938168226003,1.5908228769843942,0.8474938103699736,0.19681960917842045,2.984826144790368,2646,cumulative,lag2,contractionary
2,-0.3270667334133201,0.33921972297632946,1.1763203883029767,0.992409796012027,-0.4560484640895759,2.8086892406955295,0.509470499865773,1.161582066583497,-1.401161975355878,2.4201029750874237,2619,cumulative,lag2,contractionary
3,0.5657626957136744,0.45272636379216824,-0.05735347276596644,1.4662222330757089,-2.469074430757432,2.354367485225499,-1.8648478695766784,1.0295939388303876,-3.5583791941490928,-0.17131654500426374,2592,cumulative,lag2,contractionary
4,-0.35882566961531087,0.25620262818420386,1.0827095907930355,0.9918666456983242,-0.5487658588360431,2.714185040422114,0.4264943901664194,0.6699626698979242,-0.6754961373372728,1.5284849176701114,2565,cumulative,lag2,contractionary
5,-0.5572096535584805,0.42870950582927,0.5643131435421584,1.6023836644479075,-2.071373438692772,3.1999997257770887,1.699861672156647,1.4472099745508533,-0.6805869034436709,4.080310247756965,2538,cumulative,lag2,contractionary
6,1.3363808344480155,0.5200729411798432,-1.407177669309395,1.521400438827366,-3.9096586991601483,1.0953033605413585,-3.8593936133842566,1.3462111310595748,-6.073713874950041,-1.6450733518184721,2511,cumulative,lag2,contractionary
7,0.07898007519192324,0.30350943227627664,-1.534882317767892,1.1628906690758771,-3.447667252545372,0.3779026170095878,0.8340832412141824,0.9286335358342777,-0.6933829983115986,2.3615494807399635,2484,cumulative,lag2,contractionary
8,0.1731411631720494,0.36419417418569916,-2.503713664083071,1.0796066604697099,-4.2795085952376395,-0.7279187329285028,1.3539354707255284,1.3254551295785626,-0.8262442065232027,3.5341151479742594,2457,cumulative,lag2,contractionary
9,0.5282867386322737,0.4466377923714253,-0.8911884567703504,1.4683331932548473,-3.306381635268822,1.524004721728121,-1.3076708279227733,1.2875106108362282,-3.4254373258952477,0.8100956700497011,2430,cumulative,lag2,contractionary
10,-0.0529825899050956,0.3973595250426637,-1.608810416752788,1.44724143906062,-3.9893107468661158,0.7716899133605399,1.4625808943625542,1.2437547236245048,-0.5832135738292377,3.508375362554346,2403,cumulative,lag2,contractionary
11,-0.11787129714352612,0.4814508592083881,-0.30156748307991516,1.3754651345326294,-2.564006298361204,1.960871332201374,0.6706811644973802,1.857378149937036,-2.3844340220469675,3.725796351041728,2376,cumulative,lag2,contractionary
12,0.43512281098656364,0.4522457676198627,0.2555773164753137,1.3814488699663745,-2.016703867736889,2.5278585006875165,-2.065586017972925,1.394954414954099,-4.360081846842143,0.22890981089629303,2349,cumulative,lag2,contractionary
13,-0.4550364381797442,0.3975392327865423,-1.1045269786239016,1.239426925358225,-3.143202852140689,0.9341488948928858,2.2551802192464017,1.3640445922458946,0.011526524367200697,4.498833914125603,2322,cumulative,lag2,contractionary
14,-0.07269838758897992,0.5663808574479328,-2.0393929987021515,1.4815507233575316,-4.476327079529364,0.39754108212506045,1.8267972299360835,1.9618235893982856,-1.400115416524641,5.053709876396808,2295,cumulative,lag2,contractionary
15,0.27093170389850385,0.3424785524178836,0.4865420811121876,1.3113642911681618,-1.6704602294704087,2.643544391694784,-1.6554353628879703,1.169212030900429,-3.5786180125898372,0.26774728681389637,2268,cumulative,lag2,contractionary
16,-0.4198132364801227,0.3652630172099476,-2.062721125724136,1.4835941825124697,-4.503016397753875,0.37757414630560326,2.90190767219333,0.9125613893080949,1.4008777611740362,4.402937583212624,2241,cumulative,lag2,contractionary
17,0.9504607396994661,0.4760739861397555,-2.9641526810951353,1.497470414638067,-5.427272323865084,-0.5010330383251866,-1.2295192432770248,1.3935107323539153,-3.521640425585164,1.0626019390311143,2214,cumulative,lag2,contractionary
18,-0.12901311609090538,0.4351332820398189,-0.10658975239442353,1.4050863103894387,-2.417751066218353,2.2045715614295056,0.3366772960034874,1.5266444750929642,-2.1744294059186,2.847783997925575,2187,cumulative,lag2,contractionary
19,-0.14813916661968488,0.4155633394419973,-0.6127171222547829,1.3547596254885652,-2.8410984058870667,1.6156641613775007,0.9304464851543954,0.9811208549172759,-0.6833537115340143,2.544246681842805,2160,cumulative,lag2,contractionary
20,0.30646287263606936,0.5335579810639672,-0.014944750991045688,1.4498000498084183,-2.3996536212728463,2.369764119290755,-1.1787559214914414,1.7151163491371366,-3.9998712690134273,1.6423594260305443,2133,cumulative,lag2,contractionary
21,-0.3256968623905338,0.4181488044565752,1.3577307225306499,1.2876131294884825,-0.7602044036188154,3.475665848680115,-0.13289804946755557,1.1127655796589409,-1.963234549116321,1.6974384501812099,2106,cumulative,lag2,contractionary
22,-0.18902754552610365,0.4708002504964313,-1.0375136817598531,1.2320300310656251,-3.064022746871281,0.9889953833515746,1.379757187598023,1.693845512592923,-1.406370747285921,4.165885122481967,2079,cumulative,lag2,contractionary
23,1.2807030799606187,0.4244928224427717,-1.2259348716261553,1.3401048903483759,-3.4302112610110855,0.9783415177587749,-3.7932603795902815,1.4394578589854248,-6.160957859786257,-1.425562899394306,2052,cumulative,lag2,contractionary
24,-0.672417677052852,0.40987641948927134,1.5025249712006827,1.3497789897903223,-0.7176638957388222,3.7227138381401876,0.9688386214524528,1.1562065383185929,-0.9329518966058902,2.870629139510796,2025,cumulative,lag2,contractionary
