horizon,term,regime,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,panel_effect
0,mp_abs_x_ph2m,expansionary,0.33885963278366665,-0.9078272728826935,1.5855465384500267,0.7579318215548072,0.013484248346499642,0.004569267443058633,-0.01224136840327574,0.021379903289393005,2511,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
1,mp_abs_x_ph2m,expansionary,1.1703806317101857,-0.6904554199915767,3.031216683411948,1.131307990699809,0.013484248346499642,0.01578170309791328,-0.009310272355353134,0.04087367855117969,2484,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
2,mp_abs_x_ph2m,expansionary,-0.7478311230231592,-1.7770063115659207,0.28134406551960234,0.6256940871086553,0.013484248346499642,-0.010083940584086005,-0.023961594418452196,0.003793713250280185,2457,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
3,mp_abs_x_ph2m,expansionary,0.9826320816094288,-0.18701717263689,2.1522813358557475,0.7110962550595556,0.013484248346499642,0.013250055021659442,-0.0025217860008960222,0.029021896044214904,2430,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
4,mp_abs_x_ph2m,expansionary,1.7057408675664534,0.011913035050870935,3.399568700082036,1.0297742028601526,0.013484248346499642,0.023000633473039815,1.606383231864987e-4,0.04584062862289313,2403,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
5,mp_abs_x_ph2m,expansionary,-0.27588476434165693,-1.6698118131064132,1.1180422844230995,0.8474474724831438,0.013484248346499642,-0.003720098677398431,-0.022516157179845724,0.015075959825048862,2376,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
6,mp_abs_x_ph2m,expansionary,1.8763900525950283,1.2629449928312384,2.4898351123588185,0.3729481150859199,0.013484248346499642,0.025301709464092888,0.01702986393130463,0.03357355499688115,2349,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
7,mp_abs_x_ph2m,expansionary,1.3158283111239268,-0.09013538923666498,2.721792011484519,0.8547652370541737,0.013484248346499642,0.01774295572855023,-0.0012154079732756013,0.03670131943037606,2322,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
8,mp_abs_x_ph2m,expansionary,-0.7834225903946348,-2.365201018563866,0.7983558377745965,0.9616530019761441,0.013484248346499642,-0.010563864769139321,-0.03189295792370908,0.01076522838543044,2295,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
9,mp_abs_x_ph2m,expansionary,1.5086779813488658,0.5594874132767964,2.457868549420935,0.5770668906456279,0.013484248346499642,0.02034338857540386,0.007544267227365004,0.03314250992344272,2268,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
10,mp_abs_x_ph2m,expansionary,0.7994750129062068,-0.6626036178790881,2.2615536436915016,0.8888806923781253,0.013484248346499642,0.0107803196208483,-0.008934711738770773,0.03049535098046737,2241,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
11,mp_abs_x_ph2m,expansionary,-0.1412278142179818,-2.0624528092237546,1.7799971807877908,1.1680218613534143,0.013484248346499642,-0.0019043509203485799,-0.027810625882508957,0.02400192404181179,2214,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
12,mp_abs_x_ph2m,expansionary,1.5007966011899878,0.2821769056463368,2.719416296733639,0.740868169408003,0.013484248346499642,0.020237114088028377,0.0038049434733820023,0.03666928470267475,2187,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
13,mp_abs_x_ph2m,expansionary,1.5584531244404927,-0.10265753649337506,3.21956378537436,1.0098835748762194,0.013484248346499642,0.021014568966333913,-0.0013842597167165193,0.043413397649384344,2160,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
14,mp_abs_x_ph2m,expansionary,-0.48770780415217363,-1.7200330766935217,0.7446174683891744,0.7492005685790457,0.013484248346499642,-0.006576373151713918,-0.023193353170329313,0.010040606866901475,2133,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
15,mp_abs_x_ph2m,expansionary,1.1443714572065513,-0.1356517834544535,2.424394697867556,0.7781988741657009,0.013484248346499642,0.015430988929618826,-0.0018291623367454421,0.03269114019598309,2106,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
