horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type
0,0.127680638963331,0.8476351714845026,-1.1850478979614565,1.469459573819556,0.489027831172946,0.6555407774951431,-0.6314810113410328,1.7540088837216903,2673,marginal,lag1_tfe,expansionary
1,1.4342057710896505,2.096648918611476,-1.7688343498614139,5.4755811381410755,-0.7554265002951445,1.4811183621478956,-3.7203617437740206,1.701431304407866,2646,marginal,lag1_tfe,expansionary
2,-2.5769927861412327,1.8449002718212963,-6.368003061823256,-0.14979057608993426,-0.10004993919493117,1.2743344716422864,-2.437759369226701,2.6522171937967487,2619,marginal,lag1_tfe,expansionary
3,1.612212449124245,1.4029330064163648,-0.6122365532191647,4.136788018320969,0.7310312852154516,1.0384680344668564,-1.1462445046714593,2.539996218452868,2592,marginal,lag1_tfe,expansionary
4,1.2954252649221207,2.1565423100220897,-1.8633797946327275,4.78836966781309,-0.3792914383587761,1.4866913036924017,-2.964016058760017,2.1107902689534543,2565,marginal,lag1_tfe,expansionary
5,-2.5121540705422176,1.984540334289832,-6.37526497541618,0.3959580058081018,-0.6688655391344009,1.7453860004914925,-3.2047790690844704,2.6381915022165803,2538,marginal,lag1_tfe,expansionary
6,1.955533086610696,1.7410712917336573,-0.8549495042218256,4.63415352680675,-0.013099527621097527,1.3303952208782275,-2.49933776858557,2.26312665046613,2511,marginal,lag1_tfe,expansionary
7,-0.15451802617043622,2.267162927976403,-3.571560754799275,3.7268916949503503,0.45294217233406175,2.4952438205689407,-4.385166791797519,4.09831726146819,2484,marginal,lag1_tfe,expansionary
8,-2.1891765784081474,1.6715267151007627,-5.188730037869763,0.5557565541928512,-0.837558974707229,2.072482697846065,-3.6331058712707587,3.1793004493679278,2457,marginal,lag1_tfe,expansionary
9,1.9623277760324747,1.6438987854063336,-0.4609812757275076,4.856025306671706,1.3799127810751304,1.055375952415197,-0.700929062521837,3.422106904952966,2430,marginal,lag1_tfe,expansionary
10,-0.40734046145741226,1.5498265508689502,-3.046226186891354,2.2499390753953907,0.4803728920694008,2.3811098855174357,-3.8204301596489616,3.8857839249943074,2403,marginal,lag1_tfe,expansionary
11,-1.1516077170607382,1.6746064109978254,-3.985695572584574,1.3239242151233943,-2.5804608966600795,1.4041316094140393,-4.743045678850023,0.8484958689295028,2376,marginal,lag1_tfe,expansionary
12,1.4680813523223728,1.82585804965814,-1.8240845514246151,4.068674014302095,1.972584675768139,1.484343774137109,-0.583672245640455,5.034640616602358,2349,marginal,lag1_tfe,expansionary
13,0.2867192648656135,1.7282261284968057,-2.491297821973532,3.266828411286209,-1.0202197133958009,1.9041888024156737,-4.468098608737428,1.7501814378322076,2322,marginal,lag1_tfe,expansionary
14,-2.035334739196908,1.776257416098091,-5.332381599620318,0.7931086444083362,-0.7505154330665537,1.816199014399573,-3.5091761124136913,2.8366128130255186,2295,marginal,lag1_tfe,expansionary
15,1.2592933273407685,1.9972444997686085,-1.7361465413416863,4.719251535804452,0.6892126643014875,1.5483546974343234,-2.2310411274780213,3.418073145169754,2268,marginal,lag1_tfe,expansionary
16,0.5110448527822268,1.7316307187670872,-2.2987240574703263,3.508277617519793,0.22552326174206394,2.1732644712899316,-3.719466153463334,3.3733702892085122,2241,marginal,lag1_tfe,expansionary
17,-2.6330311016269827,1.735419545867129,-5.783893414007517,0.1233349530531104,-0.9988688242875443,2.1956891336530995,-4.335259988592189,3.2599435340122573,2214,marginal,lag1_tfe,expansionary
18,1.2947161428775638,2.0809576053626824,-2.1766933069656695,4.350852420815847,0.3985701445973185,1.5824079373610356,-2.804033810195972,3.159432614385487,2187,marginal,lag1_tfe,expansionary
19,0.7180589847835231,1.6174112482022733,-1.6179234562687383,3.779099759832373,-0.23209886353775488,1.8604386628871914,-3.8182164982643414,2.8205174772470256,2160,marginal,lag1_tfe,expansionary
20,-1.0035889936342155,1.840260272067782,-3.904359290833853,1.7756777050088328,-0.012769808135825388,1.9565455318639455,-2.9454753335626975,3.3222775233481046,2133,marginal,lag1_tfe,expansionary
21,0.6221177972459232,2.137155821868751,-3.1824945493164734,4.5030020930547545,0.6163500822628665,1.8438846229800974,-2.291063029192671,4.082544209978543,2106,marginal,lag1_tfe,expansionary
22,0.84485733106110406,1.4073354144338996,-1.0093894247022592,3.038700122596499,-0.4235646901556095,2.1121035245532576,-4.2019826554502595,2.5947707249692584,2079,marginal,lag1_tfe,expansionary
23,-1.323424399925882,2.1036872234412156,-4.736834972121509,2.4172450676597337,0.6276470691976337,1.750535141305923,-1.8895436707126902,4.167598187909183,2052,marginal,lag1_tfe,expansionary
24,-0.18367495178867935,1.995046907657344,-3.5101230334585596,3.051923046642922,-1.4979309266342813,1.3942459976946737,-3.5382228288424056,1.525522824671661,2025,marginal,lag1_tfe,expansionary
