uf_code,year,quarter,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
11,2012,1,0.25178817988647206,0.2780404874955194,0.4701713326180085,0.5298286673819914,3480075.216611325,6845,2918
12,2012,1,0.24251547002118296,0.27079425376614485,0.4866902762126722,0.5133097237873279,1501647.338242842,6812,3155
13,2012,1,0.2348284963891037,0.29356673152781965,0.4716047720830767,0.5283952279169233,7188824.261590678,10461,4692
14,2012,1,0.24332150173376796,0.28664891520219493,0.4700295830640371,0.5299704169359629,902735.8503124976,3610,1607
15,2012,1,0.2427324717713762,0.3091767309574507,0.44809079727117324,0.5519092027288268,16784225.93927998,13937,6002
16,2012,1,0.23622736882861023,0.3022917673582749,0.461480863813115,0.5385191361868851,1377273.7860149203,3224,1279
17,2012,1,0.23871254627857208,0.2912493877519096,0.47003806596951836,0.5299619340304818,2931262.0653285375,5590,2290
21,2012,1,0.24468877959135968,0.2765836270880782,0.4787275933205622,0.5212724066794379,13716097.365967385,24161,10955
22,2012,1,0.24283700390843088,0.2813955471661835,0.4757674489253858,0.5242325510746144,7167550.116423551,9889,4090
23,2012,1,0.2402551917976787,0.2696715294538825,0.49007327874843876,0.5099267212515612,19124451.142565973,20615,8671
24,2012,1,0.23067218780608237,0.25208494958757083,0.5172428626063469,0.4827571373936532,7481971.903275878,8650,3587
25,2012,1,0.24211310121644705,0.2587204597001029,0.49916643908345015,0.50083356091655,8793014.842004543,10463,4253
26,2012,1,0.23209154477548782,0.2534645878157092,0.514443867408803,0.485556132591197,19871617.51035212,15516,6617
27,2012,1,0.22788641679342514,0.2545474180773808,0.5175661651291941,0.48243383487080593,6829768.051092706,14839,7062
28,2012,1,0.23754292279017658,0.2704863001124928,0.49197077709733067,0.5080292229026694,4827452.883433601,8243,3241
29,2012,1,0.23534401013612996,0.2694098104777023,0.49524617938616783,0.5047538206138322,32031843.64896491,20530,7657
31,2012,1,0.19323667887989365,0.2822919126462949,0.5244714084738116,0.47552859152618854,46172439.26416915,29992,11071
32,2012,1,0.19728737089633122,0.27350899732206435,0.5292036317816046,0.47079636821839554,8522530.101947535,14574,5352
33,2012,1,0.19130783323214007,0.2589322040342298,0.5497599627336303,0.45024003726636985,38461761.64276531,27390,10049
35,2012,1,0.1930726733746968,0.2608356255486712,0.5460917010766321,0.453908298923368,101486562.9555192,31895,11248
41,2012,1,0.19271082832672018,0.2891575319313108,0.5181316397419691,0.4818683602580309,24806698.877557967,21045,10044
42,2012,1,0.19259873536154826,0.2926160109579462,0.5147852536805057,0.48521474631949446,15312004.154536739,24024,11175
43,2012,1,0.1909497999520461,0.27988721909640163,0.5291629809515523,0.47083701904844777,26051364.94596806,22729,10533
50,2012,1,0.21106362417707986,0.24231267498049744,0.5466237008424227,0.45337629915757727,5448978.886825708,8441,3211
51,2012,1,0.21389809898460715,0.24414494448727117,0.5419569565281217,0.4580430434718783,7059035.889528824,9787,3897
52,2012,1,0.2147598969810044,0.2511424158390207,0.5340976871799749,0.4659023128200251,13975623.865447596,12579,4699
53,2012,1,0.20573462414411373,0.2193498817213367,0.5749154941345497,0.42508450586545043,6244358.972275745,6758,2753
11,2012,2,0.2519201436660184,0.2823590523660567,0.4657208039679249,0.5342791960320751,3521291.031001726,7467,3168
12,2012,2,0.24742679695636444,0.27242522044571527,0.48014798259792035,0.5198520174020798,1500103.9122057774,7179,3253
13,2012,2,0.23927881450753496,0.29271953962554637,0.4680016458669187,0.5319983541330813,7133646.126304232,11146,5177
