agent_type,mean_monthly_income,mean_pc_income,mean_liquid_assets,mean_illiquid_assets,mean_net_worth
PH2M,4072.7373210294527,1562.7799110435808,27121.38179294383,10505.11500899352,37626.49680193735
Ricardian,25455.90900701645,10764.098230784117,490097.4460721762,23494.50918684757,513591.95525902376
WH2M,17083.155608601115,7227.058990831171,284445.7627527057,23174.52548726908,307620.2882399748
