"horizon","variant","n_obs","beta_mp","se_mp_cl","lo95_mp_cl","hi95_mp_cl","lo95_mp_wild","hi95_mp_wild"
0,"nearest",567,-0.0257576648093136,0.014852632814102,-0.0548688251249536,0.00335349550632642,-0.051684755173279,0.00104334187637544
1,"nearest",540,0.0672906022998624,0.0184782840430014,0.0310731655755798,0.103508039024145,0.0311803920599824,0.102931338191708
2,"nearest",513,-0.0390685154312071,0.0152652603191362,-0.068988425656714,-0.00914860520570014,-0.0645139005112282,-0.01281317809603
3,"nearest",486,0.0326803994259324,0.0156158198881856,0.00207339244508872,0.0632874064067762,0.0027598637747973,0.0617037125014171
4,"nearest",459,0.0858827721366833,0.0212001720602283,0.0443304348986359,0.127435109374731,0.0465894317457351,0.121853087758538
5,"nearest",432,0.0420125096538566,0.0172690719899042,0.00816512855364441,0.0758598907540687,0.00961899003099726,0.0723747558790751
6,"nearest",405,0.327074557998347,0.0598185741806207,0.209830152604331,0.444318963392364,0.214271457385548,0.425806980945775
7,"nearest",378,-0.238631581420338,0.0572767509327773,-0.350894013248582,-0.126369149592094,-0.351193205430734,-0.131381500355342
8,"nearest",351,-0.139344618099971,0.0405617775313121,-0.218845702061343,-0.0598435341385998,-0.207192434294593,-0.074688599971524
9,"nearest",324,0.0609341301075559,0.042659098583313,-0.0226777031157376,0.144545963330849,-0.0154748190882764,0.136910985158521
10,"nearest",297,0.0935392808821241,0.0408429658992415,0.0134870677196107,0.173591494044637,0.0185497733254817,0.167897360792066
11,"nearest",270,0.0378366583314267,0.0211618712522642,-0.00364060932301107,0.0793139259858645,0.00298424197886784,0.0740338946253258
12,"nearest",243,0.162371641824489,0.0442718333979282,0.0755988483645501,0.249144435284428,0.0854004316383449,0.243447637628107
