t,C,Y,pi,r,w
51,1.7349622545144937e-08,1.7349622545118755e-08,-1.5490551878465494e-06,-8.426843699490359e-07,-5.594519000336672e-07
52,2.0578282086255117e-08,2.0578282086257562e-08,-1.500575547832409e-06,-8.154728830600068e-07,-5.367360921723782e-07
53,2.3511149123986528e-08,2.3511149123969627e-08,-1.4541364483082453e-06,-7.894341600020546e-07,-5.15175463934869e-07
54,2.6161000616771956e-08,2.6161000616776416e-08,-1.4096319964243341e-06,-7.645090942181713e-07,-4.947300500259615e-07
55,2.8535521297669633e-08,2.8535521297657593e-08,-1.3669597863788486e-06,-7.406426140393399e-07,-4.753763898181507e-07
56,3.063800842969557e-08,3.063800842970532e-08,-1.3260192581340348e-06,-7.177827684430752e-07,-4.5710521992121076e-07
57,3.246836743960187e-08,3.246836743961276e-08,-1.2867102798226247e-06,-6.958797662889693e-07,-4.3991819511020185e-07
58,3.402442621417768e-08,3.402442621414715e-08,-1.2489320526131682e-06,-6.748850040744617e-07,-4.2382354290149947e-07
59,3.5303571245447955e-08,3.5303571245429506e-08,-1.2125824468146334e-06,-6.547501279227769e-07,-4.088306432027029e-07
60,3.6304679262191115e-08,3.6304679262168754e-08,-1.1775578794068311e-06,-6.354261870542966e-07,-3.949436191931457e-07
61,3.7030283865665636e-08,3.703028386566312e-08,-1.1437538350749612e-06,-6.168629448052589e-07,-3.821541419290574e-07
62,3.748887932559868e-08,3.748887932557327e-08,-1.1110661129864714e-06,-5.990084200227821e-07,-3.704337752876495e-07
63,3.769722527316227e-08,3.7697225273213e-08,-1.0793928491349933e-06,-5.818087337722594e-07,-3.5972631437635784e-07
64,3.7682478628637195e-08,3.7682478628605424e-08,-1.0486373187858457e-06,-5.652083326939697e-07,-3.4994069912289735e-07
65,3.748394661741254e-08,3.7483946617416036e-08,-1.0187114651179219e-06,-5.491506507951353e-07,-3.409451853266529e-07
66,3.71542298579903e-08,3.715422985798688e-08,-9.895400313181857e-07,-5.335792527440211e-07,-3.325635494374412e-07
67,3.6759512318568135e-08,3.675951231858445e-08,-9.610650947563121e-07,-5.184394773265251e-07,-3.245741321216146e-07
68,3.6378758485571385e-08,3.6378758485598066e-08,-9.332507199518718e-07,-5.036805639883753e-07,-3.1671252485032286e-07
69,3.61016022608159e-08,3.6101602260788627e-08,-9.060873648041704e-07,-4.892582050834933e-07,-3.0867861355778637e-07
70,3.602475936177442e-08,3.60247593617506e-08,-8.795956009656344e-07,-4.751374169845068e-07,-3.001485437279646e-07
71,3.624686840482578e-08,3.6246868404829674e-08,-8.538286503258024e-07,-4.612955719951199e-07,-2.9079192152486863e-07
72,3.68617658920965e-08,3.6861765892103296e-08,-8.288732054641865e-07,-4.4772537888406593e-07,-2.80294234872933e-07
73,3.795032614966893e-08,3.795032614968162e-08,-8.048480008867745e-07,-4.3443754972588005e-07,-2.6838405863353043e-07
74,3.957114584809539e-08,3.957114584809349e-08,-7.81899642998541e-07,-4.214628478111943e-07,-2.548641103935741e-07
75,4.175051763239155e-08,4.175051763239795e-08,-7.601952981189745e-07,-4.088531812744385e-07,-2.396446793621748e-07
76,4.447231051175432e-08,4.447231051176911e-08,-7.399119843336709e-07,-3.966813968934599e-07,-2.2277736534531814e-07
77,4.766854340368268e-08,4.766854340366681e-08,-7.212224190381346e-07,-3.850394411464173e-07,-2.0448651314168866e-07
78,5.121158916157327e-08,5.121158916156946e-08,-7.042776365625832e-07,-3.740346008572712e-07,-1.8519521193436687e-07
79,5.490906149469672e-08,5.490906149468231e-08,-6.891869059459885e-07,-3.6378361229998235e-07,-1.6554235815356852e-07
80,5.850249917288558e-08,5.850249917284955e-08,-6.759958334812846e-07,-3.5440454482256975e-07,-1.463870625204569e-07
81,6.167095081670033e-08,6.167095081666688e-08,-6.646639128653873e-07,-3.4600651677880743e-07,-1.2879672614009821e-07
82,6.404046189866115e-08,6.404046189867448e-08,-6.550431614526328e-07,-3.386774913288013e-07,-1.1401544557499221e-07
83,6.520025718034539e-08,6.520025718033645e-08,-6.468598249796101e-07,-3.324706175778725e-07,-1.034101023118567e-07
84,6.472608574390929e-08,6.472608574391871e-08,-6.397014088221673e-07,-3.2738982125553905e-07,-9.839257651510577e-08
85,6.221074667365275e-08,6.221074667365584e-08,-6.330114619265124e-07,-3.233755937537873e-07,-1.003180261263715e-07
86,5.730124552440533e-08,5.7301245524386835e-08,-6.260945576104419e-07,-3.202921623209515e-07,-1.1036105834781889e-07
87,4.974135843189789e-08,4.9741358431879326e-08,-6.18133744034537e-07,-3.1791742354172707e-07,-1.2937386955588057e-07
88,3.9417628542029925e-08,3.941762854202152e-08,-6.082223388643442e-07,-3.1593716540968135e-07,-1.5773293733922201e-07
89,2.640602775314297e-08,2.6406027753162543e-08,-5.954112903560748e-07,-3.1394516143024043e-07,-1.951834811887729e-07
90,1.1015737979743736e-08,1.1015737979733853e-08,-5.787724069483838e-07,-3.11450666510092e-07,-2.406935105902056e-07
91,-6.174193995416098e-09,-6.174193995414626e-09,-5.574765711688102e-07,-3.078946563692953e-07,-2.923316110163223e-07
92,-2.4290119049449118e-08,-2.4290119049454577e-08,-5.308846271175146e-07,-3.026758064800748e-07,-3.4718443674231894e-07
93,-4.215606235414475e-08,-4.215606235415187e-08,-4.98647014360499e-07,-2.951866912299437e-07,-4.013308961826756e-07
94,-5.830809049626247e-08,-5.830809049626896e-08,-4.608064943659413e-07,-2.8485999469315867e-07,-4.4988995457935085e-07
95,-7.103541470914251e-08,-7.103541470914412e-08,-4.1789658640254437e-07,-2.7122367220748183e-07,-4.871575411702922e-07
96,-7.845196152711102e-08,-7.84519615271189e-08,-3.710267364469443e-07,-2.539630094698264e-07,-5.068449999299912e-07
97,-7.860069081237336e-08,-7.860069081238864e-08,-3.2194394763621254e-07,-2.329864372926551e-07,-5.024266948818892e-07
98,-6.959092682432786e-08,-6.959092682433978e-08,-2.7305978453876483e-07,-2.0849083799050273e-07,-4.675976586642335e-07
99,-4.9766404789565607e-08,-4.9766404789546264e-08,-2.2743151876570266e-07,-1.8102100044696586e-07,-3.968336395731187e-07
100,-1.789868303826795e-08,-1.7898683038269566e-08,-1.8868689558243475e-07,-1.5151694808705192e-07,-2.860357250517999e-07
101,2.660285534356987e-08,2.6602855343570427e-08,-1.6088373969264354e-07,-1.2134218498173674e-07,-1.3323030064038596e-07
102,8.347681223345359e-08,8.347681223346557e-08,-1.482985131767483e-07,-9.228560379576726e-08,6.071697711003449e-08
103,1.5140738238721585e-07,1.5140738238720958e-07,-1.5514206194218885e-07,-6.652999751282645e-08,2.9142647243216634e-07
104,2.278529969636746e-07,2.27852996963676e-07,-1.8520613273133174e-07,-4.658092951801754e-08,5.504332377194807e-07
105,3.089278111982971e-07,3.089278111983027e-07,-2.414507037857984e-07,-3.51512417920761e-08,8.247917415297325e-07
106,3.8935945027701715e-07,3.893594502770176e-07,-3.255495273284648e-07,-3.499878071345463e-08,1.0969347095489619e-06
107,4.625461413229243e-07,4.625461413229245e-07,-4.374192132747785e-07,-4.871798165144966e-08,1.3448631619148182e-06
108,5.207348643188429e-07,5.207348643188577e-07,-5.74765057113593e-07,-7.848993751294028e-08,1.5427397667455884e-06
109,5.553381736411462e-07,5.553381736411552e-07,-7.32684228957093e-07,-1.2579993556846454e-07,1.6619443730228358e-06
110,5.574007528265586e-07,5.574007528265593e-07,-9.033730595906731e-07,-1.9113641854698053e-07,1.6726286244713554e-06
111,5.182178343658586e-07,5.182178343658589e-07,-1.0759891016479968e-06,-2.7369054222975013e-07,1.5457767971016936e-06
112,4.300961260989267e-07,4.3009612609890343e-07,-1.2367196152649551e-06,-3.710804391306994e-07,1.255741714031733e-06
113,2.872341863743967e-07,2.872341863744104e-07,-1.3691052556014684e-06,-4.791286410179457e-07,7.831789277127059e-07
114,8.668389929162803e-08,8.668389929160975e-08,-1.4546602641146005e-06,-5.917243179670215e-07,1.1825140916705736e-07
115,-1.7066136243901986e-07,-1.7066136243902693e-07,-1.4738178320564635e-06,-7.008034749551495e-07,-7.360765860475692e-07
116,-4.791215024033398e-07,-4.79121502403337e-07,-1.4072112243189648e-06,-7.96479467644132e-07,-1.7608884861314192e-06
117,-8.274091314784831e-07,-8.274091314784695e-07,-1.2372779875843518e-06,-8.673524589561712e-07,-2.918579551847886e-06
118,-1.1980199420303618e-06,-1.1980199420303536e-06,-9.501471325615609e-07,-9.010191131521571e-07,-4.15082408796292e-06
119,-1.5668961438972462e-06,-1.5668961438972329e-06,-5.377400473840951e-07,-8.847919512213247e-07,-5.37740047384095e-06
