"horizon","n_obs","beta_mp","se_mp_cl","lo95_mp_cl","hi95_mp_cl","beta_ph2m","se_ph2m_cl","lo95_ph2m_cl","hi95_ph2m_cl","beta_wh2m","se_wh2m_cl","lo95_wh2m_cl","hi95_wh2m_cl"
0,567,-0.0264664139980539,0.0149580637568615,-0.0557842189615023,0.00285139096539463,0.44130475488231,0.351493321533918,-0.24762215532417,1.13023166508879,0.344377460137835,0.245407426421861,-0.136621095649012,0.825376015924682
1,540,0.06674204921834,0.018499232004753,0.030483554489024,0.103000543947656,0.172871879221752,0.395406024887923,-0.602123929558576,0.947867688002081,0.357745654303353,0.278757002838664,-0.188618071260429,0.904109379867135
2,513,-0.0395432226029118,0.0151067327826961,-0.0691524188569961,-0.00993402634882751,0.0539118563067061,0.445595397726866,-0.819455123237952,0.927278835851364,0.196315142839693,0.30676038217581,-0.404935206224894,0.79756549190428
3,486,0.0331500523362237,0.0157820547477641,0.00221722503060602,0.0640828796418415,-0.132048068866114,0.521118095051751,-1.15343953516755,0.889343397435317,-0.0300025348813224,0.343592204754453,-0.703443256200051,0.643438186437406
4,459,0.085564530350419,0.0212524694149262,0.0439096902971638,0.127219370403674,0.118755143427755,0.523925182751477,-0.908138214765139,1.14564850162065,0.13770648887716,0.384828353742005,-0.61655708445717,0.891970062211489
5,432,0.0413509635824458,0.0172982819929285,0.00744633087630594,0.0752555962885857,0.469922175608787,0.563438857386009,-0.634417984867791,1.57426233608536,0.35815219168991,0.507059669733687,-0.635684760988117,1.35198914436794
6,405,0.31867699829141,0.0570923142802962,0.20677606230203,0.430577934280791,0.680348853198471,0.5840945718106,-0.464476507550306,1.82517421394725,0.531269672019106,0.631282760134386,-0.70604453784429,1.7685838818825
7,378,-0.244930391768785,0.0559960745257548,-0.354682697839264,-0.135178085698306,0.43699043148449,0.599968797482759,-0.738948411581718,1.6129292745507,0.717740454973768,0.788935812539108,-0.828573737602883,2.26405464755042
8,351,-0.141370725974467,0.0396077670027548,-0.219001949299867,-0.0637395026490678,0.0351177411953414,0.554372068036202,-1.05145151215561,1.1216869945463,0.983566895506926,0.840240048704675,-0.663303599954237,2.63043739096809
9,324,0.0663934572358982,0.0447912597718379,-0.0213974119169042,0.154184326388701,0.124270811676013,0.541419014954929,-0.936910457635647,1.18545208098767,1.30877077192333,0.864809994657466,-0.386256817605302,3.00379836145196
10,297,0.100935837285498,0.0408830528753384,0.0208050536498352,0.181066620921162,0.212982313062145,0.722422618428432,-1.20296601905758,1.62893064518187,1.37291717489615,0.736103302128304,-0.0698452972753223,2.81567964706763
11,270,0.0428045386748777,0.0234078725842529,-0.00307489159025794,0.0886839689400133,-0.14150416537811,0.828382737059763,-1.76513433001525,1.48212599925903,0.801601866678142,0.56438621496324,-0.304595114649808,1.90779884800609
12,243,0.171978693966573,0.0471079165468712,0.0796471775347056,0.264310210398441,0.366521422800087,0.485299078036103,-0.584664770150675,1.31770761575085,1.14202748940995,0.806863614645982,-0.439425195296173,2.72348017411608
