output,shock,impact_t0,peak_abs_col0,sum_col0
Y,e_R,-2.319103596394284,2.319103596394284,-1.7522005466055828
Y,e_R_neg,2.319103596394284,2.319103596394284,1.7522005466055828
Y,e_T,0.0005962901220529841,0.0012246939467668464,0.0171293507503691
cR,e_R,-0.5974269464726961,0.6263959177674432,10.595827206997638
cR,e_R_neg,0.5974269464726961,0.6263959177674432,-10.595827206997638
cR,e_T,-0.0035369156109335484,0.003776100912929481,-0.0911901168314928
cW,e_R,-4.719932006921997,4.719932006921997,-28.119311595375304
cW,e_R_neg,4.719932006921997,4.719932006921997,28.119311595375304
cW,e_T,-0.006273536218056701,0.006273536218056701,-0.041029991788766006
cP,e_R,-6.538964746893829,6.538964746893829,-6.530195456002749
cP,e_R_neg,6.538964746893829,6.538964746893829,6.530195456002749
cP,e_T,0.04592440205970653,0.04592440205970653,0.8654870110122236
pi,e_R,-1.3629719028013525,1.3629719028013525,-2.2811639550575267
pi,e_R_neg,1.3629719028013525,1.3629719028013525,2.2811639550575267
pi,e_T,-5.233891013524401e-05,0.00020240938751839874,0.0035619097683413665
R,e_R,0.9999999999999966,0.9999999999999966,-0.3207651057834811
R,e_R_neg,-0.9999999999999966,0.9999999999999966,0.3207651057834811
R,e_T,1.207475533967999e-17,0.0003157204713956808,0.007151164289411542
r,e_R,1.1465280593859482,1.1465280593859482,0.5974269464726958
r,e_R_neg,-1.1465280593859482,1.1465280593859482,-0.5974269464726958
r,e_T,-0.0001877738546208355,0.0003157204713956808,0.0035369156109335484
X,e_R,4.536642478825585,4.536642478825585,5.094351407841949
X,e_R_neg,-4.536642478825585,4.536642478825585,-5.094351407841949
X,e_T,0.0008922527435532766,0.0008922527435532766,0.00014120992327657335
q,e_R,-0.8744828064357666,0.8744828064357666,7.975025576045567
q,e_R_neg,0.8744828064357666,0.8744828064357666,-7.975025576045567
q,e_T,-0.003668691111657305,0.0037027581109541794,-0.087146578142662
hW,e_R,-6.733732236532284,6.733732236532284,-114.27223414481105
hW,e_R_neg,6.733732236532284,6.733732236532284,114.27223414481105
hW,e_T,-0.009227910927365888,0.009227910927365888,0.008301616441962445
bW,e_R,-7.475428872544468,7.475428872544468,-106.02015270880243
bW,e_R_neg,7.475428872544468,7.475428872544468,106.02015270880243
bW,e_T,-0.012699662030425402,0.012699662030425402,-0.07871318619997422
A,e_R,-0.0,1.257310551451616e-16,-1.4159033332981174e-15
A,e_R_neg,-0.0,1.257310551451616e-16,1.4159033332981174e-15
A,e_T,-0.0,3.0245002208812863e-15,3.491852062813349e-14
j,e_R,-0.0,0.0,0.0
j,e_R_neg,-0.0,0.0,0.0
j,e_T,-0.0,0.0,0.0
u,e_R,-0.0,4.481699534483078e-16,-4.0764773529124e-16
u,e_R_neg,-0.0,4.481699534483078e-16,4.0764773529124e-16
u,e_T,-0.0,7.614275597540036e-16,-2.8110219746579145e-15
TP,e_R,-0.0,0.0,0.0
TP,e_R_neg,-0.0,0.0,0.0
TP,e_T,1.0,1.0,18.380105783648126
dP,e_R,-1.6222142740540917,1.6222142740540917,-8.25050891372689
dP,e_R_neg,1.6222142740540917,1.6222142740540917,8.25050891372689
dP,e_T,0.2999109874362552,0.992892108671623,26.9434139947647
dW,e_R,-1.1991700061360824,1.1991700061360824,-8.43069289378277
dW,e_R_neg,1.1991700061360824,1.1991700061360824,8.43069289378277
dW,e_T,0.0999126413975071,0.40270496118204613,11.82022525599682
