dataset,group,horizon,y_pos,y_neg,x_pos,x_neg,gain,chi,pred_pos_aug,pred_neg_aug,err_pos_aug,err_neg_aug,err_pos_struct,err_neg_struct
lp_controls,PH2M,0,0.003844544744185,-0.0001506999218977006,-0.020978637811369594,0.030993974275761414,0.12270554845942848,0.4072201294628159,-0.0025741952585758105,0.0015487121548039967,-0.006418740002760811,0.0016994120767016973,-0.024823182555554595,0.031144674197659115
lp_controls,PH2M,1,0.0033056425821559,0.0022003631432117,-0.013957100588670092,0.020620310074422978,0.12270554845942848,0.4072201294628159,-0.0017126136826361757,0.0010303591454246196,-0.005018256264792076,-0.0011700039977870806,-0.017262743170825993,0.018419946931211278
lp_controls,PH2M,2,-0.0021614769470905,0.00010922945425066572,-0.015880793956381443,0.023462387014279638,0.12270554845942848,0.4072201294628159,-0.001948661532388962,0.0011723725272027145,0.00021281541470153796,0.0010631430729520488,-0.013719317009290943,0.02335315756002897
lp_controls,PH2M,3,-0.0016789704675766,0.0011948110312387,-0.015160091188640127,0.022397616115201604,0.12270554845942848,0.4072201294628159,-0.0018602273039970358,0.0011191678746205079,-0.00018125683642043582,-7.564315661819218e-05,-0.013481120721063528,0.021202805083962904
lp_controls,PH2M,4,0.001903359651271,-0.0054485713797103,-0.015232356136208646,0.02250438081299166,0.12270554845942848,0.4072201294628159,-0.0018690946140228228,0.0011245027111180894,-0.003772454265293823,0.006573074090828389,-0.017135715787479647,0.02795295219270196
lp_controls,PH2M,5,0.0023634059648987,-0.010383816968945,-0.015077466322397044,0.022275545607006432,0.12270554845942848,0.4072201294628159,-0.0018500887744682913,0.001113068234796879,-0.004213494739366991,0.01149688520374188,-0.017440872287295746,0.03265936257595143
lp_controls,PH2M,6,0.0008694275382036738,-0.00030714740144542504,-0.0149975686256493,0.022157504236543852,0.12270554845942848,0.4072201294628159,-0.0018402848837682144,0.001107169923609724,-0.0027097124219718884,0.001414317325055149,-0.015866996163852974,0.022464651637989278
lp_controls,PH2M,7,0.0030769149815056,-0.0038250639803339,-0.014902605966386694,0.022017205793679846,0.12270554845942848,0.4072201294628159,-0.0018286324385802305,0.0011001594672600365,-0.00490554742008583,0.004925223447593937,-0.017979520947892295,0.025842269774013747
lp_controls,PH2M,8,-0.0031949160140502,-0.0110191473297978,-0.014818886827317405,0.02189351859978129,0.12270554845942848,0.4072201294628159,-0.0018183596357041823,0.0010939790446114286,0.0013765563783460178,0.01211312637440923,-0.011623970813267204,0.03291266592957909
lp_controls,PH2M,9,0.0064967812837081,-0.0052626262398174,-0.014738224882343425,0.021774348124079506,0.12270554845942848,0.4072201294628159,-0.0018084619675063458,0.00108802431410249,-0.008305243251214445,0.00635065055391989,-0.021235006166051524,0.027036974363896904
lp_controls,PH2M,10,-0.0019028538252309,-0.00497807975441,-0.014662687997638077,0.021662749445343563,0.12270554845942848,0.4072201294628159,-0.0017991931726396594,0.0010824479324264692,0.00010366065259124059,0.006060527686836469,-0.012759834172407176,0.026640829199753562
lp_controls,PH2M,11,-0.0043916601905758,0.0008851632474602591,-0.014591322926773474,0.021557314231176957,0.12270554845942848,0.4072201294628159,-0.0017904362824783724,0.0010771795277917048,0.0026012239080974277,0.0001920162803314457,-0.010199662736197674,0.0206721509837167
