dataset,response_label,group,direction,term,model_series,linear_sign_assumption,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0,0.003844544744185,-0.0024835451846079,0.010172634672978,0.0078032329793046,-0.0018198796704112,-0.020978637811369594,-0.024823182555554595,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,1,0.0033056425821559,-0.0026003813347578,0.0092116664990696,0.0078032329793046,-0.0012107670596915,-0.013957100588670092,-0.017262743170825993,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,2,-0.0021614769470905,-0.0087987093839962,0.0044757554898151,0.0078032329793046,-0.0013776458858327,-0.015880793956381443,-0.013719317009290943,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,3,-0.0016789704675766,-0.0068057542996334,0.0034478133644802,0.0078032329793046,-0.0013151255102385,-0.015160091188640127,-0.013481120721063528,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,4,0.001903359651271,-0.0107137509039402,0.0145204702064824,0.0078032329793046,-0.0013213944353301,-0.015232356136208646,-0.017135715787479647,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,5,0.0023634059648987,-0.0071616979468803,0.0118885098766778,0.0078032329793046,-0.0013079578706759,-0.015077466322397044,-0.017440872287295746,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,6,0.0008694275382036738,-0.0086354336374228,0.0103742887138301,0.0078032329793046,-0.0013010268108363,-0.0149975686256493,-0.015866996163852974,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,7,0.0030769149815056,-0.0054495739235532,0.0116034038865644,0.0078032329793046,-0.0012927888778211,-0.014902605966386694,-0.017979520947892295,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,8,-0.0031949160140502,-0.0142494251905979,0.0078595931624974,0.0078032329793046,-0.0012855263109859,-0.014818886827317405,-0.011623970813267204,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,9,0.0064967812837081,-0.0060595497831265,0.0190531123505427,0.0078032329793046,-0.0012785289532378,-0.014738224882343425,-0.021235006166051524,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,10,-0.0019028538252309,-0.0137787007800001,0.0099729931295383,0.0078032329793046,-0.0012719761902759,-0.014662687997638077,-0.012759834172407176,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,11,-0.0043916601905758,-0.0188364306658442,0.0100531102846925,0.0078032329793046,-0.0012657853287523,-0.014591322926773474,-0.010199662736197674,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,12,0.0054176416807116,-0.0136319503430391,0.0244672337044624,0.0078032329793046,-0.0012599531056378,-0.014524092055225495,-0.019941733735937096,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,13,0.0044074059043239,-0.0110051643165023,0.0198199761251502,0.0078032329793046,-0.0012544542899305,-0.014460704532967581,-0.01886811043729148,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,14,-0.0032370191730191,-0.017622863568545,0.0111488252225067,0.0078032329793046,-0.0012492716712192,-0.014400961967221886,-0.011163942794202786,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,15,0.006782240641648,-0.0061554727185509,0.0197199540018471,0.0078032329793046,-0.0012443870795202,-0.014344654903751811,-0.021126895545399812,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,16,-0.0026254404203348,-0.0236405050883329,0.0183896242476632,0.0078032329793046,-0.0012397839693044,-0.014291592614198753,-0.011666152193863953,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,17,0.0020381056607162,-0.0187265935560304,0.0228028048774629,0.0078032329793046,-0.0012354465775973,-0.014241593391091474,-0.016279699051807674,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,18,0.0027597184175956,-0.0168907975376653,0.0224102343728567,0.0078032329793046,-0.0012313601023642,-0.014194486604179038,-0.016954205021774638,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,19,-0.0143372498578476,-0.0364098454411271,0.0077353457254317,0.0078032329793046,-0.0012275105818699,-0.014150111309751403,0.0001871385480961968,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,20,-0.0145744215843933,-0.0344030739336728,0.005254230764886,0.0078032329793046,-0.0012238848658635,-0.014108315918472614,0.0004661056659206863,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,21,-0.0073107629414719,-0.0244056695646041,0.0097841436816602,0.0078032329793046,-0.0012204705620001,-0.01406895757775768,-0.0067581946362857805,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,22,-0.0156911987203406,-0.0360341330107109,0.0046517355700297,0.0078032329793046,-0.001217255991195,-0.014031901657118729,0.001659297063221871,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,23,-0.0250979107849428,-0.0508921986968174,0.0006963771269317025,0.0078032329793046,-0.0012142301406388,-0.013997021206547233,0.011100889578395567,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,24,-0.0072795213903107,-0.0269442212653894,0.0123851784847679,0.0078032329793046,-0.0012113826159311,-0.013964196404735873,-0.006684675014425173,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,25,-0.0125982627245454,-0.0311424557126568,0.005945930263566,0.0078032329793046,-0.0012087035890493,-0.01393331395928963,-0.0013350512347442296,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,26,-0.0063878179897795,-0.0244455710340146,0.0116699350544554,0.0078032329793046,-0.0012061837387812,-0.013904266420063364,-0.007516448430283864,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,27,-0.0214328406150697,-0.040818593412364,-0.0020470878177755,0.0078032329793046,-0.001203814177962,-0.013876951340387368,0.007555889274682334,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,28,-0.0250217868895295,-0.0414872561101131,-0.0085563176689458,0.0078032329793046,-0.0012015863590059,-0.013851270188084167,0.011170516701445332,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,29,-0.026334317606744,-0.043182241390432,-0.0094863938230561,0.0078032329793046,-0.00119949194475,-0.013827126856623375,0.012507190750120627,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,30,-0.0196562041964654,-0.0381025013414578,-0.0012099070514729,0.0078032329793046,-0.0011975226250765,-0.013804425551236616,0.005851778645228784,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,31,-0.0207025609891652,-0.0359784822125685,-0.0054266397657619,0.0078032329793046,-0.0011956698503486,-0.013783067716103542,0.006919493273061657,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,32,-0.0181693008394836,-0.0376692912482592,0.0013306895692919,0.0078032329793046,-0.0011939244396347,-0.013762947518161709,0.004406353321321891,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,33,-0.017722153520696,-0.0323566662998141,-0.003087640741578,0.0078032329793046,-0.0011922760047243,-0.013743945207457791,0.00397820831323821,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,34,-0.0118706323750166,-0.0271882716711255,0.0034470069210923,0.0078032329793046,-0.0011907121112944,-0.013725917447504826,-0.0018552850724882254,True,True
