dataset,group,gain
lp_controls,PH2M,0.12270554845942848
lp_controls,WH2M,0.39290938468640524
lp_income,PH2M,0.5524711709898679
lp_income,WH2M,0.22863196220667975
lp_wealth,PH2M,-26.24186160967269
lp_wealth,WH2M,4.420177027860071
