label,loss,weighted_mse,persistence_penalty,impact_cP,impact_cW,mae_lp_income,mae_lp_controls,mae_lp_wealth,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,weight_lp_controls,weight_lp_income,weight_lp_wealth
baseline,0.4877136517793477,0.015630038691059268,0.47208361308828845,-6.539082332545334,-4.71989775038653,0.11331400443935508,0.1142057250390113,0.25131412474169107,0.73,0.7,0.13,0.9,0.8,0.5,0.05,0.26826666666666665,1.0,1.0,1.0
tuned_best,0.15781921304070917,0.002898886687191262,0.1549203263535179,-2.4554233272849286,-1.9302735295621638,0.028075892420723225,0.027162945896114343,0.23669796621330874,0.4005785849082135,1.8350867603804748,0.2333627581469496,0.8333887146496555,0.7079261694605605,0.5680452416964924,0.07961148274566243,0.4869250174577059,1.0,1.0,1.0
relative_improvement,0.6764100974722971,,,,,,,,,,,,,,,,1.0,1.0,1.0
