t,Output (pct),Ricardian Consumption (pct),WH2M Consumption (pct),PH2M Consumption (pct),Inflation (bps),Policy Rate (bps),Real Rate (bps),Markup (pct)
0,-0.5797870422118,-0.14937366440144,-1.1799744375966301,-1.6347705831363302,-34.075270594084,24.999999999998998,28.663648416997002,1.13418029712056
1,-0.03280171306825,0.13726281976851998,-0.39061593039936,-0.11345583927984,-3.663648416997,0.5743982791516015,1.9323473476609998,0.08615051483953
2,0.003918540810243609,0.15658629324514,-0.33780463679013,-0.01133849334999,-1.3579490685100002,-1.37743789249,-0.43976928276372895,0.015806329518689998
3,0.009415349581477616,0.15218860041750001,-0.31369590843494,0.004996942936744509,-0.9376686097272524,-1.61507420572,-0.7861267880451841,0.0041763288415421216
4,0.009822323156742092,0.14432733253705,-0.29516241563951,0.007290758871111961,-0.8289474176754729,-1.576346185009,-0.8027425482029399,0.0021783621551563722
5,0.009422679567879764,0.13629990705502,-0.27836312093147003,0.007304238660649401,-0.7736036368069403,-1.49674322549,-0.7675608126423789,0.0017645857459175456
6,0.00891713490850837,0.1286242989286,-0.26262193214036,0.00696456720740728,-0.7291824128477412,-1.414633018618,-0.7260257498321816,0.0016151679846969774
7,0.008419106944609548,0.12136404143028,-0.24778428558387,0.0065866002785275116,-0.6886072687866882,-1.33607768756,-0.6854679299179557,0.0015134176258213808
8,0.007945804798655177,0.11450936213110001,-0.23378358348269,0.0062209050410384535,-0.6506097576421409,-1.261856382916,-0.6469755834236498,0.00142352688919341
9,0.00749874366774309,0.10803960629685999,-0.22056996799585,0.005874782107563887,-0.6148807994927467,-1.191895263443,-0.6106198374430581,0.0013393566797898155
10,0.00707694184155867,0.10193340792243001,-0.20809851186498002,0.005548501579593919,-0.5812754260003313,-1.125993239007,-0.576311083137634,0.0012596421006903947
11,0.006679080573946071,0.09617029709105,-0.19632715836867998,0.005241241809948166,-0.5496821558694667,-1.063940419145,-0.5439390421123456,0.0011839258577657594
12,0.006303854575250556,0.09073090666993,-0.18521626670407002,0.004952060903584537,-0.5200013770330809,-1.005537042705,-0.5133954065357301,0.0011118901866787128
13,0.005950026104982147,0.08559695260457,-0.17472842712691,0.004680054078558738,-0.4921416361699567,-0.950596143674238,-0.48457724355634635,0.0010432459612083004
14,0.005616430726916918,0.08075118016900999,-0.16482832648100001,0.004424377841004666,-0.46601890011792185,-0.8989436042557365,-0.45738726225841897,0.000977713102209405
15,0.005301975394114388,0.07617730754641999,-0.15548262779632,0.004184252633295436,-0.44155634199731547,-0.8504178344093395,-0.43173358157390224,0.0009150158861784823
