metric,baseline,candidate,delta_candidate_minus_baseline
controls_gap,0.11602456655441934,0.029094899549935126,-0.0869296670044842
income_gap,0.11331400443935427,0.028075892420722674,-0.0852381120186316
wealth_gap,0.2513141247416907,0.23669796621330869,-0.014616158528381995
controls_ci_hit,0.0,0.25,0.25
income_ci_hit,0.01,0.45,0.44
wealth_ci_hit,0.57,0.69,0.12
h0_sign_mismatches,4.0,4.0,0.0
overall_corr,0.11132938471486875,0.19896059108728273,0.08763120637241398
