uf_code,year,month,uf_abbrev,state,date,consumption_index,share_PH2M,share_WH2M,share_Ricardian,unemployment_rate,labour_force_participation_rate,formal_share,informal_share,conta_propria_share,population,log_consumption,t_index,lag1_log_consumption,lag2_log_consumption,lag1_share_PH2M,lag1_share_WH2M,lag1_share_Ricardian,mp_shock_x_share_PH2M,mp_shock_x_share_WH2M,uf_code_str,date_str,state_name,macro_region,num_families_BF_old,num_families_BF_new,total_value_BF_old,total_value_BF_new,avg_benefit_BF_old,avg_benefit_BF_new,ipca_index,vbp_non_tradable,vbp_tradable,ratio_T_NT,share_tradable,vl_imports,vl_exports,credit_pf,log_credit_pf,mp_shock_di,eps_rr,eps_sb,eps_tvp,mean_income,mean_income_sa,mean_income_trend
14,2015,11,RR,Roraima,2015-11-01,81.55329,0.246334507064828,0.298183418381724,0.455482074553448,0.0736180243012355,0.715596974615622,0.437982876400521,0.450813112000007,0.258148504285763,479703.526644239,4.40125667160089,24191,4.35721844040421,4.33302308523943,0.240973749747091,0.29258919856532,0.466437051687588,0,0,14,2015-11,Roraima,North,46024,,8537602,,"185,50",,4450.45,11187.720722818,2185.56331009903,0.195353760095338,0.16342756982649,534297,160625,2901746650.48,21.788578685902,0,-0.132565094869105,-0.0810754632585309,-0.0346180220672667,3126.45736393214,2915.57002935447,3037.68375514306
14,2015,12,RR,Roraima,2015-12-01,80.89747,0.241045837775679,0.28878187101922,0.470172291205101,0.0828271972228291,0.718634224591593,0.456573745495821,0.433035173019166,0.231907921005823,486457.713542485,4.39318255039867,24192,4.40125667160089,4.35721844040421,0.246334507064828,0.298183418381724,0.455482074553448,0,0,14,2015-12,Roraima,North,46814,,8663182,,"185,06",,4493.17,11187.720722818,2185.56331009903,0.195353760095338,0.16342756982649,218633,282955,2925677417.39,21.796791886505,0,0,0,0,2944.66269723415,3123.11574855641,3033.95668053287
14,2016,1,RR,Roraima,2016-01-01,79.63112,0.239677841413982,0.291849646245083,0.468472512340935,0.098383263639493,0.73869482540421,0.42997241174923,0.448161223974531,0.259954534668365,460751.921469658,4.3774049712213,24193,4.39318255039867,4.40125667160089,0.241045837775679,0.28878187101922,0.470172291205101,-0.0500411219483768,-0.0599511236431369,14,2016-01,Roraima,North,48727,,8712600,,"178,80",,4550.23,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,380297,111655,2909279243.86,21.7911712049291,-0.207600025,0.239373534845148,-0.0222069043841355,0.0009621136790181,2725.30995323272,2826.11506791843,3030.22960592269
14,2016,2,RR,Roraima,2016-02-01,76.44123,0.256825394616149,0.281269514918681,0.46190509046517,0.0695003091112308,0.707703701153982,0.451241630633075,0.447220866913036,0.262259388458987,490498.543907716,4.33652221029442,24194,4.3774049712213,4.39318255039867,0.239677841413982,0.291849646245083,0.468472512340935,0,0,14,2016-02,Roraima,North,48670,,"8703216,00",,"178,82",,4591.18,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,1261345,194796,2913952331.73,21.7927761862226,0,0,0,0,3073.74908445688,2865.27763393798,3038.00764714145
14,2016,3,RR,Roraima,2016-03-01,77.49099,0.253665327421932,0.274415458665807,0.471919213912261,0.0834659000854703,0.719756593070907,0.468590027226816,0.423327699952648,0.240557517738783,508715.652469579,4.35016167153629,24195,4.33652221029442,4.3774049712213,0.256825394616149,0.281269514918681,0.46190509046517,0,0,14,2016-03,Roraima,North,50466,,"8907403,00",,"176,50",,4610.92,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,219060,1464671,2929189790.44,21.797991699702,0,0.0213305118871683,0.11817155214223,0.0209523373960834,3314.99007139318,3362.16408501593,3045.78568836022
14,2016,4,RR,Roraima,2016-04-01,79.07543,0.249816634459803,0.285402786516256,0.464780579023941,0.0824234872919385,0.722943311241459,0.446449145150922,0.438953845932387,0.233646441279891,494685.775425917,4.37040220705236,24196,4.35016167153629,4.33652221029442,0.253665327421932,0.274415458665807,0.471919213912261,0,0,14,2016-04,Roraima,North,50455,,8968104,,"177,74",,4639.05,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,191921,345258,2948044858.7,21.8044080278131,0,0.261336351262554,0.127266109127562,0.0310004117792075,2675.25194730519,2865.80629650815,3053.56372957898
14,2016,5,RR,Roraima,2016-05-01,74.16519,0.245885583104603,0.280058290622805,0.474056126272592,0.0778692656855221,0.713125002070134,0.488207755979671,0.404529743191725,0.251172016748762,483180.47664218,4.30629490262762,24197,4.37040220705236,4.35016167153629,0.249816634459803,0.285402786516256,0.464780579023941,0,0,14,2016-05,Roraima,North,50063,,8983935,,"179,45",,4675.23,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,342616,344947,2959217583.55,21.8081907404593,0,0,0,0,3200.37817773343,3009.0289230471,3067.8220672287
14,2016,6,RR,Roraima,2016-06-01,78.12753,0.247020295404209,0.281331412232147,0.471648292363644,0.0811971526623286,0.725525300433261,0.456419840797335,0.428678888211039,0.248732921845698,497017.950040637,4.35834249153222,24198,4.30629490262762,4.37040220705236,0.245885583104603,0.280058290622805,0.474056126272592,0,0,14,2016-06,Roraima,North,50020,,9047127,,"180,87",,4691.59,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,1297333,171558,3022162554.79999,21.8292384898202,0,-0.012472906300945,0.0712066061789763,0.0018076148935633,3254.40137061154,3323.31900377865,3082.08040487842
14,2016,7,RR,Roraima,2016-07-01,81.30252,0.235715457057326,0.273848166258111,0.490436376684563,0.107015711265457,0.743284604318696,0.426961177793563,0.408054736858083,0.208989101766496,479802.081417493,4.39817701238335,24199,4.35834249153222,4.30629490262762,0.247020295404209,0.281331412232147,0.471648292363644,0,0,14,2016-07,Roraima,North,49827,,"10184922,00",,"204,41",,4715.99,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,440152,756994,3040199670.38001,21.8351890312537,0,0.080006471484508,0.102174636262763,0.0075093558736279,3298.16313824733,3307.74492473068,3096.33874252814
14,2016,8,RR,Roraima,2016-08-01,82.92289,0.23083393187268,0.270931450789468,0.498234617337852,0.108604592153712,0.727379632747394,0.472256081275415,0.385809055931815,0.216539599281902,478384.883766124,4.41791113983047,24200,4.39817701238335,4.35834249153222,0.235715457057326,0.273848166258111,0.490436376684563,0,0,14,2016-08,Roraima,North,49573,,10216557,,"206,09",,4736.74,12181.674189271,2295.95001029875,0.188475736144782,0.158586103538105,708650,810005,3066104606.23,21.8436737349582,0,0.0285357677741543,0.0882140960708309,0.0131090327851918,3250.40374667058,2974.54343153377,3109.63779897017
