bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|15-24|female|no_education|Q1|unemployed,1.4477270036726643e-05,1.4477270036726643e-05,0.9999710454599265,6907.07961966,11.0,0.0
Central_West|15-24|female|no_education|Q2|informal,0.0003537625378986448,0.9992924749242027,0.0003537625378986448,282.37549355,1.0,0.0
Central_West|15-24|female|no_education|Q3|formal,0.0004127533537024351,0.0004127533537024351,0.9991744932925951,241.97543908,1.0,0.0
Central_West|15-24|female|no_education|Q4|unemployed,0.43668680524909076,0.5632329571026287,8.023764828070406e-05,1245.99774355,2.0,0.0
Central_West|15-24|female|primary|Q1|unemployed,5.555206854202863e-07,5.555206854202863e-07,0.9999988889586292,180010.998633,276.0,0.0
Central_West|15-24|female|primary|Q2|formal,0.38112251123847984,0.3563583446079492,0.2625191441535709,8790.20254175,20.0,0.0
Central_West|15-24|female|primary|Q2|informal,0.21457968061608906,0.40935738488423845,0.3760629344996725,20324.72422577,27.0,0.0
Central_West|15-24|female|primary|Q2|unemployed,0.21030317857375302,0.25468993069449397,0.535006890731753,24279.32090915,29.0,0.0
Central_West|15-24|female|primary|Q3|formal,0.5865673368877232,0.2699114753352134,0.14352118777706332,6329.96156327,7.0,0.0
Central_West|15-24|female|primary|Q3|informal,0.5859971120984026,0.18592614770405855,0.22807674019753899,8207.74254563,16.0,0.0
Central_West|15-24|female|primary|Q3|self_employed,0.9997284557420881,0.00013577212895596224,0.00013577212895596224,736.22818711,1.0,0.0
Central_West|15-24|female|primary|Q3|unemployed,0.0001358828809606144,0.9997282342380789,0.0001358828809606144,735.62787622,2.0,0.0
Central_West|15-24|female|primary|Q4|formal,9.576628316340871e-05,9.576628316340871e-05,0.9998084674336731,1043.90884571,2.0,0.0
Central_West|15-24|female|primary|Q4|informal,0.030853664569133372,7.771188884880356e-06,0.9691385642419819,12867.74393528,11.0,0.0
Central_West|15-24|female|primary|Q4|self_employed,0.39887178252299427,5.682347209279662e-05,0.6010713940049129,1759.53614371,3.0,0.0
Central_West|15-24|female|primary|Q4|unemployed,0.999945719259836,2.7140370081985257e-05,2.7140370081985257e-05,3684.24813615,2.0,0.0
Central_West|15-24|female|primary|Q5|informal,2.517164376561564e-05,2.517164376561564e-05,0.9999496567124687,3972.4242658900002,6.0,0.0
Central_West|15-24|female|primary|Q5|unemployed,5.7463733631586967e-05,5.7463733631586967e-05,0.9998850725327368,1739.9280304499998,2.0,0.0
Central_West|15-24|female|secondary|Q1|unemployed,3.0485811760018827e-07,3.0485811760018827e-07,0.9999993902837647,328021.14416291,435.0,0.0
Central_West|15-24|female|secondary|Q2|formal,0.39579405700231146,0.32743532564298006,0.27677061735470854,21445.50277849,31.0,0.0
Central_West|15-24|female|secondary|Q2|informal,0.2627941279656,0.5664929968555611,0.17071287517883887,79149.1722034,84.0,0.0
Central_West|15-24|female|secondary|Q2|self_employed,2.3598443312731495e-05,0.48327219331461796,0.5167042082420692,4237.26765117,7.0,0.0
Central_West|15-24|female|secondary|Q2|unemployed,0.20998646970746995,0.21626746399303523,0.5737460662994948,16178.071673340002,27.0,0.0
Central_West|15-24|female|secondary|Q3|formal,0.26117850408481047,0.20214990111966033,0.5366715947955292,5342.64249766,6.0,0.0
