uf_code,year,quarter,share_PH2M,share_WH2M,share_Ricardian,total_weight
11,2017,1,0.23328011519630332,0.14244486125943487,0.6242750235442618,1018003.38048527
12,2017,1,0.2193808711258074,0.16634200325642726,0.6142771256177654,465504.62169487
13,2017,1,0.22786927645832708,0.1614908880252562,0.6106398355164167,2101166.1370381
14,2017,1,0.23154718121354745,0.17365754310173112,0.5947952756847213,281125.44067758
15,2017,1,0.23514826838954717,0.16706883684230403,0.5977828947681489,4723322.10022267
16,2017,1,0.22937971066830176,0.13886625222863963,0.6317540371030586,428359.33878492
17,2017,1,0.2230426232751741,0.15217099954242896,0.624786377182397,870139.37240861
21,2017,1,0.24766254635180454,0.12786778851432867,0.6244696651338668,3920928.82515465
22,2017,1,0.23104523238037597,0.12808262929343245,0.6408721383261916,2008472.31752597
23,2017,1,0.2220733713521997,0.11812833444606738,0.6597982942017329,5428300.43868859
24,2017,1,0.21284124493125,0.12255457974895936,0.6646041753197908,2097548.04728081
25,2017,1,0.23380601093470016,0.122383543384732,0.6438104456805679,2372089.73833272
26,2017,1,0.219455579649375,0.11864700688082444,0.6618974134698005,5757309.2403270705
27,2017,1,0.22124135071645867,0.12261217468014547,0.6561464746033959,1898850.30499268
28,2017,1,0.22642924889614569,0.13225739681862916,0.6413133542852252,1349450.45873692
29,2017,1,0.2187150622139354,0.11258427172435881,0.6687006660617058,8892411.62713274
31,2017,1,0.19552331329459263,0.12403499915461835,0.6804416875507889,12954593.20565135
32,2017,1,0.1855561807236367,0.1153480464323406,0.6990957728440226,2413564.59159003
33,2017,1,0.18220206995833169,0.10813855388398948,0.7096593761576789,11106064.73080998
35,2017,1,0.19319147640740789,0.10408495879237725,0.7027235648002149,28112799.63707376
41,2017,1,0.19307622614117356,0.12958562388833905,0.6773381499704875,6981686.14503181
42,2017,1,0.18967656075477668,0.13304250439251225,0.6772809348527111,4514862.16697328
43,2017,1,0.20547660613024246,0.1941747737700004,0.6003486200997571,7118020.19566559
50,2017,1,0.20195555211647306,0.1823000039385094,0.6157444439450175,1602848.32354617
51,2017,1,0.19997955876852547,0.18216075224847048,0.617859688983004,2039138.76255377
52,2017,1,0.2029585983672236,0.18870724125706892,0.6083341603757074,4179158.99285072
53,2017,1,0.20466978677174533,0.1819405675988799,0.6133896456293748,1778624.2451849
11,2019,1,0.2443323513659426,0.24366724131550885,0.5120004073185486,1293007.45425379
12,2019,1,0.241172708568317,0.2649187363087153,0.49390855512296783,604758.60771226
13,2019,1,0.2588392011021295,0.27729933445013727,0.4638614644477333,2829785.16099764
14,2019,1,0.25121806420902876,0.26226781860277243,0.4865141171881988,381245.7035457
15,2019,1,0.26286423907732664,0.2653072950867073,0.4718284658359661,6129929.80473937
16,2019,1,0.24912543007429871,0.29090012051682435,0.45997444940887694,548380.29898002
17,2019,1,0.2419766096099477,0.26505953437206986,0.49296385601798237,1129439.40979961
21,2019,1,0.27786485874143263,0.21374903766215486,0.5083861035964125,5054061.46729175
22,2019,1,0.28817183704137234,0.22571392750712496,0.4861142354515027,2539335.48597371
23,2019,1,0.27497789992777677,0.21034496788627424,0.5146771321859489,6982501.89467404
24,2019,1,0.2735145168409094,0.21636593141310415,0.5101195517459866,2628237.96248964
25,2019,1,0.27003089842110783,0.21097194006054215,0.51899716151835,3087464.21083803
26,2019,1,0.27572305527633906,0.21255777493888886,0.5117191697847722,7228694.81150856
27,2019,1,0.26338866494289487,0.2107685755719503,0.5258427594851547,2433998.95655196
28,2019,1,0.2816423543307776,0.2184726993851689,0.49988494628405344,1706423.05813281
29,2019,1,0.2760706791798348,0.22431446266754776,0.4996148581526174,11374250.58109501
31,2019,1,0.21877673737003495,0.2131339207597399,0.5680893418702252,16645185.51474049
32,2019,1,0.2282946649456107,0.196586817299042,0.5751185177553474,3076781.79004141
33,2019,1,0.2264499790208086,0.20594428342468463,0.5676057375545068,14068087.33086861
35,2019,1,0.2260336004097063,0.18507201120664626,0.5888943883836474,36358258.51559813
41,2019,1,0.24378329990978756,0.20837491985879183,0.5478417802314206,9000079.22864798
42,2019,1,0.22992808534451567,0.20103024870731326,0.569041665948171,5878708.03335492
43,2019,1,0.2380978792097302,0.20694905623883764,0.5549530645514321,9071311.72674206
50,2019,1,0.2131625683427582,0.17026659569977023,0.6165708359574715,2066896.98003673
51,2019,1,0.21240312154895558,0.16660566044759334,0.620991218003451,2671388.2406119
52,2019,1,0.21990299504406424,0.17334864135269656,0.6067483636032391,5407068.14079959
53,2019,1,0.21535610191677096,0.17927352763887333,0.6053703704443557,2313180.77025249
