dataset,response_label,direction,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,contractionary,0,0.003738620360249051,-0.0015454475661583165,-0.005284067926407367
lp_controls,consumption,contractionary,1,0.014658227757539999,0.008937089229481394,-0.005721138528058604
lp_controls,consumption,contractionary,2,0.0115598765797682,0.010251627698052103,-0.0013082488817160974
lp_controls,consumption,contractionary,3,0.0158559068088551,0.015452678068438044,-0.00040322874041705606
lp_controls,consumption,contractionary,4,0.0159345144525037,0.018537154041559867,0.0026026395890561653
lp_controls,consumption,contractionary,5,0.0197188024141478,0.02229246318368152,0.00257366076953372
lp_controls,consumption,contractionary,6,0.019141406537928063,0.02544981556839362,0.006308409030465558
lp_controls,consumption,contractionary,7,0.0201041513264615,0.028610655820835974,0.008506504494374473
lp_controls,consumption,contractionary,8,0.0158640097696542,0.03151276238127906,0.015648752611624857
lp_controls,consumption,contractionary,9,0.0324282996210377,0.03429148809196018,0.0018631884709224764
lp_controls,consumption,contractionary,10,0.02912017305567179,0.03689797804375037,0.00777780498807858
lp_controls,consumption,contractionary,11,0.0202292837187927,0.03936759942851265,0.019138315709719952
lp_controls,consumption,contractionary,12,0.0298930932573765,0.04169615306597551,0.011803059808599008
lp_controls,consumption,contractionary,13,0.038713991327901195,0.04389701890469178,0.005183027576790587
lp_controls,consumption,contractionary,14,0.0288128237190266,0.04597483168611974,0.017162007967093138
lp_controls,consumption,contractionary,15,0.0423395393206767,0.047937660428158745,0.005598121107482042
lp_controls,consumption,contractionary,16,0.028058810389339436,0.04979142352832677,0.021732613138987337
lp_controls,consumption,contractionary,17,0.0341912372986056,0.051542496981202474,0.017351259682596876
lp_controls,consumption,contractionary,18,0.039578958258456004,0.053196541225340406,0.013617582966884402
lp_controls,consumption,contractionary,19,0.0200140696969638,0.05475907073292802,0.034745001035964215
lp_controls,consumption,contractionary,20,0.017131944368331,0.0562352180788127,0.0391032737104817
lp_controls,consumption,contractionary,21,0.0359379365502574,0.057629868132186,0.0216919315819286
lp_controls,consumption,contractionary,22,0.026236958682897,0.05894762011512976,0.03271066143223276
lp_controls,consumption,contractionary,23,0.005333995597984399,0.06019282776266558,0.05485883216468118
lp_controls,consumption,contractionary,24,0.0479361045201646,0.0613696022295243,0.013433497709359699
lp_controls,consumption,contractionary,25,0.0384116130298461,0.0624818310415637,0.024070218011717597
lp_controls,consumption,contractionary,26,0.0372074178574388,0.06353318859161697,0.026325770734178168
lp_controls,consumption,contractionary,27,0.0239573031694513,0.06452714957810346,0.04056984640865216
lp_controls,consumption,contractionary,28,0.0267426771370156,0.06546700024144234,0.038724323104426736
lp_controls,consumption,contractionary,29,-0.0009950122671293984,0.06635584991527324,0.06735086218240263
lp_controls,consumption,contractionary,30,0.0115487406828298,0.06719664192610453,0.055647901243274726
lp_controls,consumption,contractionary,31,0.008152108058459898,0.0679921645664509,0.059840056507991
lp_controls,consumption,contractionary,32,0.0113673099852911,0.0687450622228395,0.05737775223754841
lp_controls,consumption,contractionary,33,0.0123257238925702,0.0694578472542772,0.057132123361707
lp_controls,consumption,contractionary,34,0.0195510698424742,0.0701329133166336,0.0505818434741594
lp_controls,consumption,contractionary,35,0.024363261604212403,0.07077255128670382,0.04640928968249142
lp_controls,consumption,contractionary,36,0.0150973661288775,0.07137896943572947,0.05628160330685197
lp_controls,consumption,contractionary,37,0.0089223679678418,0.07195432013978695,0.06303195217194515
lp_controls,consumption,contractionary,38,-0.0025004727435584007,0.07250073582088068,0.07500120856443908
