raw_date,year,month,quarter,di_surprise,mp_shock_monthly
2015-04-30,2015,4,2,0.0,0.0
2015-05-31,2015,5,2,0.0,0.0
2015-06-30,2015,6,2,0.0,0.0
2015-07-31,2015,7,3,0.077390703,0.077390703
2015-08-31,2015,8,3,0.0,0.0
2015-09-30,2015,9,3,0.0,0.0
2015-10-31,2015,10,4,0.0,0.0
2015-11-30,2015,11,4,0.0,0.0
2015-12-31,2015,12,4,0.0,0.0
2016-01-31,2016,1,1,-0.207600025,-0.207600025
2016-02-29,2016,2,1,0.0,0.0
2016-03-31,2016,3,1,0.0,0.0
2016-04-30,2016,4,2,0.0,0.0
2016-05-31,2016,5,2,0.0,0.0
2016-06-30,2016,6,2,0.0,0.0
2016-07-31,2016,7,3,0.0,0.0
2016-08-31,2016,8,3,0.0,0.0
2016-09-30,2016,9,3,0.0,0.0
2016-10-31,2016,10,4,0.0,0.0
2016-11-30,2016,11,4,0.0,0.0
2016-12-31,2016,12,4,0.0,0.0
2017-01-31,2017,1,1,-0.224587529,-0.224587529
2017-02-28,2017,2,1,0.0,0.0
2017-03-31,2017,3,1,0.0,0.0
2017-04-30,2017,4,2,0.0,0.0
2017-05-31,2017,5,2,0.0,0.0
2017-06-30,2017,6,2,0.0,0.0
2017-07-31,2017,7,3,-0.328460526,-0.328460526
2017-08-31,2017,8,3,0.0,0.0
2017-09-30,2017,9,3,0.0,0.0
2017-10-31,2017,10,4,-0.195035395,-0.195035395
2017-11-30,2017,11,4,0.0,0.0
2017-12-31,2017,12,4,0.0,0.0
2018-01-31,2018,1,1,0.0,0.0
2018-02-28,2018,2,1,0.0,0.0
2018-03-31,2018,3,1,0.0,0.0
2018-04-30,2018,4,2,0.0,0.0
2018-05-31,2018,5,2,0.08898676,0.08898676
2018-06-30,2018,6,2,0.0,0.0
2018-07-31,2018,7,3,0.0,0.0
2018-08-31,2018,8,3,0.0,0.0
2018-09-30,2018,9,3,0.0,0.0
2018-10-31,2018,10,4,0.0,0.0
2018-11-30,2018,11,4,0.0,0.0
2018-12-31,2018,12,4,0.0,0.0
2019-01-31,2019,1,1,0.0,0.0
2019-02-28,2019,2,1,0.0,0.0
2019-03-31,2019,3,1,0.0,0.0
2019-04-30,2019,4,2,0.0,0.0
2019-05-31,2019,5,2,0.0,0.0
2019-06-30,2019,6,2,0.0,0.0
2019-07-31,2019,7,3,0.0,0.0
2019-08-31,2019,8,3,-0.104547698,-0.104547698
2019-09-30,2019,9,3,0.0,0.0
2019-10-31,2019,10,4,0.0,0.0
2019-11-30,2019,11,4,0.0,0.0
2019-12-31,2019,12,4,0.0,0.0
2020-01-31,2020,1,1,0.0,0.0
2020-02-29,2020,2,1,0.0,0.0
2020-03-31,2020,3,1,0.0,0.0
2020-04-30,2020,4,2,0.0,0.0
2020-05-31,2020,5,2,-0.195892705,-0.195892705
2020-06-30,2020,6,2,-0.097783462,-0.097783462
2020-07-31,2020,7,3,0.0,0.0
2020-08-31,2020,8,3,-0.084446286,-0.084446286
2020-09-30,2020,9,3,0.0,0.0
2020-10-31,2020,10,4,0.0,0.0
2020-11-30,2020,11,4,0.0,0.0
2020-12-31,2020,12,4,0.0,0.0
2021-01-31,2021,1,1,0.0,0.0
2021-02-28,2021,2,1,0.0,0.0
2021-03-31,2021,3,1,0.235375447,0.235375447
2021-04-30,2021,4,2,0.0,0.0
2021-05-31,2021,5,2,0.0,0.0
2021-06-30,2021,6,2,0.0,0.0
2021-07-31,2021,7,3,0.0,0.0
2021-08-31,2021,8,3,0.0,0.0
2021-09-30,2021,9,3,0.148319697,0.148319697
2021-10-31,2021,10,4,0.0,0.0
2021-11-30,2021,11,4,0.0,0.0
2021-12-31,2021,12,4,0.0,0.0
2022-01-31,2022,1,1,0.0,0.0
2022-02-28,2022,2,1,0.101644464,0.101644464
2022-03-31,2022,3,1,0.0,0.0
2022-04-30,2022,4,2,0.0,0.0
2022-05-31,2022,5,2,0.0,0.0
2022-06-30,2022,6,2,0.0,0.0
2022-07-31,2022,7,3,0.0,0.0
2022-08-31,2022,8,3,0.0,0.0
