scenario,t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW
sd_shock_scaled,0,-0.0017142585626873,-0.0003755299112547,-0.0036499273283537,-0.0048036862802278,-0.000999978368346,0.0006769240782078,0.0007787270591354,0.0033221431670977,-0.0005987165936945,-0.0051216992010131,-0.0056035462782508
sd_shock_scaled,1,-9.174526491761738e-05,0.0004031971478806,-0.0011363192289546,-0.0003175045010756,-0.0001018029809275,-2.500596952940856e-05,1.1897267488111831e-05,0.0002411407990648,0.0002968799818977,-0.0045569820278822,-0.0042448885405351
sd_shock_scaled,2,7.241371465647472e-06,0.0004150944153688,-0.0009038046749869,-3.87277850344048e-05,-3.690323701752164e-05,-6.820218480083124e-05,-4.4007133539290846e-05,4.7845331041618936e-05,0.0003239907548352,-0.0039811356605375,-0.0036451079423165
sd_shock_scaled,3,1.9647030007324947e-05,0.0003710872818295,-0.0007735226071667,2.7042534199046314e-06,-2.4195051261537385e-05,-6.647200855720449e-05,-4.6628911678926486e-05,1.6811768542011514e-05,0.0002920205846816,-0.0034670556917007,-0.0031647438869967
sd_shock_scaled,6,1.482009260569148e-05,0.0002459785303405,-0.0005080355116536,6.883936105634114e-06,-1.4839637808593935e-05,-4.481329146271501e-05,-3.1902331498897255e-05,7.602662971943414e-06,0.0001938967072736,-0.0022856258397392,-0.0020849714951796
sd_shock_scaled,12,6.444163250157446e-06,0.0001068734042816,-0.0002207193002008,3.0053734383373928e-06,-6.4487845408297825e-06,-1.9477160309080057e-05,-1.3863597974778508e-05,3.293193952725605e-06,8.425264810076267e-05,-0.0009930504998622,-0.0009058618047336
sd_shock_scaled,24,1.2204329419723514e-06,2.0170309343554697e-05,-4.164550169300998e-05,5.791652737621308e-07,-1.2372420192530651e-06,-3.69943414051808e-06,-2.617346727243984e-06,6.13209901905572e-07,1.5912451775294227e-05,-0.0001874781654451,-0.0001710112820388
sd_shock_scaled,36,2.482917547400178e-07,3.7985957277202937e-06,-7.794661150169365e-06,1.6135603194188156e-07,-3.176183138700004e-07,-7.935837162797062e-07,-4.943882700028638e-07,7.911880068424213e-08,3.0102214077022604e-06,-3.544142744211471e-05,-3.232620160045022e-05
sd_shock_scaled,47,-2.9892090241763856e-07,4.756036226233879e-07,-1.8392764215565676e-06,-9.14863132378169e-07,-1.7871116900249647e-07,-4.756036226233879e-07,-4.756036226233879e-07,6.602629396644552e-07,3.2471617193611217e-07,-8.127956859699009e-06,-7.65235323707525e-06
25bp_shock,0,-0.0063310591906617,-0.0013868981889702,-0.0134798253077975,-0.0177408605886247,-0.0036930964658305,0.0024999999999999,0.0028759763620651,0.0122692605937907,-0.0022111659673844,-0.0189153383883627,-0.0206948846209084
25bp_shock,1,-0.0003388314431084,0.0014890781730948,-0.0041966273084973,-0.0011726001160874,-0.0003759763620651,-9.235145540844588e-05,4.3938706980289705e-05,0.0008905754974149,0.0010964301295193,-0.0168297382770994,-0.0156771219889724
25bp_shock,2,2.674366187719051e-05,0.0015330168800751,-0.0033379100555104,-0.0001430285399838,-0.0001362901623887,-0.0002518826962891,-0.0001625261050537,0.0001767012453164,0.0011965549951072,-0.0147030360889114,-0.0134620264652379
25bp_shock,3,7.255994667577824e-05,0.0013704907750214,-0.0028567554031116,9.987284789260028e-06,-8.93565912354299e-05,-0.0002454928502956,-0.000172208794088,6.208882607085409e-05,0.0010784835186196,-0.0128044481032476,-0.0116879572941739
25bp_shock,6,5.4733215595343626e-05,0.0009084420921756,-0.0018762647393138,2.5423590057036052e-05,-5.480539947655689e-05,-0.0001655033884352,-0.000117820936372,2.8077975125616436e-05,0.0007160947346818,-0.0084412193084867,-0.0077001674275622
25bp_shock,12,2.3799431345460117e-05,0.0003947023297081,-0.0008151553006697,1.1099374121461494e-05,-2.3816498586893665e-05,-7.193258792272445e-05,-5.120071224043822e-05,1.2162346039754286e-05,0.0003111598878408,-0.003667510625753,-0.003345507398451
25bp_shock,24,4.507274084579528e-06,7.449250954758906e-05,-0.000153804182159,2.138959494907071e-06,-4.569352971339131e-06,-1.3662662695903912e-05,-9.666323046818208e-06,2.264692310571758e-06,5.8767490652057925e-05,-0.0006923899277651,-0.0006315748233226
25bp_shock,36,9.169852378363828e-07,1.4028883925132813e-05,-2.8787058257726555e-05,5.959162819695249e-07,-1.17302044680436e-06,-2.930844616941563e-06,-1.82586306912023e-06,2.921996839437918e-07,1.1117278527274245e-05,-0.0001308914418288,-0.0001193863634088
25bp_shock,47,-1.1039676089276482e-06,1.7564880535897795e-06,-6.792772191038876e-06,-3.3787508888772435e-06,-6.600118637952432e-07,-1.7564880535897795e-06,-1.7564880535897795e-06,2.4384674770803043e-06,1.199234088391861e-06,-3.0017978091493215e-05,-2.826149003790372e-05
