uf_code,date,year,month,pmc_retail_nominal_index
11,2021-11-01,2021,11,110.52464
11,2021-12-01,2021,12,117.03864
11,2022-01-01,2022,1,82.7781
11,2022-02-01,2022,2,85.22812
11,2022-03-01,2022,3,92.04117
11,2022-04-01,2022,4,96.80469
11,2022-05-01,2022,5,104.85275
11,2022-06-01,2022,6,96.99065
11,2022-07-01,2022,7,102.10371
11,2022-08-01,2022,8,101.47206
11,2022-09-01,2022,9,96.93902
11,2022-10-01,2022,10,98.73783
11,2022-11-01,2022,11,114.62232
11,2022-12-01,2022,12,127.42958
11,2023-01-01,2023,1,91.14752
11,2023-02-01,2023,2,87.9083
11,2023-03-01,2023,3,96.47475
11,2023-04-01,2023,4,97.39039
11,2023-05-01,2023,5,103.06004
11,2023-06-01,2023,6,95.21201
11,2023-07-01,2023,7,102.35873
11,2023-08-01,2023,8,100.75065
11,2023-09-01,2023,9,100.945
11,2023-10-01,2023,10,100.94753
11,2023-11-01,2023,11,121.15892
11,2023-12-01,2023,12,130.79053
11,2024-01-01,2024,1,96.23319
11,2024-02-01,2024,2,93.23886
11,2024-03-01,2024,3,100.77383
11,2024-04-01,2024,4,104.26029
11,2024-05-01,2024,5,114.60788
11,2024-06-01,2024,6,107.19505
11,2024-07-01,2024,7,113.72563
11,2024-08-01,2024,8,110.46463
11,2024-09-01,2024,9,105.14757
11,2024-10-01,2024,10,111.51047
11,2024-11-01,2024,11,135.49916
11,2024-12-01,2024,12,133.97842
11,2025-01-01,2025,1,100.60717
11,2025-02-01,2025,2,104.02632
11,2025-03-01,2025,3,111.31627
11,2025-04-01,2025,4,118.90177
11,2025-05-01,2025,5,127.44933
11,2025-06-01,2025,6,115.65148
11,2025-07-01,2025,7,120.63908
11,2025-08-01,2025,8,114.5851
11,2025-09-01,2025,9,113.28571
11,2025-10-01,2025,10,121.83363
11,2025-11-01,2025,11,158.98827
12,2007-12-01,2007,12,27.98392
12,2008-01-01,2008,1,19.04253
12,2008-02-01,2008,2,18.51877
12,2008-03-01,2008,3,21.811
12,2008-04-01,2008,4,21.13759
12,2008-05-01,2008,5,22.97076
12,2008-06-01,2008,6,21.77359
12,2008-07-01,2008,7,23.90605
12,2008-08-01,2008,8,23.68158
12,2008-09-01,2008,9,23.34487
12,2008-10-01,2008,10,24.76652
12,2008-11-01,2008,11,24.13052
12,2008-12-01,2008,12,31.68767
12,2009-01-01,2009,1,22.67147
12,2009-02-01,2009,2,21.36206
12,2009-03-01,2009,3,23.08299
12,2009-04-01,2009,4,22.93335
12,2009-05-01,2009,5,24.99099
12,2009-06-01,2009,6,24.13052
12,2009-07-01,2009,7,25.85146
12,2009-08-01,2009,8,26.45004
12,2009-09-01,2009,9,26.82416
12,2009-10-01,2009,10,28.32063
12,2009-11-01,2009,11,28.95662
12,2009-12-01,2009,12,39.73118
12,2010-01-01,2010,1,27.46016
12,2010-02-01,2010,2,27.04863
12,2010-03-01,2010,3,30.75238
12,2010-04-01,2010,4,29.14368
12,2010-05-01,2010,5,29.03145
12,2010-06-01,2010,6,29.89192
12,2010-07-01,2010,7,32.62297
12,2010-08-01,2010,8,31.42579
12,2010-09-01,2010,9,32.62297
12,2010-10-01,2010,10,34.23167
12,2010-11-01,2010,11,34.49355
12,2010-12-01,2010,12,48.18622
12,2011-01-01,2011,1,34.19426
12,2011-02-01,2011,2,32.36108
12,2011-03-01,2011,3,34.41873
12,2011-04-01,2011,4,34.49355
12,2011-05-01,2011,5,37.07495
12,2011-06-01,2011,6,33.67049
12,2011-07-01,2011,7,37.41166
12,2011-08-01,2011,8,37.48648
12,2011-09-01,2011,9,36.36413
12,2011-10-01,2011,10,35.9526
12,2011-11-01,2011,11,37.93542
12,2011-12-01,2011,12,57.57654
12,2012-01-01,2012,1,39.84342
12,2012-02-01,2012,2,36.77566
12,2012-03-01,2012,3,42.31259
12,2012-04-01,2012,4,40.81612
12,2012-05-01,2012,5,44.03352
12,2012-06-01,2012,6,42.12553
12,2012-07-01,2012,7,45.41775
12,2012-08-01,2012,8,45.00623
12,2012-09-01,2012,9,41.56435
12,2012-10-01,2012,10,45.49258
12,2012-11-01,2012,11,43.54717
12,2012-12-01,2012,12,58.81113
12,2013-01-01,2013,1,43.69682
12,2013-02-01,2013,2,40.32977
12,2013-03-01,2013,3,45.15587
12,2013-04-01,2013,4,44.2954
12,2013-05-01,2013,5,48.33586
12,2013-06-01,2013,6,44.74434
12,2013-07-01,2013,7,48.1488
12,2013-08-01,2013,8,46.95163
12,2013-09-01,2013,9,45.04364
12,2013-10-01,2013,10,51.3288
12,2013-11-01,2013,11,52.26409
12,2013-12-01,2013,12,70.5958
12,2014-01-01,2014,1,52.52597
12,2014-02-01,2014,2,49.04668
12,2014-03-01,2014,3,50.43092
12,2014-04-01,2014,4,47.21351
12,2014-05-01,2014,5,59.97089
12,2014-06-01,2014,6,54.32173
12,2014-07-01,2014,7,57.80101
12,2014-08-01,2014,8,58.99819
12,2014-09-01,2014,9,57.05278
12,2014-10-01,2014,10,59.18524
12,2014-11-01,2014,11,60.56948
12,2014-12-01,2014,12,81.59483
12,2015-01-01,2015,1,59.97089
12,2015-02-01,2015,2,54.8829
12,2015-03-01,2015,3,60.68171
12,2015-04-01,2015,4,57.91325
12,2015-05-01,2015,5,62.62712
12,2015-06-01,2015,6,57.1276
12,2015-07-01,2015,7,59.07301
12,2015-08-01,2015,8,59.55936
12,2015-09-01,2015,9,55.74337
12,2015-10-01,2015,10,58.3996
12,2015-11-01,2015,11,58.58666
12,2015-12-01,2015,12,78.67672
12,2016-01-01,2016,1,59.07301
12,2016-02-01,2016,2,55.21961
12,2016-03-01,2016,3,58.99819
12,2016-04-01,2016,4,58.77372
12,2016-05-01,2016,5,60.56948
12,2016-06-01,2016,6,57.72619
12,2016-07-01,2016,7,61.87888
12,2016-08-01,2016,8,58.43701
12,2016-09-01,2016,9,55.40667
12,2016-10-01,2016,10,59.40971
12,2016-11-01,2016,11,60.53206
12,2016-12-01,2016,12,79.12566
12,2017-01-01,2017,1,60.19963
12,2017-02-01,2017,2,54.42831
12,2017-03-01,2017,3,57.36167
12,2017-04-01,2017,4,58.16113
12,2017-05-01,2017,5,62.08622
12,2017-06-01,2017,6,58.83373
12,2017-07-01,2017,7,64.34317
12,2017-08-01,2017,8,64.72955
12,2017-09-01,2017,9,63.36301
12,2017-10-01,2017,10,64.01487
12,2017-11-01,2017,11,66.33483
12,2017-12-01,2017,12,84.05333
12,2018-01-01,2018,1,61.77724
12,2018-02-01,2018,2,58.25054
12,2018-03-01,2018,3,65.75753
12,2018-04-01,2018,4,61.73755
12,2018-05-01,2018,5,67.4547
12,2018-06-01,2018,6,64.9053
12,2018-07-01,2018,7,64.68484
12,2018-08-01,2018,8,68.98788
12,2018-09-01,2018,9,68.80688
12,2018-10-01,2018,10,71.55018
12,2018-11-01,2018,11,78.09537
12,2018-12-01,2018,12,89.50052
12,2019-01-01,2019,1,66.98351
12,2019-02-01,2019,2,63.67531
12,2019-03-01,2019,3,70.71757
12,2019-04-01,2019,4,67.35157
12,2019-05-01,2019,5,74.0703
12,2019-06-01,2019,6,70.61532
12,2019-07-01,2019,7,74.92177
12,2019-08-01,2019,8,74.75777
12,2019-09-01,2019,9,72.44853
12,2019-10-01,2019,10,75.54864
12,2019-11-01,2019,11,84.38036
12,2019-12-01,2019,12,97.69897
12,2020-01-01,2020,1,74.89272
12,2020-02-01,2020,2,72.10981
12,2020-03-01,2020,3,66.04987
12,2020-04-01,2020,4,52.8918
12,2020-05-01,2020,5,63.347
12,2020-06-01,2020,6,67.47186
12,2020-07-01,2020,7,81.41793
12,2020-08-01,2020,8,93.4052
12,2020-09-01,2020,9,87.83585
12,2020-10-01,2020,10,91.73565
12,2020-11-01,2020,11,102.68042
12,2020-12-01,2020,12,106.569
12,2021-01-01,2021,1,80.72411
12,2021-02-01,2021,2,67.0619
12,2021-03-01,2021,3,82.73094
12,2021-04-01,2021,4,78.89627
12,2021-05-01,2021,5,92.77962
12,2021-06-01,2021,6,89.68938
12,2021-07-01,2021,7,103.5637
12,2021-08-01,2021,8,93.2118
12,2021-09-01,2021,9,90.35659
12,2021-10-01,2021,10,97.63703
12,2021-11-01,2021,11,105.48207
12,2021-12-01,2021,12,111.21278
12,2022-01-01,2022,1,85.22912
12,2022-02-01,2022,2,82.91267
12,2022-03-01,2022,3,93.03054
12,2022-04-01,2022,4,94.00923
12,2022-05-01,2022,5,101.99278
12,2022-06-01,2022,6,95.58853
12,2022-07-01,2022,7,101.42156
12,2022-08-01,2022,8,103.06941
12,2022-09-01,2022,9,99.64841
12,2022-10-01,2022,10,106.38654
12,2022-11-01,2022,11,113.25947
12,2022-12-01,2022,12,123.45175
12,2023-01-01,2023,1,97.2856
12,2023-02-01,2023,2,92.88637
12,2023-03-01,2023,3,103.17625
12,2023-04-01,2023,4,99.43107
12,2023-05-01,2023,5,109.6007
12,2023-06-01,2023,6,106.10949
12,2023-07-01,2023,7,111.27709
12,2023-08-01,2023,8,110.18732
12,2023-09-01,2023,9,106.13584
12,2023-10-01,2023,10,110.7517
12,2023-11-01,2023,11,122.27655
12,2023-12-01,2023,12,133.65367
12,2024-01-01,2024,1,108.05686
12,2024-02-01,2024,2,104.12445
12,2024-03-01,2024,3,113.20169
12,2024-04-01,2024,4,114.08299
12,2024-05-01,2024,5,122.62022
12,2024-06-01,2024,6,114.49606
12,2024-07-01,2024,7,121.81806
12,2024-08-01,2024,8,120.38498
12,2024-09-01,2024,9,116.20024
12,2024-10-01,2024,10,124.1568
12,2024-11-01,2024,11,139.62806
12,2024-12-01,2024,12,144.72723
12,2025-01-01,2025,1,117.25856
12,2025-02-01,2025,2,112.53476
12,2025-03-01,2025,3,123.22783
12,2025-04-01,2025,4,124.00874
12,2025-05-01,2025,5,134.41581
12,2025-06-01,2025,6,123.14735
12,2025-07-01,2025,7,130.79131
12,2025-08-01,2025,8,130.32984
12,2025-09-01,2025,9,124.24645
12,2025-10-01,2025,10,131.29744
12,2025-11-01,2025,11,150.0417
13,2007-12-01,2007,12,47.41098
13,2008-01-01,2008,1,30.63911
13,2008-02-01,2008,2,28.95256
13,2008-03-01,2008,3,31.57609
13,2008-04-01,2008,4,30.9202
13,2008-05-01,2008,5,34.9492
13,2008-06-01,2008,6,32.79416
13,2008-07-01,2008,7,35.0429
13,2008-08-01,2008,8,35.08975
13,2008-09-01,2008,9,33.45004
13,2008-10-01,2008,10,35.83933
13,2008-11-01,2008,11,34.99605
13,2008-12-01,2008,12,49.75342
13,2009-01-01,2009,1,34.38702
13,2009-02-01,2009,2,31.0139
13,2009-03-01,2009,3,34.80865
13,2009-04-01,2009,4,34.19962
13,2009-05-01,2009,5,37.52589
13,2009-06-01,2009,6,35.79248
13,2009-07-01,2009,7,38.13492
13,2009-08-01,2009,8,38.7908
13,2009-09-01,2009,9,37.66643
13,2009-10-01,2009,10,40.19627
13,2009-11-01,2009,11,39.11874
13,2009-12-01,2009,12,53.40763
13,2010-01-01,2010,1,38.7908
13,2010-02-01,2010,2,36.35467
13,2010-03-01,2010,3,39.44669
13,2010-04-01,2010,4,38.41601
13,2010-05-01,2010,5,41.18009
13,2010-06-01,2010,6,40.7116
13,2010-07-01,2010,7,41.36749
13,2010-08-01,2010,8,44.7406
13,2010-09-01,2010,9,43.33514
13,2010-10-01,2010,10,45.06854
13,2010-11-01,2010,11,45.02169
13,2010-12-01,2010,12,61.93411
13,2011-01-01,2011,1,44.50636
13,2011-02-01,2011,2,40.66475
13,2011-03-01,2011,3,42.25761
13,2011-04-01,2011,4,42.58555
13,2011-05-01,2011,5,45.77127
13,2011-06-01,2011,6,44.5532
13,2011-07-01,2011,7,45.67758
13,2011-08-01,2011,8,48.44165
13,2011-09-01,2011,9,44.60005
13,2011-10-01,2011,10,47.50468
13,2011-11-01,2011,11,49.05069
13,2011-12-01,2011,12,66.61899
13,2012-01-01,2012,1,46.47401
13,2012-02-01,2012,2,43.24144
13,2012-03-01,2012,3,48.62905
13,2012-04-01,2012,4,47.27043
13,2012-05-01,2012,5,51.58052
13,2012-06-01,2012,6,49.37863
13,2012-07-01,2012,7,49.70657
13,2012-08-01,2012,8,50.97149
13,2012-09-01,2012,9,48.20741
13,2012-10-01,2012,10,49.70657
13,2012-11-01,2012,11,51.15888
13,2012-12-01,2012,12,68.25869
13,2013-01-01,2013,1,50.73725
13,2013-02-01,2013,2,46.94249
13,2013-03-01,2013,3,53.31393
13,2013-04-01,2013,4,51.11204
13,2013-05-01,2013,5,55.09418
13,2013-06-01,2013,6,53.45448
13,2013-07-01,2013,7,55.75007
13,2013-08-01,2013,8,57.90511
13,2013-09-01,2013,9,54.11036
13,2013-10-01,2013,10,57.76456
13,2013-11-01,2013,11,58.3736
13,2013-12-01,2013,12,78.05009
13,2014-01-01,2014,1,57.34293
13,2014-02-01,2014,2,50.6904
13,2014-03-01,2014,3,53.59502
13,2014-04-01,2014,4,52.93914
13,2014-05-01,2014,5,61.13768
13,2014-06-01,2014,6,55.51582
13,2014-07-01,2014,7,56.4528
13,2014-08-01,2014,8,59.96646
13,2014-09-01,2014,9,57.76456
13,2014-10-01,2014,10,61.04398
