dataset,mae_struct,mae_augmented,improvement
lp_controls,0.013810661223638072,0.005077153381389687,0.008733507842248384
lp_income,0.021165026980453538,0.015574509870414043,0.005590517110039495
lp_wealth,0.24634607877198766,0.10201463236641248,0.1443314464055752
