dataset,group,gain
lp_controls,PH2M,0.13801436296082767
lp_controls,WH2M,0.4271459863938764
lp_income,PH2M,0.6266827102380654
lp_income,WH2M,0.24961079951117549
lp_wealth,PH2M,-29.780213689571177
lp_wealth,WH2M,4.815155338240859
