dataset,response_label,direction,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,contractionary,0,0.0034145456380638714,-0.003453359860148879,-0.00686790549821275
lp_controls,consumption,contractionary,1,0.013695107704298201,0.006482114701879493,-0.0072129930024187085
lp_controls,consumption,contractionary,2,0.0106644555695657,0.008703216270389294,-0.001961239299176406
lp_controls,consumption,contractionary,3,0.014704368545100398,0.013615250532400291,-0.0010891180127001066
lp_controls,consumption,contractionary,4,0.014606415729563199,0.017141845376848583,0.0025354296472853838
lp_controls,consumption,contractionary,5,0.0182108568432829,0.02090593786639238,0.0026950810231094816
lp_controls,consumption,contractionary,6,0.016988633201854675,0.024286017292230296,0.007297384090375621
lp_controls,consumption,contractionary,7,0.0175217238042252,0.02754307532880177,0.010021351524576571
lp_controls,consumption,contractionary,8,0.012656443193251099,0.030589803207624063,0.017933360014372964
lp_controls,consumption,contractionary,9,0.028247421629657,0.033475123081190834,0.005227701451533836
lp_controls,consumption,contractionary,10,0.0242453691529563,0.03619351143729528,0.011948142284338981
lp_controls,consumption,contractionary,11,0.014945804378937898,0.038760101079673454,0.023814296700735555
lp_controls,consumption,contractionary,12,0.0239698662905528,0.04118116239088847,0.017211296100335668
lp_controls,consumption,contractionary,13,0.032069331643330604,0.04346576386795729,0.011396432224626683
lp_controls,consumption,contractionary,14,0.0220765935926766,0.0456212209864928,0.0235446273938162
lp_controls,consumption,contractionary,15,0.0345478045378585,0.047654924255253896,0.013107119717395393
lp_controls,consumption,contractionary,16,0.0203875460439776,0.04957365416935318,0.02918610812537558
lp_controls,consumption,contractionary,17,0.0260290457159157,0.05138388344108534,0.02535483772516964
lp_controls,consumption,contractionary,18,0.031045656939714998,0.053091688768247366,0.02204603182853237
lp_controls,consumption,contractionary,19,0.011612773623721399,0.05470281456228668,0.04309004093856528
lp_controls,consumption,contractionary,20,0.0079077889242285,0.05622267522193306,0.048314886297704564
lp_controls,consumption,contractionary,21,0.025394906075926704,0.05765638005222318,0.03226147397629647
lp_controls,consumption,contractionary,22,0.0156786821311941,0.05900874781456894,0.043330065683374844
lp_controls,consumption,contractionary,23,-0.0056259879178986,0.06028432398990085,0.06591031190779945
lp_controls,consumption,contractionary,24,0.035665932505961305,0.061487395690167874,0.02582146318420657
lp_controls,consumption,contractionary,25,0.0265893082219823,0.06262200629646666,0.036032698074484365
lp_controls,consumption,contractionary,26,0.0250546909476497,0.06369196909303335,0.03863727814538365
