metric,baseline,candidate,delta_candidate_minus_baseline
controls_gap,0.11602456655441956,0.013810661223638027,-0.10221390533078153
income_gap,0.11331400443935442,0.021165026980453475,-0.09214897745890095
wealth_gap,0.25131412474169085,0.2463460787719876,-0.004968045969703239
controls_ci_hit,0.0,0.65,0.65
income_ci_hit,0.01,0.65,0.64
wealth_ci_hit,0.57,0.72,0.15000000000000002
h0_sign_mismatches,1.0,1.0,0.0
h0_near_zero_ignored,6.0,6.0,0.0
overall_corr,0.11132938471486481,0.20393294774709184,0.09260356303222703
