horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,-2.3538665957696843,2.6245283836052096,-6.514798668843144,1.8532520837739768,-5.214305729402578,4.506497342381116,-12.392105434788666,1.7091733196630912,2673,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
1,-4.381629601026563,2.417104320685956,-8.297926951369387,-0.2452795098807264,-7.658751702123721,3.937636506001022,-14.059998914585481,-0.9693684090484821,2646,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
2,0.37178670915709633,2.1745436122674553,-3.5931666458315785,3.701954260753172,0.20076462571390974,3.906881221568442,-6.892396000185328,6.0668424674995975,2619,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
3,-1.886029443723849,2.7667867767028236,-7.060267302313443,2.5340198552421036,-3.108765907971922,4.674022008923018,-12.015865069885006,3.984345205862379,2592,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
4,-3.9169808367079515,2.653783886352964,-8.05571599679126,1.1074920497500105,-7.288893472160413,4.547969173021145,-14.602617333274422,1.2131344747111026,2565,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
5,4.539726609331674,2.5264765876127435,-0.5261971512954526,8.301271592893064,7.592839708656987,4.6290577794112195,-1.6580610296200964,14.556564215841776,2538,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
6,-1.41467517173622,3.184239441452793,-6.358900603538211,3.782136795852775,-0.9294704377469413,5.2574632964243815,-9.074792582039244,7.610902151087782,2511,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
7,-5.010101714264718,2.221825573780445,-8.98009835756477,-1.4428371752840385,-9.017045505410486,4.1069869439266125,-16.27630699444956,-2.2550871340857053,2484,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
8,5.288737855305065,3.2354002408076497,-0.014924273649361375,10.91133473267832,8.468731420080866,5.82057062612606,-1.2290321153382318,18.075986775697658,2457,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
9,-0.17826468789782987,3.425110037816101,-5.112095412084439,5.683663573472248,-0.1482215017405339,5.432643592425093,-7.942248592543065,9.442401538449822,2430,cumulative,lag1_tfe,expansionary,Time-Varying Param,eps_tvp
