horizon,b_mp_x_ph2m,se_mp_x_ph2m,ci_lo_ph2m,ci_hi_ph2m,b_mp_x_wh2m,se_mp_x_wh2m,ci_lo_wh2m,ci_hi_wh2m,nobs,response_type,spec,shock_type,shock_series,shock_var
0,0.7450896061603153,0.7027969971361543,-0.5626753072669445,1.8682860335337987,1.191053763526117,1.2350707396936236,-1.1179071242333907,3.0372736116214227,2673,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
1,-0.10151671138941833,0.9299479901803814,-2.1198558859512024,1.2447090571771189,0.06507257285840379,1.57562191682622,-3.36897476055422,2.3277524929215425,2646,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
2,0.8184888217256282,0.8372467151438353,-0.8204696311682961,2.0289928856670953,1.426584595103482,1.4495042405390215,-1.453344945541807,3.5056633348385104,2619,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
3,1.0646950864937883,0.8955724170943918,-0.711039414829326,2.4143319417799343,2.232466643683606,1.612396688773937,-0.9546280754855639,4.691459565580157,2592,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
4,0.5752077685098471,1.0544346999046388,-1.5839936546961344,2.180207134380433,1.0562514945426345,1.8702720806744604,-2.632239365866323,3.98216266976381,2565,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
5,1.685189795736029,0.7724737386189469,0.2157198506425918,2.8737922296076515,2.994221937020326,1.3784820342900028,0.43304451479076717,5.0665858596469056,2538,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
6,1.2940996247673435,1.236934646818701,-1.1383452117493065,3.142036823429853,3.1505516750962452,2.138742978890281,-1.1327424143376001,6.32057180580564,2511,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
7,0.3292145673729059,1.1289886514291614,-2.062471147198102,1.8624458047362147,0.4823053422528725,2.005195294999758,-3.709340270635627,3.1459319309624414,2484,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
8,2.406514770143981,0.9929826523994091,0.5403474491534007,3.905414250292728,4.213767739207962,1.6858456288032724,0.9901327511734298,6.628572883072885,2457,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
9,1.331760812456462,1.155635272520845,-0.7633790672214883,3.0758777695628092,2.680745473045303,1.9239708375786417,-1.0641472989267506,5.540262840368468,2430,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
10,1.607768045501722,1.4344639235678285,-1.1676919778111903,3.529080055061027,2.6344159280742105,2.4854316217285173,-2.260991860194561,6.0544381489740235,2403,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
11,2.3357491677720583,1.1828029051057614,0.23424128731805013,4.456476130520611,4.62777110972731,1.9826513970949524,1.0424377390421908,8.280430197826359,2376,cumulative,lag1_tfe,expansionary,Recursive Residual,eps_rr
