t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP,dP,dW
18,-1.046745162657302e-06,-1.4487876077352831e-05,2.9470563687109306e-05,-9.054333930312325e-07,6.158666501061795e-07,1.4019900452450637e-06,8.206800087452568e-07,-9.744788534814366e-08,-1.1507061740166494e-05,0.00013613401071847986,0.00012445601275825195,-0.0,-0.0,-0.0,-0.0,6.634012048015668e-08,1.857215541034745e-06
19,-9.874596712212001e-07,-1.3667196068607574e-05,2.7801152627516898e-05,-8.541682776792402e-07,5.813100364998169e-07,1.3234712544531487e-06,7.747526310407367e-07,-9.191105703751087e-08,-1.085731795148262e-05,0.0001284902078175159,0.00011747153732558436,-0.0,-0.0,-0.0,-0.0,-1.0883484667843167e-07,1.5157363816989736e-06
20,-9.31477840209116e-07,-1.2892443437566837e-05,2.6225202926053643e-05,-8.057317856002639e-07,5.4871862341245e-07,1.249385205381969e-06,7.314133429081293e-07,-8.671223271247157e-08,-1.0243917860890811e-05,0.00012127855546850763,0.00011088232642832739,-0.0,-0.0,-0.0,-0.0,-2.3974621178427403e-07,1.2291348043810425e-06
21,-8.786350642352098e-07,-1.2161030094658708e-05,2.4737391639927076e-05,-7.600261138664167e-07,5.179718624738603e-07,1.1795133921511727e-06,6.905410866458202e-07,-8.178934799558109e-08,-9.664815697272115e-06,0.00011447480683806033,0.00010466620964248511,-0.0,-0.0,-0.0,-0.0,-3.3576511155567574e-07,9.88976603472879e-07
22,-8.287454691517458e-07,-1.1470489008012887e-05,2.3332720349724667e-05,-7.168752815339836e-07,4.889723055053655e-07,1.1136108948897996e-06,6.519882621681861e-07,-7.71410351114247e-08,-9.118056108929326e-06,0.00010805609027036248,9.880229923914421e-05,-0.0,-0.0,-0.0,-0.0,-4.043541367811952e-07,7.881074654691532e-07
23,-7.816463471500325e-07,-1.08185007458447e-05,2.200645827386643e-05,-6.761482470383023e-07,4.6162263272166693e-07,1.0514632217083981e-06,6.156284674648974e-07,-7.274197614824446e-08,-8.601802769050042e-06,0.0001020008272216677,9.327088008386332e-05,-0.0,-0.0,-0.0,-0.0,-4.514591247781651e-07,6.204547415682005e-07
24,-7.371802815669203e-07,-1.0202872278379803e-05,2.075414176936765e-05,-6.377108948794986e-07,4.358347542435407e-07,9.92863515419728e-07,5.813369035537809e-07,-6.857536719238185e-08,-8.114318670339439e-06,9.628866129220296e-05,8.805335827705709e-05,-0.0,-0.0,-0.0,-0.0,-4.818115761318687e-07,4.808660829911467e-07
25,-6.952020800117927e-07,-9.621535374826021e-06,1.9571552688810357e-05,-6.01446072010656e-07,4.1152661186592074e-07,9.376215308715956e-07,5.489972148296131e-07,-6.461884440065691e-08,-7.653966111592061e-06,9.090038844181987e-05,8.3132191540834e-05,-0.0,-0.0,-0.0,-0.0,-4.991752926218607e-07,3.649691056447564e-07
26,-6.55576354334953e-07,-9.072538159996408e-06,1.845470592533215e-05,-5.672478895732067e-07,3.886243160419968e-07,8.855607344587292e-07,5.184977936298949e-07,-6.084803828682115e-08,-7.219199686156274e-06,8.58178918092837e-05,7.849083109936907e-05,-0.0,-0.0,-0.0,-0.0,-5.065424896191534e-07,2.6905274563292085e-07
27,-6.181793995047956e-07,-8.554040366366513e-06,1.7399833960277833e-05,-5.350277734660202e-07,3.670629408288515e-07,8.365210292133446e-07,4.897320105690266e-07,-5.723210890872819e-08,-6.808562916284764e-06,8.102407923741921e-05,7.411366265368168e-05,-0.0,-0.0,-0.0,-0.0,-5.062922534987638e-07,1.8996517725414038e-07
28,-5.829003164877885e-07,-8.064308355797486e-06,1.640337287040575e-05,-5.047183884182466e-07,3.4678901864431836e-07,7.903607219679216e-07,4.625965402396384e-07,-5.373075457305538e-08,-6.420684573168491e-06,7.650282358133268e-05,6.998595043159741e-05,-0.0,-0.0,-0.0,-0.0,-5.003184700585112e-07,1.250259693190487e-07
29,-5.496438607914391e-07,-7.601711815557848e-06,1.5461947556153912e-05,-4.7628225079780666e-07,3.277641817283099e-07,7.46961038659654e-07,4.3698987146978195e-07,-5.0288030320716124e-08,-6.054276609495621e-06,7.223890490753237e-05,6.609378151526118e-05,-0.0,-0.0,-0.0,-0.0,-4.901345439469021e-07,7.194938854755255e-08
30,-5.183347907594942e-07,-7.164721944088066e-06,1.4572356369907639e-05,-4.497244113584191e-07,3.0997116718990035e-07,7.062331253336901e-07,4.1280987861257564e-07,-4.682339905706254e-08,-5.70813352080137e-06,6.821795377161392e-05,6.24240098077448e-05,-0.0,-0.0,-0.0,-0.0,-4.769606927941471e-07,2.8776183716819387e-08
31,-4.88924935022222e-07,-6.751912065475491e-06,1.3731554051230502e-05,-4.251125562512595e-07,2.9342324672112707e-07,6.681294867854787e-07,3.8995046984013543e-07,-4.3217724193367036e-08,-5.381134085256515e-06,6.442639426915606e-05,5.896419738560324e-05,-0.0,-0.0,-0.0,-0.0,-4.6179931935527853e-07,-6.189115530427131e-09
