"uf_code","horizon","variant","beta_mp","se_mp","lo95_mp","hi95_mp","lo95_mp_wild","hi95_mp_wild","uf_label","macro_region"
15,3,"nearest",0.0217357442424822,NA,NA,NA,NA,NA,"15 - Pará","North"
15,4,"nearest",0.150038104077188,NA,NA,NA,NA,NA,"15 - Pará","North"
15,5,"nearest",-0.0312355922967078,NA,NA,NA,NA,NA,"15 - Pará","North"
15,6,"nearest",0.497967863027934,NA,NA,NA,NA,NA,"15 - Pará","North"
15,7,"nearest",-0.0553169268087185,NA,NA,NA,NA,NA,"15 - Pará","North"
15,8,"nearest",-0.0169179625412911,NA,NA,NA,NA,NA,"15 - Pará","North"
15,9,"nearest",0.00835460304808027,NA,NA,NA,NA,NA,"15 - Pará","North"
15,10,"nearest",-0.00245131347578866,NA,NA,NA,NA,NA,"15 - Pará","North"
15,11,"nearest",-0.0671781064243437,NA,NA,NA,NA,NA,"15 - Pará","North"
15,12,"nearest",0.146477576384407,NA,NA,NA,NA,NA,"15 - Pará","North"
16,0,"nearest",0.0426696063932295,0.0893363339759829,-0.132429608199697,0.217768820986156,NA,NA,"16 - Amapá","North"
16,1,"nearest",0.114577130361944,0.0525329379586658,0.0116125719629589,0.217541688760929,NA,NA,"16 - Amapá","North"
16,2,"nearest",-0.122288969988046,0.125097471337919,-0.367480013810367,0.122902073834274,NA,NA,"16 - Amapá","North"
16,3,"nearest",-0.014237981539935,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,4,"nearest",-0.335155544412846,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,5,"nearest",-0.0174673328455643,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,6,"nearest",0.166927360842653,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,7,"nearest",-0.46699030987134,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,8,"nearest",0.133890384265976,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,9,"nearest",0.22377202258215,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,10,"nearest",-0.074519200112988,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,11,"nearest",-0.0918029058765042,NA,NA,NA,NA,NA,"16 - Amapá","North"
16,12,"nearest",0.00109450366505982,NA,NA,NA,NA,NA,"16 - Amapá","North"
17,0,"nearest",0.0359533466562734,0.0795453460646192,-0.11995553163038,0.191862224942927,NA,NA,"17 - Tocantins","North"
17,1,"nearest",-0.0608600907223495,0.170638962157577,-0.395312456551199,0.2735922751065,NA,NA,"17 - Tocantins","North"
17,2,"nearest",-0.112981375525769,0.105399445000273,-0.319564287726305,0.0936015366747665,NA,NA,"17 - Tocantins","North"
17,3,"nearest",0.0823036772729261,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,4,"nearest",0.188580747302033,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,5,"nearest",0.317954252372401,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,6,"nearest",1.11469145472131,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,7,"nearest",-0.182296838949658,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,8,"nearest",-0.143252217526005,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,9,"nearest",0.0698353971670864,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,10,"nearest",0.0474026189407658,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,11,"nearest",-0.0553718513284686,NA,NA,NA,NA,NA,"17 - Tocantins","North"
17,12,"nearest",0.0137956147770709,NA,NA,NA,NA,NA,"17 - Tocantins","North"
21,0,"nearest",-0.0148465454789872,0.0181059967555338,-0.0503342991198334,0.020641208161859,NA,NA,"21 - Maranhão","Northeast"
21,1,"nearest",0.119810783547238,0.100419254462385,-0.0770109551990371,0.316632522293513,NA,NA,"21 - Maranhão","Northeast"
21,2,"nearest",-0.124421176541121,0.0463762975220366,-0.215318719684313,-0.0335236333979297,NA,NA,"21 - Maranhão","Northeast"
21,3,"nearest",0.0513791129900345,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,4,"nearest",0.293756904213739,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,5,"nearest",-0.361827486364351,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,6,"nearest",0.516437254721185,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,7,"nearest",0.213896980538698,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,8,"nearest",-0.0492596028944881,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,9,"nearest",-0.118087973087417,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,10,"nearest",0.463387181938458,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,11,"nearest",-0.359946599345376,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
21,12,"nearest",0.846290054905086,NA,NA,NA,NA,NA,"21 - Maranhão","Northeast"
22,0,"nearest",-0.025181780336094,0.0780974567303508,-0.178252795527582,0.127889234855394,NA,NA,"22 - Piauí","Northeast"
22,1,"nearest",-0.0422382615203762,0.142911706141139,-0.322345205557009,0.237868682516256,NA,NA,"22 - Piauí","Northeast"
22,2,"nearest",-0.095758152274892,0.0336285443795968,-0.161670099258902,-0.0298462052908822,NA,NA,"22 - Piauí","Northeast"
22,3,"nearest",-0.289211111584189,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,4,"nearest",0.293143408591415,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,5,"nearest",0.0644595530008136,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,6,"nearest",0.102851768677372,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,7,"nearest",-3.27669503588905,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,8,"nearest",-0.0962689472678562,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,9,"nearest",-0.156728732109788,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
22,10,"nearest",0.343801053542999,NA,NA,NA,NA,NA,"22 - Piauí","Northeast"
