uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear
11,RO,Rondônia,2016.01,93.32996,2016,1,672,-0.207600025,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.02,93.23884,2016,2,673,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.03,87.90578,2016,3,674,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.04,84.9068,2016,4,675,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.05,84.60177,2016,5,676,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.06,86.53953,2016,6,677,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.07,84.16723,2016,7,678,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.08,82.38907,2016,8,679,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.09,79.17813,2016,9,680,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.1,80.99382,2016,10,681,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.11,80.32254,2016,11,682,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2016.12,81.43929,2016,12,683,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2017.01,87.4676,2017,1,684,-0.224587529,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2017.02,85.64946,2017,2,685,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,,,,
11,RO,Rondônia,2017.03,87.93698,2017,3,686,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919
11,RO,Rondônia,2017.04,87.53734,2017,4,687,0.0,0.2470222109259561,0.2563865942837023,0.4965911947903415,1249972.72985919,0.2492188256185971,0.2533053947562493,0.4974757796251534,1252761.5506590242
11,RO,Rondônia,2017.05,90.03739,2017,5,688,0.0,0.2536852754936339,0.2470402890504284,0.4992744354559377,1258432.15295202,0.2514886608009928,0.2501214885778813,0.4983898506211257,1255643.332152186
11,RO,Rondônia,2017.06,89.20101,2017,6,689,0.0,0.2536852754936339,0.2470402890504284,0.4992744354559377,1258432.15295202,0.2536852754936339,0.2470402890504284,0.4992744354559377,1258432.15295202
11,RO,Rondônia,2017.07,89.31772,2017,7,690,-0.328460526,0.2536852754936339,0.2470402890504284,0.4992744354559377,1258432.15295202,0.2510956736097659,0.2531725847595493,0.4957317416306848,1260444.8524295797
11,RO,Rondônia,2017.08,94.46469,2017,8,691,0.0,0.2460000053866709,0.2652393601871742,0.4887606344261548,1264405.3255951,0.2485060717258979,0.2593048804686701,0.4921890478054318,1262457.5519071391
11,RO,Rondônia,2017.09,90.26129,2017,9,692,0.0,0.2460000053866709,0.2652393601871742,0.4887606344261548,1264405.3255951,0.2460000053866709,0.2652393601871742,0.4887606344261548,1264405.3255951
11,RO,Rondônia,2017.1,92.99392,2017,10,693,-0.195035395,0.2460000053866709,0.2652393601871742,0.4887606344261548,1264405.3255951,0.2484138494416903,0.2630293537468792,0.4885567968114304,1268713.5931725958
11,RO,Rondônia,2017.11,88.12147,2017,11,694,0.0,0.2531636716144704,0.2586806313966214,0.4881556969889082,1277191.15195412,0.250749827559451,0.2608906378369163,0.4883595346036326,1272882.884376624
11,RO,Rondônia,2017.12,93.55902,2017,12,695,0.0,0.2531636716144704,0.2586806313966214,0.4881556969889082,1277191.15195412,0.2531636716144704,0.2586806313966214,0.4881556969889082,1277191.15195412
11,RO,Rondônia,2018.01,92.70677,2018,1,696,0.0,0.2531636716144704,0.2586806313966214,0.4881556969889082,1277191.15195412,0.2503233016057045,0.2576516278658961,0.4920250705283993,1279182.902745281
11,RO,Rondônia,2018.02,93.06849,2018,2,697,0.0,0.2449174361051501,0.25569320179129,0.4993893621035598,1282973.65425104,0.2477578061139159,0.2567222053220153,0.4955199885640687,1280981.9034598786
11,RO,Rondônia,2018.03,95.57307,2018,3,698,0.0,0.2449174361051501,0.25569320179129,0.4993893621035598,1282973.65425104,0.2449174361051501,0.25569320179129,0.4993893621035598,1282973.65425104
11,RO,Rondônia,2018.04,96.23321,2018,4,699,0.0,0.2449174361051501,0.25569320179129,0.4993893621035598,1282973.65425104,0.2446888091252091,0.2573035414080666,0.4980076494667241,1283796.3215629894
11,RO,Rondônia,2018.05,93.8365,2018,5,700,0.08898676,0.2442239342659958,0.2605778986288458,0.4951981671051583,1285469.07843062,0.2444525612459367,0.2589675590120691,0.4965798797419939,1284646.4111186706
11,RO,Rondônia,2018.06,94.34281,2018,6,701,0.0,0.2442239342659958,0.2605778986288458,0.4951981671051583,1285469.07843062,0.2442239342659958,0.2605778986288458,0.4951981671051583,1285469.07843062
11,RO,Rondônia,2018.07,90.21974,2018,7,702,0.0,0.2442239342659958,0.2605778986288458,0.4951981671051583,1285469.07843062,0.2487813119278557,0.2581956613660626,0.4930230267060816,1288173.1870918744
