"uf_code","horizon","n_obs","beta_mp","se_mp","lo95_mp","hi95_mp","beta_ph2m","se_ph2m","lo95_ph2m","hi95_ph2m","beta_wh2m","se_wh2m","lo95_wh2m","hi95_wh2m"
11,0,21,-0.088895634557019,0.106857553557453,-0.298336439529627,0.120545170415589,-20.6166914388371,9.46543885134405,-39.1689515874715,-2.0644312902028,-16.7476526774715,7.80925510989358,-32.0537926928629,-1.44151266208008
11,1,20,-0.06789958416411,0.0554824863674982,-0.176645257444406,0.0408460891161866,11.1390444466717,4.90719746824777,1.52093740890609,20.7571514844373,5.01987263251056,4.19230774439471,-3.19705054650307,13.2367958115242
11,2,19,0.218289296572031,0.0292690516227617,0.160921955391418,0.275656637752643,-29.1360863482203,5.42560267211264,-39.7702675855611,-18.5019051108795,-25.3557350222805,4.18988074917128,-33.5679012906562,-17.1435687539048
11,3,18,-0.0194077267592224,NA,NA,NA,2.03941645799004,NA,NA,NA,3.75270069176675,NA,NA,NA
11,4,17,-0.371766911202933,NA,NA,NA,94.8447200230528,NA,NA,NA,66.5853690318104,NA,NA,NA
11,5,16,-0.315454207960222,NA,NA,NA,66.4182369706441,NA,NA,NA,21.6286588768043,NA,NA,NA
11,6,15,0.381824784321844,NA,NA,NA,32.7734116196672,NA,NA,NA,21.9550649558609,NA,NA,NA
11,7,14,-0.510296356989302,NA,NA,NA,35.5630291309541,NA,NA,NA,9.57786767417334,NA,NA,NA
11,8,13,-0.186058517947087,NA,NA,NA,22.6544583364951,NA,NA,NA,4.53324721195063,NA,NA,NA
11,9,12,0.310762566485455,NA,NA,NA,4.95641118655619,NA,NA,NA,-0.193868909898327,NA,NA,NA
11,10,11,-0.264188317812149,NA,NA,NA,12.7807177942831,NA,NA,NA,-5.13902115262916,NA,NA,NA
11,11,10,-0.172169881151306,NA,NA,NA,10.9506670798378,NA,NA,NA,1.04388944249085,NA,NA,NA
11,12,9,0.0708785145819079,NA,NA,NA,4.34107458525133,NA,NA,NA,1.4692759041872,NA,NA,NA
12,0,21,-0.205212388010399,0.22216772771704,-0.640661134335797,0.230236358315,-0.321291501535854,4.03273638223154,-8.22545481070967,7.58287180763797,2.35659859821242,10.2298929845352,-17.6939916514766,22.4071888479015
12,1,20,0.0963594090576111,0.162461051080106,-0.222064251059397,0.414783069174619,7.66991917085057,1.27716824425664,5.16666941210756,10.1731689295936,22.3773138098352,4.85131799888896,12.8687305320129,31.8858970876576
12,2,19,-0.0471033451643577,0.248657861108165,-0.534472752936362,0.440266062607646,1.26142609116287,24.2962126287795,-46.359150661245,48.8820028435707,16.53853096654,18.8721297215445,-20.4508432876873,53.5279052207674
12,3,18,0.107513012193122,NA,NA,NA,-8.45127070351221,NA,NA,NA,1.67743272618949,NA,NA,NA
12,4,17,0.228849045351188,NA,NA,NA,-4.12631642745353,NA,NA,NA,-9.24674253568148,NA,NA,NA
12,5,16,0.0311376215345392,NA,NA,NA,10.5522874939414,NA,NA,NA,-37.1359674832291,NA,NA,NA
12,6,15,0.024545334276792,NA,NA,NA,40.7287724978729,NA,NA,NA,-86.6209500504279,NA,NA,NA
