draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
678,0.24699127848960717,0.0020709521360893395,0.09,0.15492032635351785,-2.455423327284919,-1.9302735295621565,0.029094899549935865,0.028075892420723246,0.36036582409879103,0.044195397312353085,0.013994401787518646,0.4005785849082135,1.8350867603804748,0.2333627581469496,0.8333887146496555,0.7079261694605605,0.5680452416964924,0.07961148274566243,0.4869250174577059
12,0.2607888572233245,0.0025831733574508495,0.09,0.16820568386587365,-3.6264165021022707,-3.2047498335216877,0.03719777894122998,0.034977377858527496,0.35458039744028047,0.05326791106109395,0.021127646821366006,0.4649032461662834,1.8352260297341747,0.3661748555618146,0.8728857821861923,0.4807915737924733,0.9237999207455653,0.1969002169517907,0.369769487013138
1002,0.2645143189515299,0.002476228031875014,0.09,0.17203809091965488,-2.7924736946754485,-2.078314134458997,0.033913949861316905,0.03230259607811749,0.37214612536077296,0.05083054977640716,0.01699734994622664,0.44153070907494113,1.7187354749870476,0.26143692970358984,0.8229502890919332,0.6668602334588529,0.43312707622294494,0.07111952592661426,0.38744811325386275
702,0.2778800592697303,0.0030506032343655676,0.09,0.18482945603536474,-3.926591959711392,-3.384959367933001,0.0419869659808487,0.039641446354508995,0.3653349129398896,0.059854240888044336,0.02411969107365307,0.48574570908968484,1.8189045562015733,0.256714597979121,0.8605336671964368,0.9215611946219869,0.42364002849043436,0.18269799872700693,0.33455668571726266
432,0.2845575343429164,0.002956974342976761,0.09,0.19160055999993966,-2.903825679513643,-2.0409300190517805,0.038304667518112345,0.0365450884377365,0.3881940446463957,0.057727176269071215,0.018882158767153472,0.4844405617245468,1.623949397854328,0.20922217590453687,0.6190017464335638,0.3112140561048019,0.5024540916951776,0.049450894221866486,0.36435793515964204
666,0.28561855888370435,0.00319287883950207,0.09,0.1924256800442023,-3.686237390922053,-3.463962751347763,0.04226416906665646,0.040013147355167006,0.3698409652474469,0.06277301988313798,0.021755318250174942,0.5123037518031023,1.8047109361920284,0.08755194597678913,0.6503740364799351,0.852075755199427,0.7958965535475622,0.18730226077149933,0.4818440133961642
870,0.29288256084746095,0.003762892852068343,0.09,0.1991196679953926,-4.91626142121346,-4.1097716685361085,0.0500421455644017,0.04747507275650677,0.367436038122807,0.06759637196301248,0.03248791916579093,0.4810340302395491,1.8284637157068497,0.24622520553378696,0.8648542129631065,0.6613171522232272,0.7855532604992743,0.2251312118915491,0.2160468500549097
1044,0.2940559222785641,0.003539938687070663,0.09,0.20051598359149342,-4.13735193552422,-3.8529649527468077,0.046088428343902144,0.04370854399687496,0.37128051627601694,0.06700807753632301,0.02516877915148127,0.4581201061990063,1.249748184091451,0.16530278525319173,0.9773780685400443,0.5824782431809978,0.2157594919104508,0.21015999062281698,0.41759867805454054
480,0.2943500575625547,0.0033810006893670356,0.09,0.20096905687318767,-3.6273892956830145,-3.142467711842639,0.043636043745054004,0.041345299761343435,0.3808169416597197,0.06474678294274391,0.022525304547364094,0.5198105105359796,1.673631506103589,0.1580203208780653,0.9599479337376681,0.4410002664579899,0.5760488548007959,0.13878762244706855,0.42117801004641786
1128,0.29697808680802806,0.003692338641345567,0.09,0.20328574816668252,-4.422858779301907,-3.530265793899322,0.04847677768347438,0.04596428717220845,0.37784476544627155,0.06710964764944655,0.029843907717502206,0.48938943916186944,1.8360458021810624,0.19536939669536418,0.7373888995544329,0.319853691462955,0.816766208645398,0.16020013967353222,0.23154637122699676
606,0.2977594494062942,0.0034206120132107866,0.09,0.20433883739308342,-3.47022876521773,-2.7431103080704684,0.043606072135744675,0.04139674506512385,0.38878921980011694,0.06464430850577293,0.022567835765716412,0.530850437665382,1.8670884677423998,0.11428126065564574,0.6923067614030859,0.8838977219290275,0.30653798266839627,0.0966166704379079,0.36873447414235244
72,0.2992731871774848,0.0035065695083897758,0.09,0.20576661766909504,-3.647567161491144,-3.062754454231221,0.04470769238763761,0.042389263978282514,0.3852995478666996,0.06615850510172554,0.023256879673549686,0.40402295096115864,0.6726375812213835,0.2901223823085903,0.8471702114970125,0.967628044328924,0.6273040532093375,0.12460140967065586,0.3902589790646435
708,0.3001214086397252,0.003779869047384107,0.09,0.20634153959234108,-4.40461250323419,-3.965168424333949,0.04857082929338264,0.046109208149172444,0.3745859747196152,0.06950416353495092,0.027637495051814356,0.5339627056930563,1.453862474079605,0.35531356702101935,0.9177198437715036,0.852006373203987,0.4935726372755353,0.20679758746690546,0.35772421398979826
570,0.30131929649032296,0.0034167358955308584,0.09,0.2079025605947921,-3.083900267604232,-2.166668188926493,0.04243945053874046,0.040464652704601256,0.3990985892179282,0.06395082723283585,0.020928073844645064,0.4684468665915937,0.9084448316198759,0.3519352941570957,0.9440131496472459,0.3730087777868405,0.5881526947707189,0.0473620473100271,0.35561948260128007
722,0.30232893040377795,0.003562368382262905,0.09,0.20876656202151503,-3.5078299039517966,-2.3541522109828508,0.045251784788841405,0.04304855355854394,0.3972166415490764,0.06509788251474623,0.025405687062936583,0.4487812536910855,1.3148672301081195,0.16143568159555988,0.8651513583883158,0.98,0.45570252576301024,0.05477069788981008,0.23465567574923038
348,0.3039620292904973,0.004043125814872623,0.09,0.20991890347562467,-4.795242109413398,-3.5907470427118415,0.052448928748375645,0.0498396923340762,0.3816528783238886,0.06991163612698481,0.03498622136976649,0.4251142569901884,1.5377999308806103,0.19020933961283112,0.7709129592641537,0.46684226015486613,0.27801318924051455,0.15107726309656702,0.14697438699369086
24,0.30546137616476055,0.0041760395999142245,0.09,0.21128533656484635,-5.076016275105564,-4.465893997303455,0.0530792166637474,0.05050297611965886,0.37219775421969886,0.07307472746094124,0.03308370586655356,0.4985975694867565,1.218950745585434,0.35358795510986185,0.6766095196286835,0.5110200975720645,0.760794112505001,0.24323834225463214,0.2703409456530775
612,0.30590816624233463,0.0039630006582349175,0.09,0.21194516558409973,-4.480487836974961,-3.963296106282518,0.05010810251376753,0.04761549763001027,0.37894992674224726,0.07152208457291101,0.028694120454624054,0.5199820515085674,1.3269770909530518,0.31373876251204086,0.664988095781105,0.32982363272418286,0.4736492690061379,0.1957657806381849,0.33935872436410564
522,0.30630021505492194,0.00394257200116669,0.09,0.21235764305375526,-4.367547826608498,-3.9858741525416774,0.049551309974774305,0.047097479772192426,0.3789558163366534,0.07171076897957272,0.02739185096997588,0.5557242920131311,1.5888117092354495,0.28377090195046295,0.7996107316728552,0.5875829772691548,0.7931773425366382,0.20033906384680508,0.38819071453357723
174,0.3064722736433748,0.003806684143283065,0.09,0.21266558950009176,-3.828941165839895,-2.374735568308876,0.04862148624793506,0.046281437422565526,0.39928034214871494,0.06683888194322701,0.030404090552643107,0.44258984689324105,1.52577873458293,0.19504697038048366,0.962966950532402,0.7163102858438877,0.1298995848567568,0.047805601916195074,0.1346771047859835
546,0.30648062228091966,0.003867802816442481,0.09,0.2126128194644772,-3.9739259060842507,-2.450125436053641,0.04971189107461478,0.04730811202382865,0.3978733982365944,0.0671637927840672,0.032259989365162355,0.4247177719300639,1.6016543650761856,0.18573732880412772,0.7617541474231702,0.5224761837636159,0.9239508053937985,0.05198006866497252,0.10960159787859713
786,0.30691695396910634,0.003508346930874924,0.09,0.2134086070382314,-2.8065368480847757,-2.0072921797120027,0.04193506974437579,0.040180694455851915,0.40578172232309995,0.06531150573194966,0.01855863375680192,0.46294898344343943,0.8714937272933571,0.20268144573037405,0.6532200357834008,0.5795841337717316,0.4753793684075559,0.036181591282596806,0.4616635816900377
960,0.31100224392823417,0.0036925782119023366,0.09,0.21730966571633187,-3.0891751458220607,-1.991550212320939,0.04455618018879017,0.04256012652696267,0.4092350653278201,0.06684198373763164,0.0222703766399487,0.5434047987661931,1.4218933289718587,0.30430370799145035,0.7276102810914893,0.8958344353708624,0.3285031360552176,0.026767462233954643,0.3159392086206862
114,0.3134149418963467,0.003819383336928641,0.09,0.2195955585594181,-3.397017543707652,-2.557651778649481,0.04626250045674929,0.04408179895382239,0.4027818079593455,0.06940310304157238,0.023121897871926204,0.4552176051073951,0.6497176789572289,0.3431970583451441,0.6700019082149741,0.5812261932907794,0.4823804049525073,0.06886215352557032,0.36671279261455386
504,0.31343748375288194,0.004134739446723152,0.09,0.2193027443061588,-4.306362904994156,-4.076304064215238,0.05056069386518874,0.048130756703302816,0.3829630244221814,0.07444645952972942,0.02667492820064806,0.5473315811424935,1.2021607616858954,0.3501178782715139,0.7240139568004399,0.6288139880529053,0.908388126046956,0.2015708420732168,0.44803794935205427
600,0.313717159881203,0.004507187697081309,0.09,0.21920997218412172,-5.222924467862582,-3.992639146185463,0.05664318581821104,0.053975908898508645,0.38366047757700944,0.07467615356349133,0.03861021807293073,0.4989375555863903,1.6932508912177222,0.29276176798451764,0.8231436882275088,0.8980155592484944,0.20343674426797606,0.17379742864049638,0.1396876637100867
852,0.31523023722387633,0.003882455232223468,0.09,0.22134778199165284,-3.3991255265071616,-2.378151145328166,0.04687396872114713,0.04470453246307416,0.40691368006779755,0.06956227650005156,0.024185660942242695,0.49663884598617103,1.1798615382812698,0.17651725881073665,0.637400276472328,0.6840927986785776,0.5571694494908462,0.05156730079196682,0.31491355772152774
716,0.31573289969444684,0.003828668688415524,0.09,0.22190423100603135,-3.13867049701724,-2.1051842594631824,0.04559260003655226,0.04355964719520985,0.41102069448039813,0.06878627526671927,0.022398924806385247,0.4716178524536051,0.797625655760612,0.2726528699424252,0.8117601568410869,0.7753803156204607,0.4989913487590974,0.033347018693963226,0.33977648940323624
768,0.3168619145014351,0.004653688073387898,0.09,0.22220822642804716,-5.360310383417012,-4.251754626461798,0.0576966633517619,0.05502697726817234,0.3828982495433709,0.07657916207809091,0.038814164625432884,0.4194642482996382,1.4361524434922988,0.1077611101221553,0.856002678227686,0.8099470698205158,0.15043149086622232,0.1947409490714174,0.1634737602621916
1104,0.3172444695142258,0.0047367002468441085,0.09,0.22250776926738172,-5.54697614641963,-4.546534698587353,0.0584380772583436,0.055760855441647605,0.37944740141124256,0.07760163311421794,0.039274521402469266,0.4650614923560804,1.1312740030883899,0.28752276841770735,0.6125714886295592,0.6051441514190637,0.6815291464379638,0.22353543708516402,0.17764584627676197
246,0.3214447626581195,0.004302462246555257,0.09,0.22714230041156427,-4.177531986882694,-3.2418169490041486,0.052019706359520176,0.04951346555554526,0.39994914140944976,0.07463024651310819,0.02940916620593216,0.48397957361278143,1.368807689686782,0.04752782748991122,0.7117715683163871,0.39505556151951027,0.4749158151746916,0.10944490527864671,0.28006315995687375
618,0.32245527376342986,0.004920517964185737,0.09,0.22753475579924412,-5.565940399547629,-4.468613445840882,0.05980007136574074,0.05710660442257314,0.384432132871113,0.07925453238306021,0.04034561034842127,0.48751476089976004,1.8664158629691108,0.11344367956474138,0.7644585363656009,0.6798235654021764,0.20224285788267932,0.20603681619498432,0.16635534503318172
1098,0.32296374182768633,0.0046142732490061615,0.09,0.22834946857868016,-4.7125531671558125,-3.230197863818373,0.05673687762104787,0.05407691224694047,0.39956022107003963,0.07548943167316663,0.037984323568929126,0.4013416042228971,1.251405287111263,0.12019452066454246,0.7463411202192894,0.7803172456996941,0.5737782878590915,0.09847723459722325,0.11700876184507707
900,0.3255423555220182,0.005063949584989049,0.09,0.23047840593702915,-5.606766226746713,-4.22452689568263,0.0616801093928966,0.058969547277831505,0.38707909779339006,0.0795055021614739,0.043854716624319307,0.4202697762392685,0.46799916035064126,0.3825902101891804,0.824407222001328,0.632492885189007,0.4266752634098523,0.18002083503601246,0.10497935891680293
354,0.32762210356634314,0.0041039184168000726,0.09,0.23351818514954306,-2.884899721557683,-2.079586176058883,0.0461251918437517,0.04427488158709301,0.42039267971443317,0.072635591100948,0.019614792586555404,0.46977231137894426,0.44912960506723887,0.3930723138775109,0.8408874936662984,0.7149971671586184,0.9386934712907502,0.031225304625917143,0.48827041056945303
936,0.3280232985648086,0.004363142295502044,0.09,0.23366015626930656,-3.7771833986669283,-2.9547472225346145,0.050993547475021106,0.04860462711595431,0.4088485472414921,0.07584747342606049,0.026139621523981738,0.5799361634719232,1.3981215822356634,0.286867764781242,0.6990144329338117,0.3433687043932932,0.42725032187106704,0.08611144332092797,0.3621179434812699
1056,0.3285065712829994,0.00497886693659719,0.09,0.23352770434640224,-4.972960020921758,-3.23858040950283,0.06062645791717409,0.057915895802108985,0.40144934396600634,0.07765903235952405,0.04359388347482412,0.4979213995997941,1.435199440569184,0.3763556929123034,0.834409622668822,0.43336841335709303,0.6776122769914905,0.09233960405105544,0.06267236333743186
604,0.3292990130095961,0.004230149140927376,0.09,0.2350688638686687,-3.1335731083052147,-2.084477822528235,0.048130307266836835,0.04608404142308757,0.4220792777323308,0.07344866710499222,0.02281194742868145,0.5355072846335465,1.1796234582870015,0.12182549859883206,0.9339664232376487,0.6594336631635296,0.4399474666907206,0.025796628812465083,0.36967760641775627
162,0.33457306994582076,0.005602371629550389,0.09,0.23897069831627035,-6.087928573838226,-4.793638724870098,0.06548411817715631,0.0627735560620912,0.38842772856242397,0.08466838397488397,0.04629985237942866,0.4883235719217053,1.5173434357482576,0.2137384771731242,0.8092302902633778,0.95648284836758,0.9190429253888306,0.21535410920857684,0.12630027467191546
780,0.33620838442508577,0.004472564326444287,0.09,0.2417358200986415,-3.2980681121463284,-2.489374861695021,0.04996213120375507,0.047806121980415464,0.4214755060959765,0.07705172332749226,0.022872539080017885,0.5602645952577727,0.9867959287473007,0.29112308006962606,0.9400760468523154,0.7478283903953508,0.7401428170542592,0.051598431111029346,0.4436076007379239
