dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,cP,0,0.0039006799178236,-0.0026521828370043,0.0104535426726515,0.0079895938006006,-0.0027441165378656,-0.03238823552723918,-0.036288915445062776,False,False
lp_controls,consumption,PH2M,cP,1,0.0035259338674842,-0.0025707203051708,0.0096225880401393,0.0079895938006006,-0.0017403999107692,-0.020541577387024106,-0.024067511254508307,False,False
lp_controls,consumption,PH2M,cP,2,-0.0023764684905489,-0.0093459443152385,0.0045930073341405,0.0079895938006006,-0.0019912194728009,-0.023501948398176674,-0.021125479907627774,False,True
lp_controls,consumption,PH2M,cP,3,-0.0018641177706414,-0.0071441327610534,0.0034158972197706,0.0079895938006006,-0.0019135349846159,-0.02258505457627441,-0.02072093680563301,False,True
lp_controls,consumption,PH2M,cP,4,0.0018923644177713,-0.0109792049874507,0.0147639338229933,0.0079895938006006,-0.0019226820733485,-0.02269301575801432,-0.02458538017578562,False,False
lp_controls,consumption,PH2M,cP,5,0.002169761092428,-0.0073816959282621,0.0117212181131183,0.0079895938006006,-0.0019096467114325,-0.022539162098341906,-0.024708923190769904,False,False
lp_controls,consumption,PH2M,cP,6,0.0009369031011593624,-0.0089201530486348,0.0107939592509536,0.0079895938006006,-0.0019030002380971,-0.02246071515892005,-0.02339761826007941,False,False
lp_controls,consumption,PH2M,cP,7,0.003368821700665,-0.0050335429347589,0.011771186336089,0.0079895938006006,-0.0018952148686264,-0.022368826065798764,-0.025737647766463763,False,False
lp_controls,consumption,PH2M,cP,8,-0.0027680749953079,-0.0138263604783714,0.0082902104877554,0.0079895938006006,-0.0018882364781689,-0.022286461577767817,-0.019518386582459916,False,True
lp_controls,consumption,PH2M,cP,9,0.0073913215450218,-0.0051526915377657,0.0199353346278094,0.0079895938006006,-0.0018815267195364,-0.022207267695175146,-0.029598589240196947,False,False
lp_controls,consumption,PH2M,cP,10,-0.0006623606040574084,-0.0125570468816382,0.0112323256735234,0.0079895938006006,-0.0018752005528434,-0.02213260126829051,-0.0214702406642331,False,True
lp_controls,consumption,PH2M,cP,11,-0.0029362718889241,-0.0174899760089245,0.0116174322310763,0.0079895938006006,-0.0018692029113502,-0.022061812355863054,-0.019125540466938956,False,True
lp_controls,consumption,PH2M,cP,12,0.0071780333504716,-0.0120623093703855,0.0264183760713287,0.0079895938006006,-0.0018635246580668,-0.02199479311590427,-0.02917282646637587,False,False
lp_controls,consumption,PH2M,cP,13,0.006188736878403,-0.009073190360163,0.021450664116969,0.0079895938006006,-0.0018581458478449,-0.02193130813998604,-0.02812004501838904,False,False
lp_controls,consumption,PH2M,cP,14,-0.0016859928464579,-0.0161431879828664,0.0127712022899505,0.0079895938006006,-0.0018530505449783,-0.021871169342289637,-0.020185176495831736,False,True
lp_controls,consumption,PH2M,cP,15,0.0088011059236132,-0.0042183623786072,0.0218205742258337,0.0079895938006006,-0.0018482228685614,-0.02181418928379639,-0.03061529520740959,False,False
lp_controls,consumption,PH2M,cP,16,-0.0007468804496452654,-0.0215586553786198,0.0200648944793293,0.0079895938006006,-0.0018436479661633,-0.021760192664360165,-0.0210133122147149,False,True
lp_controls,consumption,PH2M,cP,17,0.0043509822477068,-0.0162146353441381,0.0249165998395518,0.0079895938006006,-0.001839311696511,-0.02170901257748326,-0.026059994825190058,False,False
lp_controls,consumption,PH2M,cP,18,0.005293327317923,-0.0144806941956963,0.0250673488315425,0.0079895938006006,-0.0018352006523448,-0.02166049078007398,-0.02695381809799698,False,False
lp_controls,consumption,PH2M,cP,19,-0.0120074806822583,-0.0340262481064463,0.0100112867419295,0.0079895938006006,-0.0018313020944834,-0.021614476914230726,-0.009606996231972427,True,True
