dataset,response_label,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,0,0.003738620360249051,-0.00010157320977578765,-0.0038401935700248385
lp_controls,consumption,1,0.014658227757539999,0.011358057656554468,-0.0033001701009855305
lp_controls,consumption,2,0.0115598765797682,0.014139723907370921,0.0025798473276027207
lp_controls,consumption,3,0.0158559068088551,0.018888214440150687,0.0030323076312955867
lp_controls,consumption,4,0.0159345144525037,0.022827312099409833,0.006892797646906132
lp_controls,consumption,5,0.0197188024141478,0.026701421057024922,0.0069826186428771225
lp_controls,consumption,6,0.019141406537928063,0.030330321258503164,0.0111889147205751
lp_controls,consumption,7,0.0201041513264615,0.033775597919433666,0.013671446592972165
lp_controls,consumption,8,0.0158640097696542,0.037034627406369106,0.021170617636714906
lp_controls,consumption,9,0.0324282996210377,0.0401209136111708,0.007692613990133101
lp_controls,consumption,10,0.02912017305567179,0.043043048039952396,0.013922874984280607
lp_controls,consumption,11,0.0202292837187927,0.04581026782240447,0.025580984103611773
lp_controls,consumption,12,0.0298930932573765,0.048431032748159866,0.018537939490783365
lp_controls,consumption,13,0.038713991327901195,0.050913432168006874,0.012199440840105678
lp_controls,consumption,14,0.0288128237190266,0.05326510999807381,0.02445228627904721
lp_controls,consumption,15,0.0423395393206767,0.05549331450655837,0.013153775185881664
lp_controls,consumption,16,0.028058810389339436,0.05760491379142531,0.029546103402085872
lp_controls,consumption,17,0.0341912372986056,0.05960641878323496,0.02541518148462936
lp_controls,consumption,18,0.039578958258456004,0.061504002883246686,0.021925044624790682
lp_controls,consumption,19,0.0200140696969638,0.06330352117859174,0.04328945148162794
lp_controls,consumption,20,0.017131944368331,0.06501052854552972,0.047878584177198716
lp_controls,consumption,21,0.0359379365502574,0.06663029690459774,0.030692360354340337
lp_controls,consumption,22,0.026236958682897,0.06816783164361914,0.04193087296072214
lp_controls,consumption,23,0.005333995597984399,0.06962788729478726,0.06429389169680286
lp_controls,consumption,24,0.0479361045201646,0.07101498254326374,0.023078878023099145
lp_controls,consumption,25,0.0384116130298461,0.07233341466310021,0.03392180163325411
lp_controls,consumption,26,0.0372074178574388,0.07358727349696809,0.036379855639529286
lp_controls,consumption,27,0.0239573031694513,0.0747804551299664,0.050823151960515095
lp_controls,consumption,28,0.0267426771370156,0.07591667545809123,0.049173998321075635
lp_controls,consumption,29,-0.0009950122671293984,0.07699948392660962,0.07799449619373902
lp_controls,consumption,30,0.0115487406828298,0.07803227782226756,0.06648353713943776
lp_controls,consumption,31,0.008152108058459898,0.0790183176586141,0.0708662096001542
lp_controls,consumption,32,0.0113673099852911,0.07996074440889345,0.06859343442360234
lp_controls,consumption,33,0.0123257238925702,0.08086259962521253,0.06853687573264233
lp_controls,consumption,34,0.0195510698424742,0.08172684982505077,0.06217577998257657
