dataset,response_label,group,model_series,term,shock_sd_mean,corr_h0_h24,sign_match_share_h0_h24,ci_hit_share_h0_h24,impact_h0_lp,impact_h0_model,peak_h_lp,peak_val_lp,peak_h_model,peak_val_model,h24_lp,h24_model,mean_abs_gap_h0_h24,half_life_lp,half_life_model
lp_controls,consumption,PH2M,cP,mp_pos_x_ph2m,0.007989593800600601,-0.1895048988693681,0.52,0.16,0.0039006799178236,-0.03238823552723918,29,-0.0217521652277222,0,-0.03238823552723918,-0.0029427062589542,-0.02141724394186358,0.02146376502310825,3.0,
lp_controls,consumption,WH2M,cW,mp_pos_x_wh2m,0.009362604392895298,0.8905185108186504,0.96,0.0,0.00016205955757454907,-0.03228666231746338,24,-0.0508788107791188,47,-0.11143896486513058,-0.0508788107791188,-0.09243222648512729,0.04154250380739119,,
lp_income,income,PH2M,cP,mp_pos_x_ph2m,0.0078032329793046,0.06660717465499649,0.84,0.6,-0.0160633151498368,-0.03163276555920014,17,-0.0339497309833431,0,-0.03163276555920014,0.0060631442752831,-0.02091767722163777,0.013548352715143486,2.0,
lp_income,income,WH2M,cW,mp_pos_x_wh2m,0.0091442313928424,-0.12746448974038857,0.48,0.08,-0.0066295712547564,-0.031533609532566315,6,-0.0399033150127451,47,-0.10883976702880477,0.0053756081866794,-0.09027634103359171,0.06524497967385495,2.0,
lp_wealth,wealth,PH2M,cP,mp_pos_x_ph2m,0.007804617340971099,0.32549299712862134,0.0,0.32,0.0483479483551631,-0.03163837748802011,8,0.6360724223308901,0,-0.03163837748802011,0.3866825838109568,-0.020921388200225058,0.4186739452931431,34.0,
lp_wealth,wealth,WH2M,cW,mp_pos_x_wh2m,0.009145853557827,0.23434633199084182,1.0,0.8,-0.0486968576420772,-0.03153920352018804,7,-0.4435586264429097,47,-0.10885907494561277,-0.3094631579151077,-0.09029235584260858,0.19816739212554077,37.0,
