dataset,response_label,direction,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_controls,consumption,contractionary,0,0.0034145456380638714,-0.0034536337853241124,-0.006868179423387984
lp_controls,consumption,contractionary,1,0.013695107704298201,0.006481569432710275,-0.007213538271587926
lp_controls,consumption,contractionary,2,0.0106644555695657,0.008702395383781748,-0.0019620601857839523
lp_controls,consumption,contractionary,3,0.014704368545100398,0.01361414628266705,-0.0010902222624333477
lp_controls,consumption,contractionary,4,0.014606415729563199,0.017140449945051886,0.002534034215488687
lp_controls,consumption,contractionary,5,0.0182108568432829,0.02090424197750152,0.002693385134218622
lp_controls,consumption,contractionary,6,0.016988633201854675,0.024284010709033306,0.007295377507178631
lp_controls,consumption,contractionary,7,0.0175217238042252,0.02754074660135286,0.010019022797127661
lp_controls,consumption,contractionary,8,0.012656443193251099,0.030587139709799552,0.017930696516548453
lp_controls,consumption,contractionary,9,0.028247421629657,0.03347211092806658,0.005224689298409583
lp_controls,consumption,contractionary,10,0.0242453691529563,0.03619013544302414,0.011944766290067844
lp_controls,consumption,contractionary,11,0.014945804378937898,0.03875634469274712,0.023810540313809223
lp_controls,consumption,contractionary,12,0.0239698662905528,0.04117700763138418,0.017207141340831383
lp_controls,consumption,contractionary,13,0.032069331643330604,0.04346119125680908,0.011391859613478474
lp_controls,consumption,contractionary,14,0.0220765935926766,0.04561620947050077,0.023539615877824167
lp_controls,consumption,contractionary,15,0.0345478045378585,0.04764945112619955,0.013101646588341051
lp_controls,consumption,contractionary,16,0.0203875460439776,0.04956769497779638,0.029180148933818782
lp_controls,consumption,contractionary,17,0.0260290457159157,0.05137741190473352,0.025348366188817823
lp_controls,consumption,contractionary,18,0.031045656939714998,0.05308467667535062,0.022039019735635622
lp_controls,consumption,contractionary,19,0.011612773623721399,0.05469523167082242,0.04308245804710102
lp_controls,consumption,contractionary,20,0.0079077889242285,0.0562144891559486,0.0483067002317201
lp_controls,consumption,contractionary,21,0.025394906075926704,0.057647556197782716,0.03225265012185601
lp_controls,consumption,contractionary,22,0.0156786821311941,0.05899924921931294,0.043320567088118836
