dataset,response_label,group,direction,term,model_series,linear_sign_assumption,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0,0.003844544744185,-0.0024835451846079,0.010172634672978,0.0078032329793046,-0.001725184909961,-0.019887045265764486,-0.023731590009949486,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,1,0.0033056425821559,-0.0026003813347578,0.0092116664990696,0.0078032329793046,-0.0009669451069825,-0.011146446390204729,-0.014452088972360628,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,2,-0.0021614769470905,-0.0087987093839962,0.0044757554898151,0.0078032329793046,-0.0012518193528494,-0.014430330332091072,-0.012268853385000571,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,3,-0.0016789704675766,-0.0068057542996334,0.0034478133644802,0.0078032329793046,-0.0011268600411597,-0.012989863589306951,-0.01131089312173035,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,4,0.001903359651271,-0.0107137509039402,0.0145204702064824,0.0078032329793046,-0.0011639461440385,-0.013417373128964452,-0.015320732780235453,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,5,0.0023634059648987,-0.0071616979468803,0.0118885098766778,0.0078032329793046,-0.0011379289094227,-0.013117459815610624,-0.015480865780509324,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,6,0.0008694275382036738,-0.0086354336374228,0.0103742887138301,0.0078032329793046,-0.0011373949859549,-0.013111305020196357,-0.01398073255840003,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,7,0.0030769149815056,-0.0054495739235532,0.0116034038865644,0.0078032329793046,-0.0011274378833224,-0.012996524656871206,-0.016073439638376805,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,8,-0.0031949160140502,-0.0142494251905979,0.0078595931624974,0.0078032329793046,-0.0011217636173259,-0.012931114633823336,-0.009736198619773137,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,9,0.0064967812837081,-0.0060595497831265,0.0190531123505427,0.0078032329793046,-0.0011149448479192,-0.012852511363492785,-0.019349292647200884,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,10,-0.0019028538252309,-0.0137787007800001,0.0099729931295383,0.0078032329793046,-0.0011090874964122,-0.012784990824746687,-0.010882136999515787,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,11,-0.0043916601905758,-0.0188364306658442,0.0100531102846925,0.0078032329793046,-0.001103333893263,-0.012718666243764833,-0.008327006053189033,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,12,0.0054176416807116,-0.0136319503430391,0.0244672337044624,0.0078032329793046,-0.0010979945453227,-0.012657116983992547,-0.018074758664704146,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,13,0.0044074059043239,-0.0110051643165023,0.0198199761251502,0.0078032329793046,-0.0010929216618621,-0.012598639389836465,-0.017006045294160367,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,14,-0.0032370191730191,-0.017622863568545,0.0111488252225067,0.0078032329793046,-0.001088149295558,-0.012543626003058934,-0.009306606830039834,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,15,0.006782240641648,-0.0061554727185509,0.0197199540018471,0.0078032329793046,-0.0010836412832187,-0.012491659952966186,-0.019273900594614184,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,16,-0.0026254404203348,-0.0236405050883329,0.0183896242476632,0.0078032329793046,-0.0010793903867297,-0.012442657802293113,-0.009817217381958314,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,17,0.0020381056607162,-0.0187265935560304,0.0228028048774629,0.0078032329793046,-0.0010753791955885,-0.012396418851712169,-0.01443452451242837,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,18,0.0027597184175956,-0.0168907975376653,0.0224102343728567,0.0078032329793046,-0.0010715954478357,-0.012352801751655417,-0.015112520169251017,True,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,19,-0.0143372498578476,-0.0364098454411271,0.0077353457254317,0.0078032329793046,-0.0010680259336934,-0.012311654226590226,0.0020255956312573743,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,20,-0.0145744215843933,-0.0344030739336728,0.005254230764886,0.0078032329793046,-0.0010646588325277,-0.01227284001432228,0.0023015815700710204,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,21,-0.0073107629414719,-0.0244056695646041,0.0097841436816602,0.0078032329793046,-0.0010614827324163,-0.01223622756407459,-0.00492546462260269,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,22,-0.0156911987203406,-0.0360341330107109,0.0046517355700297,0.0078032329793046,-0.0010584869568501,-0.012201693802535697,0.0034895049178049024,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,23,-0.0250979107849428,-0.0508921986968174,0.0006963771269317025,0.0078032329793046,-0.0010556613769344,-0.012169121969011584,0.012928788815931215,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,24,-0.0072795213903107,-0.0269442212653894,0.0123851784847679,0.0078032329793046,-0.0010529964242343,-0.012138401763500856,-0.004858880373190156,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,25,-0.0125982627245454,-0.0311424557126568,0.005945930263566,0.0078032329793046,-0.0010504830198901,-0.012109428529573482,0.0004888341949719176,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,26,-0.0063878179897795,-0.0244455710340146,0.0116699350544554,0.0078032329793046,-0.0010481125275447,-0.012082102711742055,-0.005694284721962555,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,27,-0.0214328406150697,-0.040818593412364,-0.0020470878177755,0.0078032329793046,-0.0010458766809863,-0.012056329021364016,0.009376511593705686,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,28,-0.0250217868895295,-0.0414872561101131,-0.0085563176689458,0.0078032329793046,-0.0010437674953933,-0.012032015413518444,0.012989771476011056,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,29,-0.026334317606744,-0.043182241390432,-0.0094863938230561,0.0078032329793046,-0.0010417771425854,-0.012009071648964857,0.014325245957779145,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,30,-0.0196562041964654,-0.0381025013414578,-0.0012099070514729,0.0078032329793046,-0.0010398977732756,-0.01198740724515557,0.00766879695130983,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,31,-0.0207025609891652,-0.0359784822125685,-0.0054266397657619,0.0078032329793046,-0.001038121255321,-0.011966928458925418,0.008735632530239781,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,32,-0.0181693008394836,-0.0376692912482592,0.0013306895692919,0.0078032329793046,-0.0010364387833518,-0.011947533786495426,0.006221767052988174,True,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,33,-0.017722153520696,-0.0323566662998141,-0.003087640741578,0.0078032329793046,-0.0010348402931959,-0.011929107213260456,0.005793046307435545,True,True
