draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
678,0.4768619047086371,0.0019415783551192131,0.32,0.1549203263535179,-2.4554233272849286,-1.9302735295621638,0.029094899549935844,0.028075892420723225,0.23669796621330874,0.04419539731235301,0.013994401787518679,0.4005785849082135,1.8350867603804748,0.2333627581469496,0.8333887146496555,0.7079261694605605,0.5680452416964924,0.07961148274566243,0.4869250174577059
3444,0.48760337889794947,0.002266635462064501,0.32,0.16533674343588498,-3.0181696105410922,-2.645637925127282,0.033732218772758865,0.03191403532722027,0.23593693591791084,0.0503158842270643,0.017148553318453413,0.44921998200521146,1.6193601925793357,0.3878323618990331,0.6816514609609061,0.730292879894198,0.7816476673380733,0.14305822858948194,0.4703009747069618
1998,0.4904295779351337,0.0025331666109410095,0.32,0.1678964113241927,-3.7353028587474784,-3.266593150865382,0.03767785654932966,0.03541550597285437,0.23728517078422384,0.053383194284122054,0.02197251881453726,0.44525112144895285,1.895476015199989,0.2901182195386775,0.8311704931347348,0.5809536452222904,0.38593140963313183,0.20301045004575455,0.34104012601144174
12,0.4907107699757921,0.0025050861099183337,0.32,0.16820568386587376,-3.626416502102279,-3.204749833521701,0.03719777894122998,0.0349773778585275,0.23688134732117716,0.053267911061094186,0.021127646821365767,0.4649032461662834,1.8352260297341747,0.3661748555618146,0.8728857821861923,0.4807915737924733,0.9237999207455653,0.1969002169517907,0.369769487013138
1668,0.4933615450936052,0.0024985769624016993,0.32,0.1708629681312035,-3.374183456346603,-3.1923854650741963,0.036577031471593774,0.0345209441894989,0.23535556881560377,0.05416253098461088,0.01899153195857666,0.44490924850061303,1.8893083333690566,0.03328700660164608,0.87619595390986,0.7155244461318623,0.5696683684527919,0.19859871020322242,0.496537555912311
1002,0.4943190565817256,0.002280965662070505,0.32,0.17203809091965508,-2.7924736946754485,-2.078314134458998,0.03391394986131695,0.03230259607811753,0.23543849195950198,0.05083054977640727,0.01699734994622663,0.44153070907494113,1.7187354749870476,0.26143692970358984,0.8229502890919332,0.6668602334588529,0.43312707622294494,0.07111952592661426,0.38744811325386275
1716,0.4971445894198417,0.0028414689212906815,0.32,0.174303120498551,-4.284251106825575,-3.618683144906242,0.041724423887488885,0.039300616356376085,0.23816436858921478,0.05693122464235265,0.026517623132625127,0.4215542747354622,1.615559172358322,0.3527557518968995,0.9817669126959759,0.9526038589206076,0.6387419226890364,0.2246252089459788,0.2460838728878388
3360,0.5022414491062023,0.0023455712963090774,0.32,0.17989587780989322,-2.580769822000535,-1.6595607845986367,0.03449049155355412,0.03311652880708996,0.23445694081768587,0.05229262834227277,0.016688354764835454,0.44428559011509283,1.662845216633077,0.18984751040082823,0.824816446740295,0.9696937113410945,0.5086027120656039,0.02610364310426515,0.35794561933194347
3366,0.502463677613734,0.0027900556586005535,0.32,0.1796736219551334,-3.846281604620009,-3.363250821344401,0.040563715166750114,0.038248854376336,0.2359773996341002,0.05792618910788966,0.02320124122561057,0.4508713085698556,1.7220159304742593,0.21186078926453028,0.686854934855326,0.376703137669766,0.6945070960589472,0.19106809966051513,0.34978271400692174
1692,0.5041204120654437,0.002615758280166896,0.32,0.18150465378527675,-3.2666519099614764,-2.7789635702615776,0.03803366007507163,0.03601080936542307,0.23447926998564847,0.05654711761210339,0.019520202538039884,0.4499309304937647,1.3953767144583695,0.2863049651854274,0.8610949549663559,0.6509801922418972,0.9218020580186221,0.13042603323728352,0.4256166564316356
2208,0.5041753457487528,0.0024445316415448227,0.32,0.18173081410720796,-2.8230310976315915,-1.8025124860030959,0.036128874570556954,0.03452074672475809,0.2351228134767588,0.053480552544731,0.018777196596382904,0.4517711601840024,1.7755830508206722,0.23918127264242509,0.7058971648691498,0.9112238592121757,0.20277645151197918,0.03339588136320679,0.2861041831482676
