draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,chi_R_neg
1056,0.17884751228396467,0.0028392753467602555,0.015,0.16100823693720442,-2.5485648472253235,-1.7971342559533083,0.013809234246141056,0.021164314268843493,0.24634765757744065,0.01825053137011898,0.00936793712216313,0.40301861787402476,1.6567156203557127,0.3493867290458776,0.6371695757619069,0.40352408596438466,0.48071689656910277,0.05456900153591574,0.37847772294490817,0.23929538969373362
900,0.19011713547762243,0.003656733983517754,0.015,0.17146040149410469,-2.695525121230532,-1.9232671360611329,0.031805144640677276,0.03044353380588797,0.23617914677617907,0.047662159830372974,0.015948129450981577,0.44592080790883176,1.6067661666719437,0.3776715806953434,0.8597079342002486,0.9558882653515384,0.8939947061865424,0.056706016192900874,0.37635768035517825,0.9383315666504669
162,0.1938405802392167,0.00868420627244141,0.015,0.17015637396677527,-3.810420571085684,-3.343025431240014,0.06605529302077107,0.06376424941420157,0.24647767747166,0.09570681159633407,0.03640377444520808,0.42795840407166247,1.8683580721301027,0.2035318792346887,0.9497345949203724,0.6233815977983956,0.1512811957880885,0.20733125106251366,0.3381645156468818,1.9762169141774684
78,0.20461374984941835,0.003960564539422037,0.015,0.1856531853099963,-3.635815042796952,-2.8127457823747215,0.03643838352042571,0.03429219483693961,0.23732356243026986,0.051603240824395775,0.02127352621645564,0.4197135132799898,1.8316166879596745,0.06811099312815874,0.6160208463888903,0.46732529582335813,0.15570086883062506,0.11922828217882296,0.2774003885782717,0.8501678776686014
624,0.20659089726911606,0.004173646040293595,0.015,0.18741725122882247,-4.840082248612658,-3.9377835783379647,0.03938091180808376,0.036837761248692265,0.24049468742314797,0.05156092314466288,0.02720090047150464,0.43770806383566613,1.7109880211164263,0.32616643055782685,0.9438096479471091,0.7423491134502724,0.3741559586480297,0.22751516567986987,0.17741282148823861,0.7612260146916384
342,0.21015907827540295,0.003431049317551914,0.015,0.19172802895785104,-3.877121958184062,-2.7520887477840255,0.028537160068429955,0.027371865693882343,0.24214407069917276,0.03818342326444638,0.018890896872413528,0.42362669505660455,1.4263270917735278,0.31157798200315373,0.928792713976643,0.33863602131198733,0.7603709967133059,0.10036929587117963,0.17953531103381137,0.5152574112239126
498,0.212280888156248,0.0032323789706029445,0.015,0.19404850918564504,-3.0383371177162344,-2.4178406217752486,0.024773126166483042,0.024646707997441272,0.23965756921670844,0.03664695049897118,0.012899301833994906,0.4882182427808443,1.3229922483577377,0.309359759675214,0.6144926581095492,0.6765582241003537,0.5894956697555005,0.0828262953740306,0.44311854792285793,0.4905993263196553
42,0.21495960722003377,0.009385184692840547,0.015,0.19057442252719323,-2.8195566380191455,-1.638833513524899,0.06830216952908766,0.06615356349467479,0.24820373591448053,0.10297529625811305,0.03362904280006226,0.4651632174693728,1.6459072546243303,0.2657173370767468,0.6475494545506939,0.70001543997907,0.6831819103396315,0.012952644613264681,0.24898626244720343,2.0809588268711705
852,0.2199018960502237,0.007654957603535351,0.015,0.19724693844668836,-2.7646459594687753,-2.095431323118304,0.05965542923769747,0.05768488435280945,0.23960213649657144,0.09378658989620423,0.025524268579190712,0.5391852724337461,1.8793802269660302,0.10653537382956067,0.9082073541589524,0.3996794258941175,0.7836985789570632,0.05457482631749153,0.4848920562474368,1.7463703757788416
888,0.22062026464142703,0.0038267393230365138,0.015,0.2017935253183905,-4.307789542606232,-4.167331399938934,0.034323895647945295,0.03212828798552103,0.23758096873312273,0.04904635906517005,0.019601432230720545,0.4509978357220016,1.0717988300415766,0.22260752345003215,0.8239133546565324,0.9022420788168523,0.6303268490805525,0.2436721038995256,0.4408224183404147,0.6153766227693077
744,0.22156666599321048,0.009571575656556372,0.015,0.1969950903366541,-4.2145712944143465,-4.09496909658367,0.07133118600512633,0.06895939945260275,0.24597372746305146,0.10541086642857042,0.03725150558168225,0.5416084412756883,1.8553882052067001,0.1782664027926361,0.6633073823216753,0.3380224844947466,0.6407461431225654,0.24601116428234937,0.4520654685492896,1.7850509619673927
792,0.22888729139226954,0.0034196275149700746,0.015,0.21046766387729945,-4.29185310100166,-3.8333114988783734,0.02503330534375137,0.026420688505421366,0.24207879900214857,0.03455547257246824,0.015511138115034497,0.5316853107638924,1.406765908686748,0.3100319259394329,0.753042571584651,0.7465931366855413,0.6203348247577298,0.18754599078425438,0.37058287676275603,0.30608991517686723
1182,0.23002295198861072,0.008121825187771298,0.015,0.2069011268008394,-4.110956159375596,-3.1219768166987105,0.06651011487434795,0.06402019168604417,0.2435300607008025,0.09466723945616337,0.03835299029253253,0.517943375978156,1.7398956186912957,0.29145890868257035,0.6213407713923532,0.8435152406899308,0.5304685093059213,0.11863573511513233,0.23343514864130394,1.5559121594582004
1176,0.2333454602191165,0.0035441824419850847,0.015,0.21480127777713143,-3.273709044771993,-2.2290717176694193,0.030195222883717166,0.029077629165476113,0.23805514160716568,0.04384302965886777,0.016547416108566564,0.4166235911516217,0.4982012571350581,0.3769604568677824,0.9183530103971053,0.6556916884922319,0.9234635026631206,0.04517970469655224,0.297209202402777,0.5397331033569036
594,0.23742933416324097,0.0037331562147004007,0.015,0.21869617794854057,-4.0707589781010896,-3.522741195064247,0.03266570435593044,0.030943370442130715,0.2377020404762417,0.046932497623680715,0.018398911088180175,0.5487967957769788,1.6053028562834888,0.1602549961160657,0.8095854639720429,0.6030080201969035,0.10497251927256615,0.14787092644939784,0.3838527083714184,0.518925720580651
384,0.237457087907778,0.005845429929222706,0.015,0.2166116579785553,-3.958554443582777,-3.0095045753214578,0.0535312767809214,0.05106813256509272,0.23564541143891124,0.07712258412201048,0.029939969439832327,0.4946938650256083,1.123697409620388,0.3131893132859011,0.8031342918951714,0.8904026073158472,0.19320751431294353,0.10142568353167218,0.27274363255308237,1.1375807100858593
120,0.24101784995725678,0.008343601025374412,0.015,0.21767424893188236,-3.546657998662676,-2.3366082365846577,0.0670150259266802,0.06458742849539553,0.2435330646575481,0.09792114162609608,0.03610891022726431,0.4760809885638271,1.516371032011187,0.07281054190448889,0.7521244101610464,0.9790544702081028,0.26370219974627335,0.046951259818630346,0.23448815297152503,1.5872044623276673
684,0.24354208427684376,0.006333857848796587,0.015,0.22220822642804716,-5.360310383417012,-4.251754626461798,0.05908421561136265,0.056414529527773094,0.23876777849393407,0.0785147229189659,0.0396537083037594,0.4194642482996382,1.4361524434922988,0.1077611101221553,0.856002678227686,0.8099470698205158,0.15043149086622232,0.1947409490714174,0.1634737602621916,1.0349102996793957
840,0.24581492029828708,0.007128414389222762,0.015,0.22368650590906433,-6.0597799096885465,-4.544223919325432,0.06566963430705222,0.06295907219198713,0.243378525713353,0.08175832383961254,0.04958094477449191,0.42490687380040015,1.117861978021547,0.3374259270431191,0.8999535656588523,0.5976968371101605,0.2667023018728354,0.21723626639138865,0.06611927566073146,1.0581345404859857
732,0.24624255986862184,0.007794749580033492,0.015,0.22344781028858834,-4.060408217438957,-3.5800415047453478,0.0644058815256712,0.061990129762090486,0.2386717407063157,0.09601022936474324,0.03280153368659916,0.47112008868457367,0.9207292307053839,0.1740946156649698,0.6134829486941102,0.4870889136219112,0.7391209285291843,0.14870693713831007,0.4108370485077739,1.4024513065138358
102,0.24631182922431863,0.014787950337553571,0.015,0.21652387888676505,-4.156312086041975,-3.8198027898887266,0.09090616197784375,0.08849752949011794,0.25885886298511,0.13625082644954975,0.04556149750613775,0.545496896133221,1.6390135113155269,0.09641206676805235,0.7612914932108882,0.6059043239620058,0.3084701270697282,0.18045884832063677,0.4316139387250138,2.1989803356533724
