label,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,weight_lp_controls,weight_lp_income,weight_lp_wealth,weight_controls_wh2m,weight_income_wh2m,weight_wealth_ph2m,weight_h0_h3,weight_h4_h12,weight_h13_h24,h0_sign_mismatch_penalty,wh2m_persistence_penalty
baseline,0.5477146784074981,0.015631065319209703,0.06,0.47208361308828845,-6.539082332545334,-4.71989775038653,0.11602456655442017,0.11331400443935508,0.25131412474169107,0.16787945211818822,0.06416968099065211,0.73,0.7,0.13,0.9,0.8,0.5,0.05,0.26826666666666665,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.02
tuned_best,0.2165299483419943,0.0016096219884763894,0.06,0.1549203263535179,-2.4554233272849286,-1.9302735295621638,0.029094899549935844,0.028075892420723225,0.23669796621330874,0.04419539731235301,0.013994401787518679,0.4005785849082135,1.8350867603804748,0.2333627581469496,0.8333887146496555,0.7079261694605605,0.5680452416964924,0.07961148274566243,0.4869250174577059,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.02
relative_improvement,0.6046665227750265,,,,,,,,,,,,,,,,,,,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.02
