uf_code,uf,state_name,year,quarter,consumption_index,share_PH2M,share_WH2M,share_Ricardian,total_weight,mp_shock_quarterly,macro_region,t_index,t_order
11,RO,Rondônia,2015,1,102.01093666666668,0.2493969651392494,0.2668959677095845,0.483707067151166,1227639.11652815,0.092851242,North,2015Q1,8061
11,RO,Rondônia,2015,2,99.15487999999999,0.2485431851007419,0.2744635939869933,0.4769932209122648,1230337.4470036,0.0,North,2015Q2,8062
11,RO,Rondônia,2015,3,94.66534333333334,0.2470678123851335,0.2772096989054788,0.4757224887093876,1230884.03110825,0.077390703,North,2015Q3,8063
11,RO,Rondônia,2015,4,93.12286666666667,0.2581997745425516,0.269393139551389,0.4724070859060593,1222521.21634165,0.0,North,2015Q4,8064
11,RO,Rondônia,2016,1,91.49152666666667,0.242091924879907,0.2727856767478128,0.48512239837228,1224821.3691028,-0.207600025,North,2016Q1,8065
11,RO,Rondônia,2016,2,85.34936666666665,0.2499218979994068,0.2671353666501195,0.4829427353504736,1228677.00876687,0.0,North,2016Q2,8066
11,RO,Rondônia,2016,3,81.91147666666667,0.2430495440247014,0.272673804888345,0.4842766510869535,1230205.01335025,0.0,North,2016Q3,8067
11,RO,Rondônia,2016,4,80.91855,0.2415600537082173,0.2761019335644715,0.4823380127273111,1245826.69860854,0.0,North,2016Q4,8068
11,RO,Rondônia,2017,1,87.01801333333333,0.2464373700041526,0.2596744410825625,0.4938881889132848,1249972.72985919,-0.224587529,North,2017Q1,8069
11,RO,Rondônia,2017,2,88.92524666666667,0.2462626224569579,0.2574321591293858,0.4963052184136562,1258432.15295202,0.0,North,2017Q2,8070
11,RO,Rondônia,2017,3,91.3479,0.2599659677487868,0.2518116261018411,0.4882224061493721,1264405.3255951,-0.328460526,North,2017Q3,8071
11,RO,Rondônia,2017,4,91.55813666666667,0.2486760318255784,0.2583061019695438,0.4930178662048777,1277191.15195412,-0.195035395,North,2017Q4,8072
11,RO,Rondônia,2018,1,93.78277666666668,0.2416170135021061,0.2390325395927134,0.5193504469051804,1282973.65425104,0.0,North,2018Q1,8073
11,RO,Rondônia,2018,2,94.80417333333332,0.2413824808645268,0.2642116888396946,0.4944058302957785,1285469.07843062,0.08898676,North,2018Q2,8074
11,RO,Rondônia,2018,3,94.69518666666666,0.2526656840942431,0.2575298375473039,0.4898044783584528,1293494.17510273,0.0,North,2018Q3,8075
11,RO,Rondônia,2018,4,97.89444666666667,0.2372228873675838,0.2601177820762674,0.5026593305561486,1293794.18152053,0.0,North,2018Q4,8076
