uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear,log_y,lag_log_y,lag2_log_y,lag_shock,share_PH2M,share_WH2M,share_Ricardian,t_order,uf_code_str,t_order_str,region
25,PB,Paraíba,2019.01,86.4714,2019,1,708,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.459813723427604,4.471731474782799,4.45548188492243,0.0,0.23010184025189678,0.24007577043502995,0.5298223893130733,24229,25,24229,Northeast
25,PB,Paraíba,2019.02,85.25809,2019,2,709,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.44568300902186,4.459813723427604,4.471731474782799,0.0,0.2326921765992833,0.2367987031416133,0.5305091202591034,24230,25,24230,Northeast
25,PB,Paraíba,2019.03,89.48614,2019,3,710,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.4940837529535145,4.44568300902186,4.459813723427604,0.0,0.23205288578139507,0.23366421907713414,0.5342828951414709,24231,25,24231,Northeast
25,PB,Paraíba,2019.04,87.70698,2019,4,711,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.474001485720753,4.4940837529535145,4.44568300902186,0.0,0.23141359496350689,0.23052973501265495,0.5380566700238382,24232,25,24232,Northeast
25,PB,Paraíba,2019.05,84.96145,2019,5,712,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.442197624202982,4.474001485720753,4.4940837529535145,0.0,0.23077430414561864,0.22739525094817575,0.5418304449062056,24233,25,24233,Northeast
25,PB,Paraíba,2019.06,86.28126,2019,6,713,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.457612425030457,4.442197624202982,4.474001485720753,0.0,0.22815491649557446,0.2308366559769733,0.5410084275274523,24234,25,24234,Northeast
25,PB,Paraíba,2019.07,87.0987,2019,7,714,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.4670419583739385,4.457612425030457,4.442197624202982,0.0,0.22553552884553024,0.2342780610057709,0.5401864101486988,24235,25,24235,Northeast
25,PB,Paraíba,2019.08,84.71518,2019,8,715,-0.104547698,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.439294806379104,4.4670419583739385,4.457612425030457,0.0,0.22291614119548606,0.23771946603456845,0.5393643927699455,24236,25,24236,Northeast
25,PB,Paraíba,2019.09,88.7291,2019,9,716,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.485587907664958,4.439294806379104,4.4670419583739385,-0.104547698,0.22466129809828272,0.24050689277048104,0.5348318091312363,24237,25,24237,Northeast
25,PB,Paraíba,2019.1,90.46554,2019,10,717,0.0,0.2203676276772742,0.2538186917063229,0.5258136806164028,3088654.59259469,,,,,4.504969004712588,4.485587907664958,4.439294806379104,0.0,0.22640645500107937,0.24329431950639363,0.5302992254925271,24238,25,24238,Northeast
