horizon,shock_col,shock_label,direction,htm_type,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
0,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.1855777938673669,-0.5136177467618965,0.8847733344966304,0.42508070576780393,0.014305356073497411,0.0026547564206067875,-0.007347484753096352,0.012656997594309929,2614,driscoll_kraay,cumulative,log
1,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.005875696537970309,-0.48638424748331854,0.4981356405592592,0.2992727960442477,0.014305356073497411,8.405393115548127e-5,-0.006957899848788959,0.007126007711099922,2587,driscoll_kraay,cumulative,log
2,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.06913496088678614,-0.7222791285944594,0.8605490503680318,0.48114560257135564,0.014305356073497411,9.890002326127922e-4,-0.010332460118999168,0.012310460584224752,2560,driscoll_kraay,cumulative,log
3,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.050819817736599514,-0.6361820926678133,0.5345424571946144,0.3558749941878469,0.014305356073497411,-7.269955883122953e-4,-0.009100811363195797,0.007646820186571207,2533,driscoll_kraay,cumulative,log
4,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.58594234311986,-0.2105369809949098,1.38242166723463,0.4842250465720428,0.014305356073497411,0.008382113856868994,-0.003011806479771342,0.01977603419350933,2506,driscoll_kraay,cumulative,log
5,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.9191199848443059,0.1944813583389643,1.6437586113496474,0.44054900365108335,0.014305356073497411,0.01314833865746534,0.0027821250806963293,0.023514552234234348,2479,driscoll_kraay,cumulative,log
6,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.2186597533429735,-0.37720790763802914,0.8145274143239761,0.3622618154086866,0.014305356073497411,0.0031280056305143518,-0.00539609343250093,0.011652104693529635,2452,driscoll_kraay,cumulative,log
7,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.6060863150084278,-0.5033880286903604,1.7155606587072159,0.6745125070825048,0.014305356073497411,0.008670280547469478,-0.007201144993551536,0.02454170608849049,2425,driscoll_kraay,cumulative,log
8,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.6872402188440764,-0.6323217168497856,2.0068021545379384,0.8022366939358024,0.014305356073497411,0.009831216038592798,-0.00904558731254139,0.028708019389726988,2398,driscoll_kraay,cumulative,log
9,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.7797950405803358,0.0881361304726278,1.4714539506880437,0.4204987597526294,0.014305356073497411,0.011155245719849067,0.0012608187293511664,0.021049672710346967,2371,driscoll_kraay,cumulative,log
10,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.38498283789242177,-0.5183621808027727,1.2883278565876164,0.5491947756892086,0.014305356073497411,0.005507316578236625,-0.007415355571418308,0.01842998872789156,2344,driscoll_kraay,cumulative,log
11,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.09917657587866642,-1.0162627110720213,0.8179095593146883,0.5575487813423606,0.014305356073497411,-0.0014187562320945575,-0.014537999946103084,0.011700487481913968,2317,driscoll_kraay,cumulative,log
12,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.6167859548412264,-0.36040099904435596,1.5939729087268089,0.594087484669791,0.014305356073497411,0.008823342705135838,-0.005155664620573712,0.02280235003084539,2290,driscoll_kraay,cumulative,log
13,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.3523401482151245,-0.5568203023173982,1.2615005987476473,0.5527303072052295,0.014305356073497411,0.00504035127920621,-0.007965512693602857,0.018046215252015278,2263,driscoll_kraay,cumulative,log
14,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.29328259191297845,-0.8956508718590002,1.482216055684957,0.7228202219886986,0.014305356073497411,0.004195511907473389,-0.0128126046394814,0.021203628454428178,2236,driscoll_kraay,cumulative,log
15,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,1.1310348738441198,0.14353069308154254,2.118539054606697,0.6003599132360438,0.014305356073497411,0.01617985660188336,0.0020532576720073375,0.03030645553175938,2209,driscoll_kraay,cumulative,log
16,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.1283991683635337,-1.4219062912606468,1.1651079545335794,0.7863964924918366,0.014305356073497411,-0.0018367958229812936,-0.020340875799629673,0.016667284153667087,2182,driscoll_kraay,cumulative,log
17,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.6481334608663801,-0.567181035629542,1.8634479573623022,0.7388587510661079,0.014305356073497411,0.009271779940841768,-0.00811372667281562,0.026657286554499154,2155,driscoll_kraay,cumulative,log
18,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,0.431959880823181,-0.7641165254584219,1.628036287104784,0.7271628226873776,0.014305356073497411,0.00617933990464111,-0.010930958978326376,0.023289638787608598,2128,driscoll_kraay,cumulative,log
19,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.7389520560676233,-2.1796377110321012,0.7017335988968545,0.8758746865729364,0.014305356073497411,-0.010570972283290373,-0.031180493567537066,0.010038549000956314,2101,driscoll_kraay,cumulative,log
20,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.8485809280884388,-2.046728246305849,0.3495663901289715,0.7284218477470393,0.014305356073497411,-0.012139252333484018,-0.02927917634909008,0.005000671682122048,2074,driscoll_kraay,cumulative,log
21,mp_shock_di,DI Surprise,Full (Signed),PH2M,mp_x_ph2m,-0.3879956827172952,-1.6387167000754066,0.8627253346408161,0.7603843873185026,0.014305356073497411,-0.005550416396250633,-0.023442425898165354,0.012341593105664085,2047,driscoll_kraay,cumulative,log
