response_type,horizon,spec,n_obs,n_states,n_months,sample_min_date,sample_max_date,outcome_min_date,outcome_max_date,nonzero_shock_months,identifying_nonzero_shock_months,identifying_nonzero_shock_dates,includes_2020_outcomes,with_time_fe,mp_shock_level_identified,interaction_terms_identified,note
cumulative,4,lag1,2565,27,95,2012-02,2019-12,2012-06,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,4,lag2,2538,27,94,2012-03,2019-12,2012-07,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,4,lag1_time_fe,2565,27,95,2012-02,2019-12,2012-06,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,4,lag2_time_fe,2538,27,94,2012-03,2019-12,2012-07,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,5,lag1,2538,27,94,2012-02,2019-11,2012-07,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,5,lag2,2511,27,93,2012-03,2019-11,2012-08,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,5,lag1_time_fe,2538,27,94,2012-02,2019-11,2012-07,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,5,lag2_time_fe,2511,27,93,2012-03,2019-11,2012-08,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,6,lag1,2511,27,93,2012-02,2019-10,2012-08,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,6,lag2,2484,27,92,2012-03,2019-10,2012-09,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,6,lag1_time_fe,2511,27,93,2012-02,2019-10,2012-08,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,6,lag2_time_fe,2484,27,92,2012-03,2019-10,2012-09,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,7,lag1,2484,27,92,2012-02,2019-09,2012-09,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,7,lag2,2457,27,91,2012-03,2019-09,2012-10,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,7,lag1_time_fe,2484,27,92,2012-02,2019-09,2012-09,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,7,lag2_time_fe,2457,27,91,2012-03,2019-09,2012-10,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,8,lag1,2457,27,91,2012-02,2019-08,2012-10,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,8,lag2,2430,27,90,2012-03,2019-08,2012-11,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,8,lag1_time_fe,2457,27,91,2012-02,2019-08,2012-10,2020-04,13,13,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05;2019-08,True,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
