Vendas reais - varejo - índice dessazonalizado (média 2022 = 100)
Sigla;Código;State;2016.01;2016.02;2016.03;2016.04;2016.05;2016.06;2016.07;2016.08;2016.09;2016.10;2016.11;2016.12;2017.01;2017.02;2017.03;2017.04;2017.05;2017.06;2017.07;2017.08;2017.09;2017.10;2017.11;2017.12;2018.01;2018.02;2018.03;2018.04;2018.05;2018.06;2018.07;2018.08;2018.09;2018.10;2018.11;2018.12;2019.01;2019.02;2019.03;2019.04;2019.05;2019.06;2019.07;2019.08;2019.09;2019.10;2019.11;2019.12;
MG;31;Minas Gerais;86,02222;88,11832;86,29968;86,49362;86,81719;87,1585;86,93737;86,79775;86,55907;85,75401;84,23169;85,68783;89,38831;91,35108;91,06953;90,56228;90,84179;92,57729;90,80905;90,43639;86,97303;90,35174;93,28057;94,72166;93,05602;92,51228;93,63748;94,05682;93,31842;90,05981;85,72838;91,4998;86,27125;90,68192;90,92948;89,98538;92,27827;90,49889;92,74697;91,43998;89,70854;91,4244;91,72359;89,80686;92,50862;92,48893;93,19918;94,2855;
MS;50;Mato Grosso do Sul;84,98999;84,48242;84,27663;85,46109;86,30954;84,36041;83,11446;81,23672;77,52872;80,74834;81,7457;81,90629;85,52317;85,89103;83,59793;83,80668;84,14231;83,63035;84,38625;85,15114;84,27709;82,62323;80,88961;81,92978;82,00268;82,76461;86,34653;83,40409;83,76782;85,04917;83,4321;84,44368;84,6689;85,88048;86,5309;86,64482;87,20682;85,46614;86,26591;85,12603;83,52678;82,8898;84,17871;83,71284;84,99886;84,19115;87,08522;86,47243;
MT;51;Mato Grosso;84,36048;82,36276;81,36715;81,85841;80,00918;80,50988;81,64808;79,65952;74,42813;75,41076;75,05358;74,90453;83,61893;79,60421;82,90233;84,53974;86,35085;85,33287;84,68539;84,17895;87,56236;84,61854;84,69749;86,74253;84,54589;84,73932;87,13121;86,33624;83,90179;87,26802;85,33597;85,79458;84,89989;87,20049;89,04982;86,84976;90,74899;89,81451;87,61287;87,75871;87,63971;84,8991;89,45909;89,23415;91,10023;90,24119;90,60899;90,96585;
PA;15;Pará;77,85922;79,14695;75,77998;76,53245;72,31157;71,63543;70,88412;69,31318;67,44153;67,76046;67,18038;69,25742;69,63628;70,01136;71,55835;73,3592;73,55896;74,39789;74,44672;73,90685;74,89771;74,04026;72,9249;74,83509;77,23357;76,41593;76,91024;76,56361;77,70384;78,1035;77,84629;78,80745;79,08804;78,83215;80,65797;79,17654;79,71753;80,03081;82,07931;80,50322;79,25729;79,68618;79,0245;80,43247;83,78863;85,23081;86,56988;85,48691;
PB;25;Paraíba;90,80417;91,19019;90,56445;89,56466;89,87388;89,07541;90,70405;91,47399;90,45467;92,93688;96,5002;89,03461;93,02064;93,77826;90,12042;90,92628;90,81291;87,19739;86,58003;83,70974;88,49169;86,30771;84,73943;87,09777;90,19983;89,43351;94,79168;94,02345;91,70334;93,53243;89,41419;94,65842;87,98213;85,16884;86,09763;87,50811;86,4714;85,25809;89,48614;87,70698;84,96145;86,28126;87,0987;84,71518;88,7291;90,46554;98,59777;98,46918;
PE;26;Pernambuco;103,34391;100,36356;98,29249;98,368;95,5678;98,05698;97,76392;95,4565;94,78844;96,9863;95,89027;97,32666;101,2917;102,6356;103,78616;103,75369;103,13849;104,8853;103,15333;101,31272;102,90308;100,79314;103,59109;101,11264;102,46803;101,6149;101,97521;101,68423;102,18605;100,51916;99,88234;100,23433;102,3107;100,66571;104,70621;101,97646;99,58609;101,09917;101,57577;102,2185;101,71512;100,59066;100,56808;103,00359;102,91975;103,23443;103,07314;106,79603;
PI;22;Piauí;93,30369;92,61622;92,04202;93,70021;90,20255;89,31463;87,59557;84,94659;86,24038;85,95727;84,69215;84,96377;85,65384;86,48172;87,55706;89,55608;89,40112;88,13603;90,38848;90,68847;91,082;90,76178;90,84086;90,99638;91,89259;92,20226;90,36944;90,71619;90,83682;89,47606;89,09289;87,51928;86,35607;85,17501;86,84782;85,04214;85,9576;85,25459;88,67318;85,8304;85,60947;73,15708;73,50355;81,88109;83,6167;84,04103;86,49021;87,55817;
PR;41;Paraná;94,32008;95,0906;92,55414;95,1287;96,48553;94,65632;94,10917;92,97735;92,13147;92,8406;93,15641;94,15548;95,92013;96,61445;98,45358;97,48224;98,09366;99,18271;99,57677;99,29062;100,32278;97,13212;98,49705;97,57856;98,47665;100,0789;102,68142;101,52713;98,71736;99,29184;98,8721;102,13513;99,47123;99,73772;100,50694;101,83863;99,51186;98,29303;99,19547;97,93055;97,94631;98,66781;99,49299;99,2385;100,55196;101,73147;101,88422;101,60991;
RJ;33;Rio de Janeiro;105,6297;106,39425;106,14313;104,60116;103,53697;105,43896;100,36464;102,27317;101,84883;101,47174;101,72295;102,15176;102,16859;103,20523;101,07672;101,21379;102,7064;102,32954;101,37049;101,47792;103,56163;101,89514;100,14295;101,16137;102,71546;101,97539;105,22728;104,86087;103,43892;101,76;98,35991;102,15925;101,08526;101,60276;104,24592;102,90835;103,30619;103,06305;105,65125;100,78559;99,85049;100,26092;101,29732;101,98959;103,38874;103,80761;102,81833;109,20116;
RN;24;Rio Grande do Norte;98,18725;96,16746;96,03769;96,6929;96,22744;94,42472;94,63057;93,21175;92,75361;93,30514;94,13896;92,81426;97,50441;94,79508;94,74637;95,27212;94,97141;97,03667;96,52396;96,9238;97,49582;96,2871;99,27155;100,10392;108,41394;103,00705;105,43746;104,01308;104,13492;103,49482;100,92406;102,51032;103,23599;99,52545;102,63521;103,05083;105,27258;103,73637;104,33202;103,5396;102,82136;102,40414;101,79941;102,11373;103,6342;102,96641;104,63795;103,35277;
RO;11;Rondônia;93,32996;93,23884;87,90578;84,9068;84,60177;86,53953;84,16723;82,38907;79,17813;80,99382;80,32254;81,43929;87,4676;85,64946;87,93698;87,53734;90,03739;89,20101;89,31772;94,46469;90,26129;92,99392;88,12147;93,55902;92,70677;93,06849;95,57307;96,23321;93,8365;94,34281;90,21974;95,4596;98,40622;96,60025;98,35728;98,72581;97,20413;97,19642;94,71359;95,35976;92,99586;92,38554;92,97206;90,35246;95,23652;94,25958;98,35681;94,29029;
RR;14;Roraima;79,63006;76,43986;77,49137;79,07652;74,16305;78,12764;81,30207;82,92156;83,36811;82,66657;80,8792;81,6999;67,99578;71,85008;72,63694;71,46111;72,18143;75,83915;77,64341;78,60542;78,80688;75,13293;75,68146;73,84228;77,18394;80,42328;80,61004;79,16575;80,44292;77,57967;75,59158;77,18502;76,18411;78,35457;77,93591;79,36122;79,49269;77,75036;80,04972;82,99338;82,81564;85,60383;83,51618;80,85435;82,26992;83,63213;90,80032;80,87824;
RS;43;Rio Grande do Sul;81,94399;82,94642;81,36135;81,21639;82,27582;81,44766;81,45439;80,17075;79,4462;79,5866;78,16745;76,91349;85,59411;82,66889;85,02355;85,63771;85,27332;87,08848;85,15032;87,81863;87,95117;88,53382;88,70065;89,54013;90,30881;90,88393;92,12606;91,65942;91,0539;90,92017;87,8946;93,76181;92,23642;91,11508;92,1428;92,47308;94,77573;93,19102;95,00458;93,82413;93,4636;92,42635;93,80382;89,50739;90,13724;88,83059;91,10035;97,12963;
SC;42;Santa Catarina;67,57675;67,43201;66,7158;67,75069;70,11486;69,72884;69,36282;68,43551;69,76771;68,78684;70,38242;70,78514;73,56249;76,66396;79,83118;79,87936;77,23068;78,37724;79,90805;79,47264;78,94626;79,16401;80,60122;79,71337;83,72858;84,38147;87,37217;88,20946;81,9736;82,77481;83,13526;83,30211;84,67901;84,75504;87,07382;86,39411;91,01903;90,82589;92,18219;91,51179;91,2415;88,66656;90,64639;91,38608;93,58243;94,53104;94,22354;95,55944;
SE;28;Sergipe;117,96306;115,58571;115,93299;117,32947;114,19119;113,39571;111,80947;111,62557;111,10363;112,75828;110,48701;114,15281;109,65168;108,05679;109,65642;107,28703;107,14403;107,83022;108,31006;106,80755;109,40113;107,50713;108,4988;106,05099;109,23776;107,47709;108,2794;109,40933;108,36533;108,8115;108,45879;109,29067;108,43002;106,13854;110,56005;107,29895;107,27305;109,53515;109,56492;108,72855;106,59639;103,15253;105,52563;104,00261;104,27354;104,72826;106,71654;108,47751;
SP;35;São Paulo;90,08625;93,06021;93,09731;92,87088;91,32995;92,32057;91,15691;90,33396;88,64379;89,96727;90,06474;88,2712;92,01419;93,55441;87,61512;92,543;93,13194;94,18594;94,0117;91,28839;93,91573;92,9566;92,72639;94,02806;94,14255;93,0841;93,65666;96,06276;95,19474;93,79477;94,34873;95,27495;94,82351;93,07143;96,94601;96,10267;97,40666;96,6744;94,69046;95,85507;95,70952;95,42332;96,12524;97,0379;97,63725;98,34294;99,32971;100,70857;
TO;17;Tocantins;102,43388;102,81205;98,10712;98,17528;96,16016;93,9313;96,54007;95,74852;91,85243;90,02293;96,31212;100,39;94,83222;87,08418;101,93518;92,64603;96,15867;100,00644;94,53669;100,9999;102,04456;100,98504;99,67262;101,8524;97,32736;104,98532;106,24084;105,56184;102,57987;105,26069;103,99029;104,13148;103,66383;103,98642;106,33025;102,96428;92,6402;106,3604;111,53018;112,92005;114,02269;109,30815;110,95834;112,09092;113,13803;113,31417;112,33382;112,80193;
