label,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,chi_R_neg,weight_lp_controls,weight_lp_income,weight_lp_wealth,weight_controls_wh2m,weight_income_wh2m,weight_wealth_ph2m,weight_h0_h3,weight_h4_h12,weight_h13_h24,h0_sign_mismatch_penalty,impact_sign_epsilon,wh2m_persistence_penalty,wealth_model_series
baseline,0.5028250447326755,0.01563477789164451,0.015,0.47219026684103105,-6.538964746893828,-4.719932006921996,0.11603709234768808,0.11332653023262297,0.25131903134826633,0.1679031981576049,0.06417098653777124,0.73,0.7,0.13,0.9,0.8,0.5,0.05,0.26826666666666665,1.0,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.005,0.02,c_based
tuned_best,0.1769908677826341,0.0009592615975470084,0.015,0.16103160618508708,-2.5485640617456196,-1.7971635417274547,0.013810661223638662,0.021165026980453475,0.24634607877198758,0.018253410986234453,0.009367911461042867,0.40301861787402476,1.6567156203557127,0.3493867290458776,0.6371695757619069,0.40352408596438466,0.48071689656910277,0.05456900153591574,0.37847772294490817,0.23929538969373362,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.005,0.02,c_based
relative_improvement,0.6480070560591699,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.35,2.0,1.5,1.0,1.6,1.0,0.85,0.015,0.005,0.02,c_based
