dataset,response_label,group,direction,term,model_series,linear_sign_assumption,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,0,0.003844544744185,-0.0024835451846079,0.010172634672978,0.0078032329793046,-0.004426382683725,-0.05102506536347175,-0.054869610107656744,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,1,0.0033056425821559,-0.0026003813347578,0.0092116664990696,0.0078032329793046,-0.0047335862565511,-0.05456635031404285,-0.057871992896198744,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,2,-0.0021614769470905,-0.0087987093839962,0.0044757554898151,0.0078032329793046,-0.0047642909649531,-0.05492029841684446,-0.05275882146975396,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,3,-0.0016789704675766,-0.0068057542996334,0.0034478133644802,0.0078032329793046,-0.0047507654638054,-0.054764383388830135,-0.05308541292125354,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,4,0.001903359651271,-0.0107137509039402,0.0145204702064824,0.0078032329793046,-0.0047310298300589,-0.054536881142897516,-0.05644024079416852,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,5,0.0023634059648987,-0.0071616979468803,0.0118885098766778,0.0078032329793046,-0.0047112585491201,-0.0543089679744471,-0.0566723739393458,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,6,0.0008694275382036738,-0.0086354336374228,0.0103742887138301,0.0078032329793046,-0.0046924079519614,-0.054091667975579016,-0.05496109551378269,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,7,0.0030769149815056,-0.0054495739235532,0.0116034038865644,0.0078032329793046,-0.0046745818624647,-0.053886177974660526,-0.056963092956166125,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,8,-0.0031949160140502,-0.0142494251905979,0.0078595931624974,0.0078032329793046,-0.0046577472043953,-0.05369211668585213,-0.05049720067180193,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,9,0.0064967812837081,-0.0060595497831265,0.0190531123505427,0.0078032329793046,-0.004641851155288,-0.05350887519891446,-0.06000565648262256,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,10,-0.0019028538252309,-0.0137787007800001,0.0099729931295383,0.0078032329793046,-0.0046268401856684,-0.053335836453569326,-0.051432982628338425,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,11,-0.0043916601905758,-0.0188364306658442,0.0100531102846925,0.0078032329793046,-0.0046126630185147,-0.05317240935465486,-0.048780749164079054,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,12,0.0054176416807116,-0.0136319503430391,0.0244672337044624,0.0078032329793046,-0.0045992709586899,-0.05301803256965062,-0.05843567425036222,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,13,0.0044074059043239,-0.0110051643165023,0.0198199761251502,0.0078032329793046,-0.0045866177968272,-0.052872173420717844,-0.05727957932504174,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,14,-0.0032370191730191,-0.017622863568545,0.0111488252225067,0.0078032329793046,-0.004574659648366,-0.05273432602918925,-0.04949730685617015,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,15,0.006782240641648,-0.0061554727185509,0.0197199540018471,0.0078032329793046,-0.004563354786109,-0.05260400938537322,-0.05938625002702122,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,16,-0.0026254404203348,-0.0236405050883329,0.0183896242476632,0.0078032329793046,-0.004552663475079,-0.052480765444867856,-0.049855325024533055,False,True
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,17,0.0020381056607162,-0.0187265935560304,0.0228028048774629,0.0078032329793046,-0.0045425478102882,-0.05236415725844888,-0.054402262919165084,False,False
lp_controls,consumption,PH2M,contractionary,mp_pos_x_ph2m,cP,1.0,18,0.0027597184175956,-0.0168907975376653,0.0224102343728567,0.0078032329793046,-0.0045329715566534,-0.05225376712669424,-0.055013485544289836,False,False
