output,shock,impact_t0,peak_abs_col0,sum_col0
Y,e_R,-0.9048936219853928,0.9048936219853928,-0.32951820206844445
Y,e_R_neg,0.21653687190436807,0.21653687190436807,0.07885218657514617
Y,e_T,0.0004234737855733764,0.0013544725279351303,0.016785856546315255
cR,e_R,-0.2531379870389693,0.5514559333935111,3.9498099786562424
cR,e_R_neg,0.0605747532547774,0.13196086248032188,-0.9451713180587435
cR,e_T,-0.0034557486357142363,0.003873504783116024,-0.09011418559560973
cW,e_R,-1.7971635417274487,1.7971635417274487,-9.638030839490812
cW,e_R_neg,0.43005295006103794,0.43005295006103794,2.306336345616175
cW,e_T,-0.006904605229056224,0.006904605229056224,-0.04431708353789156
cP,e_R,-2.5485640617456133,2.5485640617456133,-1.5096986042416112
cP,e_R_neg,0.609859630314859,0.609859630314859,0.3612639158220797
cP,e_T,0.04541904154796586,0.045907495299143126,0.8643509337909465
pi,e_R,-0.4741971867479225,0.4741971867479225,-0.5131384393287935
pi,e_R_neg,0.11347320059451566,0.11347320059451566,0.12279166280601676
pi,e_T,-0.0003725209741175249,0.0003725209741175249,-0.0008048476212938111
R,e_R,1.0000000000000004,1.0000000000000004,0.21419673445810655
R,e_R_neg,-0.23929538969373418,0.23929538969373418,-0.05125629104327884
R,e_T,1.9416074202069297e-18,0.0005024948523799967,0.003023421988537977
r,e_R,0.8045939204324803,0.8045939204324803,0.2531379870389692
r,e_R_neg,-0.19253561573509928,0.19253561573509928,-0.060574753254777396
r,e_T,-0.00010070619764599905,0.0003798091814026712,0.003455748635714236
X,e_R,1.7671360860901368,1.7671360860901368,1.2533180237593367
X,e_R_neg,-0.4228675183627969,0.4228675183627969,-0.2999132249056689
X,e_T,0.001249279200091164,0.001249279200091164,0.0009888304066992776
q,e_R,-0.35671288690594244,0.504682128796491,3.0290259974664755
q,e_R_neg,0.08535974928093418,0.12076810668181942,-0.7248319564561904
q,e_T,-0.003634658164675821,0.0038157434984901727,-0.08635332847759623
hW,e_R,-2.49581579389192,2.49581579389192,-40.00925558050715
hW,e_R_neg,0.597237213003142,0.597237213003142,9.574030405493643
hW,e_T,-0.00996393049748136,0.00996393049748136,-0.005495953176227683
bW,e_R,-2.7957275855279087,2.7957275855279087,-36.876654683173705
bW,e_R_neg,0.6690047220564224,0.6690047220564224,8.8244134530113
bW,e_T,-0.013368142357933849,0.013368142357933849,-0.09167037212486234
A,e_R,-0.0,0.0,0.0
A,e_R_neg,-0.0,0.0,0.0
A,e_T,-0.0,0.0,0.0
j,e_R,-0.0,0.0,0.0
j,e_R_neg,-0.0,0.0,0.0
j,e_T,-0.0,0.0,0.0
u,e_R,-0.0,0.0,0.0
u,e_R_neg,-0.0,0.0,0.0
u,e_T,-0.0,0.0,0.0
TP,e_R,-0.0,0.0,0.0
TP,e_R_neg,-0.0,0.0,0.0
TP,e_T,1.0,1.0,18.380105783648126
dP,e_R,-0.6036399133842837,0.6036399133842837,-1.8665196955614476
dP,e_R_neg,0.14444824830798383,0.14444824830798383,0.44664955792040595
dP,e_T,0.29978549215055883,0.9928447422016504,26.942448058386777
dW,e_R,-0.41371685355023335,0.41371685355023335,-1.837827901737481
dW,e_R_neg,0.09900053569316836,0.09900053569316836,0.4397837439362871
dW,e_T,0.09981973298744952,0.4026556727801991,11.819188911523215
