horizon,agent_type,estimate,conf_low,conf_high,region
0,Ricardian,-0.2548672089727084,-1.3117558967850118,0.802021478839595,Center-West
0,PH2M,0.4666037298515867,-1.0076156856076834,1.9408231453108566,Center-West
0,WH2M,-0.7245724321607276,-2.141677052583102,0.6925321882616464,Center-West
1,Ricardian,-0.7010384889959881,-1.3238523027028921,-0.07822467528908394,Center-West
1,PH2M,0.39694137023530385,-0.27933818608649263,1.0732209265571004,Center-West
1,WH2M,-1.0927779659974086,-1.9230102837193366,-0.26254564827548077,Center-West
2,Ricardian,0.845486255077676,-1.4301217431564432,3.1210942533117954,Center-West
2,PH2M,0.2044358600545121,-4.0821379506735305,4.491009670782555,Center-West
2,WH2M,0.6616883994787953,-2.0426508596267343,3.3660276585843247,Center-West
3,Ricardian,-0.3729008881328316,-1.6094516272555337,0.8636498509898706,Center-West
3,PH2M,0.4199911443150136,-1.4495182896496623,2.2895005782796893,Center-West
3,WH2M,-0.7551627385250116,-2.040439338238351,0.5301138611883279,Center-West
4,Ricardian,-1.2921417217767566,-2.2142495687459944,-0.3700338748075187,Center-West
4,PH2M,0.582275875737061,-0.62979585660042,1.794347608074542,Center-West
4,WH2M,-1.8491253022282996,-2.840354588737695,-0.8578960157189041,Center-West
5,Ricardian,-2.1466075823576323,-3.16726593288632,-1.1259492318289444,Center-West
5,PH2M,-0.09339082700470547,-1.9248275375089248,1.7380458834995138,Center-West
5,WH2M,-2.068109837128455,-3.3522487300580748,-0.7839709441988354,Center-West
6,Ricardian,-1.8445822487797014,-3.592775884132072,-0.09638861342733063,Center-West
6,PH2M,-0.2679542814286844,-3.552250979092663,3.016342416235294,Center-West
6,WH2M,-1.5544375325581878,-3.613014473428871,0.5041394083124953,Center-West
7,Ricardian,-0.748749837829174,-2.4072893406968046,0.9097896650384566,Center-West
7,PH2M,0.08261733091465662,-3.163761448759948,3.328996110589261,Center-West
7,WH2M,-0.77178535742364,-2.853047195219874,1.3094764803725942,Center-West
8,Ricardian,0.23357848788003152,-1.476374703257798,1.9435316790178612,Center-West
8,PH2M,-0.3488044229042344,-3.7502212544917777,3.0526124086833093,Center-West
8,WH2M,0.5708735656917044,-1.6060348398265236,2.7477819712099323,Center-West
9,Ricardian,-0.5354903909338334,-2.0383910963746317,0.9674103145069647,Center-West
9,PH2M,-0.1563098064240675,-2.346333131836791,2.033713518988656,Center-West
9,WH2M,-0.37179774898983153,-1.9260167941010917,1.1824212961214289,Center-West
10,Ricardian,-0.04957349358847162,-0.32847637235107346,0.2293293851741302,Center-West
10,PH2M,-0.3712043912397868,-0.9115279672815526,0.16911918480197902,Center-West
10,WH2M,0.352892186046388,-0.4738513818331436,1.1796357539259197,Center-West
11,Ricardian,0.3136140607687919,-1.0743177285395211,1.7015458500771048,Center-West
11,PH2M,0.11298375767006671,-2.3385231441548964,2.5644906594950294,Center-West
11,WH2M,0.21883268935194805,-1.3134196837763956,1.7510850624802918,Center-West
12,Ricardian,1.362949473889147,0.5960803484365259,2.129818599341768,Center-West
12,PH2M,0.3762601176447239,-1.2271330096427406,1.9796532449321886,Center-West
12,WH2M,1.0264501650368771,-0.003088784013072443,2.0559891140868265,Center-West
13,Ricardian,2.095588844188187,0.7469528429193582,3.444224845457016,Center-West
13,PH2M,-0.0366644778007954,-2.0456126648380155,1.9722837092364247,Center-West
13,WH2M,2.1235710935385077,0.6849764132889857,3.5621657737880295,Center-West
14,Ricardian,0.4201518055026781,-0.24086513440179252,1.0811687454071488,Center-West
14,PH2M,0.046545986088071534,-1.0003937494837587,1.0934857216599017,Center-West
14,WH2M,0.37775586578559334,-0.5665795108258722,1.3220912423970588,Center-West
15,Ricardian,0.9208371268553828,-1.2529672869930901,3.0946415407038557,Center-West
15,PH2M,0.6208456965797093,-3.012166592324899,4.253857985484317,Center-West
15,WH2M,0.27680814157087463,-2.0062402004854514,2.5598564836272004,Center-West
16,Ricardian,0.50460804914606,-0.28212849207022805,1.291344590362348,Center-West
16,PH2M,0.5562951706238055,-0.8166521129871267,1.9292424542347377,Center-West
16,WH2M,-0.09286627299237593,-1.1204423354139226,0.9347097894291707,Center-West
17,Ricardian,0.819742892534274,0.19302134599044207,1.446464439078106,Center-West
17,PH2M,0.04739433181645425,-0.7613255306633242,0.8561141942962327,Center-West
17,WH2M,0.7428655205886429,0.01571229815928321,1.4700187430180025,Center-West
18,Ricardian,0.7642205221075016,0.08094330790377058,1.4474977363112327,Center-West
18,PH2M,0.23604201284321003,-1.1422204768005795,1.6143045024869993,Center-West
18,WH2M,0.5133393688899196,-0.4040785813030019,1.430757319082841,Center-West
19,Ricardian,-0.32025096750052373,-1.1097902716963066,0.46928833669525927,Center-West
19,PH2M,0.5321090197616232,-0.9652503793230558,2.029468418846302,Center-West
19,WH2M,-0.8464762917473007,-1.794681194848275,0.10172861135367361,Center-West
20,Ricardian,0.09387200011877532,-1.301422518141516,1.4891665183790668,Center-West
20,PH2M,-0.3602048548723934,-2.2931155891842394,1.5727058794394528,Center-West
20,WH2M,0.4622448543172802,-0.9472323484845575,1.8717220571191178,Center-West
21,Ricardian,1.2228206693077779,0.29722999281341367,2.148411345802142,Center-West
21,PH2M,0.4523658881425219,-1.39450840930382,2.2992401855888636,Center-West
21,WH2M,0.7944374246487116,-0.3977210800929256,1.9865959293903488,Center-West
22,Ricardian,-1.6660467030009796,-3.6645374593384634,0.33244405333650406,Center-West
22,PH2M,0.7472952217404643,-2.2074238971737525,3.7020143406546806,Center-West
22,WH2M,-2.399122740000214,-4.422456657839394,-0.3757888221610348,Center-West
23,Ricardian,-1.170007358335807,-1.7517764487431706,-0.5882382679284436,Center-West
23,PH2M,0.13231753398186274,-1.0459575130009329,1.3105925809646584,Center-West
23,WH2M,-1.2925801142012405,-2.0738384436088912,-0.5113217847935899,Center-West
24,Ricardian,-0.7962589904427687,-1.2959218011724125,-0.2965961797131249,Center-West
24,PH2M,0.7578164721575612,-0.79843305544972,2.3140659997648423,Center-West
24,WH2M,-1.5580573784730753,-2.72207551317951,-0.3940392437666409,Center-West
0,Ricardian,-0.5582708471020134,-3.782214158355961,2.6656724641519345,North
0,PH2M,0.19247689675221635,-3.9019112309459087,4.286865024450342,North
0,WH2M,-0.7547560288865164,-4.209131347623577,2.6996192898505447,North
1,Ricardian,0.3213885917327519,-2.6953809579739074,3.3381581414394113,North
1,PH2M,-0.09443040503719419,-3.7525532212768136,3.5636924112024255,North
1,WH2M,0.4202565559564939,-2.8398343762092155,3.6803474881222034,North
2,Ricardian,-0.7324297211992378,-3.374855623219557,1.9099961808210812,North
2,PH2M,0.15510578049062118,-3.636006163381899,3.9462177243631418,North
2,WH2M,-0.9314526675800621,-3.63341706417739,1.770511729017266,North
3,Ricardian,0.433941145636847,-3.0995840131044003,3.967466304378094,North
3,PH2M,-0.039559564262030555,-4.277134364378815,4.198015235854754,North
3,WH2M,0.4448212827852199,-3.5367368642199866,4.426379429790426,North
4,Ricardian,-0.2753653434566019,-2.439647723737764,1.8889170368245602,North
4,PH2M,-0.37482364833644666,-2.8233098730697535,2.0736625763968597,North
4,WH2M,0.08746222629763672,-2.59131207254141,2.766236525136683,North
5,Ricardian,0.149342720445895,-1.8672776989389173,2.165963139830707,North
5,PH2M,-0.8795362009092653,-3.4974678989105055,1.7383954970919746,North
5,WH2M,1.0197836996622747,-1.6405313371304238,3.680098736454973,North
6,Ricardian,1.9426705884014182,-0.7436927973623251,4.629033974165162,North
6,PH2M,0.10952519432077601,-2.87275505369714,3.091805442338692,North
6,WH2M,1.8071329304034478,-1.438300967902681,5.052566828709576,North
7,Ricardian,0.16705992470367684,-2.726812749886575,3.0609325992939285,North
7,PH2M,-1.0208411721302366,-4.01144612718233,1.969763782921857,North
7,WH2M,1.107447471564275,-2.6447851035344208,4.859680046662971,North
8,Ricardian,0.5121266981909982,0.13365033080498284,0.8906030655770136,North
8,PH2M,-0.6097333550129611,-1.344957353123777,0.12549064309785485,North
8,WH2M,1.0534507788252252,0.4648646906518098,1.6420368669986405,North
9,Ricardian,2.0988168810226715,1.031303459801794,3.1663303022435487,North
9,PH2M,0.012620439449810394,-1.4293495745199833,1.4545904534196041,North
9,WH2M,2.1349625423247245,0.915490732905134,3.354434351744315,North
10,Ricardian,2.1914615763194414,1.0901407077396386,3.2927824448992444,North
10,PH2M,0.4894515268380444,-0.7873881192160703,1.766291172892159,North
10,WH2M,1.7333770915553322,0.4791415910169248,2.9876125920937397,North
11,Ricardian,2.8011597752036237,-0.3335116388889472,5.935831189296195,North
11,PH2M,0.485843113661637,-3.5577814326374884,4.529467659960762,North
11,WH2M,2.380332741887982,-0.8762063412452372,5.636871825021201,North
12,Ricardian,3.4347539095447424,2.1218111583817985,4.747696660707686,North
12,PH2M,1.5889167335488281,-0.1032725261271421,3.2811059932247986,North
12,WH2M,1.947345598985809,0.5480835401264705,3.346607657845148,North
13,Ricardian,2.216425825659903,0.6473230476152612,3.7855286037045452,North
13,PH2M,0.38125399216602185,-1.7490931559987248,2.5116011403307685,North
13,WH2M,1.8555510410252916,0.1387619004725773,3.5723401815780056,North
14,Ricardian,2.4926811804637996,-0.31749818444474265,5.302860545372342,North
14,PH2M,0.7464661418322769,-3.164997599715319,4.657929883379873,North
14,WH2M,1.7894845613498291,-1.3499549817414973,4.928924104441156,North
15,Ricardian,3.032838303889041,0.77039570303302,5.295280904745062,North
15,PH2M,0.8941859988795775,-1.914282986811135,3.70265498457029,North
15,WH2M,2.194615857281318,-0.18384762604050886,4.573079340603146,North
16,Ricardian,1.4614471259293005,-0.6150010949047933,3.5378953467633942,North
16,PH2M,0.2797840054845595,-2.366687329458724,2.9262553404278435,North
16,WH2M,1.1876144608466181,-1.0953813407953747,3.470610262488611,North
17,Ricardian,2.6635814893936525,-0.13019036366295378,5.457353342450259,North
17,PH2M,0.7950594939028397,-2.58388619755305,4.174005185358729,North
17,WH2M,1.9540819368597973,-1.1407389814201698,5.048902855139764,North
18,Ricardian,4.277160011596349,2.8543577417323878,5.69996228146031,North
18,PH2M,1.4064158599358243,-0.4649722817697892,3.277804001641438,North
18,WH2M,2.9754381397063376,1.3594207088527859,4.591455570559889,North
19,Ricardian,1.5750652326993397,0.1381874443507347,3.0119430210479448,North
19,PH2M,-0.21393691366287326,-2.177362769470413,1.7494889421446664,North
19,WH2M,1.8014140574639934,0.12578255030288377,3.477045564625103,North
20,Ricardian,0.7678234598906485,0.07078478963881629,1.4648621301424807,North
20,PH2M,0.2714906955898806,-0.7029294920262572,1.2459108832060184,North
20,WH2M,0.4586434651304899,-0.3512110976178193,1.2684980278787992,North
21,Ricardian,0.24206892510954509,-0.9007876637793684,1.3849255139984586,North
21,PH2M,-0.27603755145587644,-1.9139085247428334,1.3618334218310806,North
21,WH2M,0.4752171439227151,-0.7384802660888208,1.688914553934251,North
22,Ricardian,-2.055184252022623,-3.8538107263704813,-0.2565577776747645,North
22,PH2M,-0.6084230932713006,-2.982239675283216,1.7653934887406146,North
22,WH2M,-1.5237393854013717,-3.3900573063000863,0.34257853549734274,North
23,Ricardian,0.9096288909186105,-1.0051574884493355,2.824415270286557,North
23,PH2M,0.8129747620581171,-1.855983655949669,3.4819331800659032,North
23,WH2M,0.061831512639440644,-2.186677672129478,2.3103406974083587,North
24,Ricardian,0.2352656788587417,-2.163864377022142,2.6343957347396256,North
24,PH2M,0.6015975688383897,-2.2696484252777527,3.472843562954532,North
24,WH2M,-0.4238730603894755,-3.1901089017781765,2.3423627809992253,North
0,Ricardian,0.19403135682730216,-0.5893591714842028,0.977421885138807,Northeast
0,PH2M,0.25528770219922764,-1.704985593865203,2.2155609982636584,Northeast
0,WH2M,-0.0828170633566167,-1.9435628749804834,1.77792874826725,Northeast
1,Ricardian,0.004809427394942797,-0.9043786308931517,0.9139974856830374,Northeast
1,PH2M,0.43736599958125255,-1.7087369364666807,2.583468935629186,Northeast
1,WH2M,-0.4421125591222727,-2.905935030628574,2.0217099123840283,Northeast
2,Ricardian,0.18876678584739198,-0.6511497943666191,1.028683366061403,Northeast
2,PH2M,0.05752741086525481,-1.492575359414064,1.6076301811445737,Northeast
2,WH2M,0.09713898054506875,-1.676524772346578,1.8708027334367152,Northeast
3,Ricardian,1.238405202066437,0.23163519167981117,2.245175212453063,Northeast
3,PH2M,0.9370684541827878,-1.8717203248629444,3.74585723322852,Northeast
3,WH2M,0.2516196841010583,-2.786392410333113,3.2896317785352296,Northeast
4,Ricardian,0.5817501449632223,-0.4546756319463172,1.6181759218727618,Northeast
4,PH2M,0.5321488881549832,-1.5912940783823113,2.6555918546922777,Northeast
4,WH2M,-0.003157033205338,-2.729283113650046,2.72296904723937,Northeast
5,Ricardian,0.024411166710140896,-1.3827411770642921,1.431563510484574,Northeast
5,PH2M,1.7615099660887352,-0.7729138359959384,4.295933768173409,Northeast
5,WH2M,-1.7918311847915596,-3.7402022125742813,0.1565398429911622,Northeast
6,Ricardian,0.6428919600484901,-1.0746080810650238,2.360392001162004,Northeast
6,PH2M,1.4819696421171886,-1.9824238028986327,4.94636308713301,Northeast
6,WH2M,-0.9140615825401102,-3.472533479641655,1.6444103145614348,Northeast
7,Ricardian,0.44333029155358844,-1.5842235569427374,2.470884140049914,Northeast
