horizon,agent_type,estimate,conf_low,conf_high,uf_code,region
0,Ricardian,-8.250620880836804,-29.8910573478668,13.389815586193189,11,North
0,PH2M,-0.699402408217046,-25.205296831552676,23.806492015118582,11,North
0,WH2M,-7.7307039341353265,-31.68291425859474,16.221506390324084,11,North
1,Ricardian,27.79566134020134,10.765886939630057,44.825435740772626,11,North
1,PH2M,14.269416746824078,-4.844703003257589,33.38353649690575,11,North
1,WH2M,13.573060810170716,-5.526199435786218,32.67232105612765,11,North
2,Ricardian,7.135186957020069,-12.60412546514854,26.874499379188677,11,North
2,PH2M,7.02418699288024,-15.293856039468103,29.34223002522858,11,North
2,WH2M,-0.021226370066658617,-22.0642051047436,22.02175236461028,11,North
3,Ricardian,46.03554435858262,27.217313319679416,64.85377539748582,11,North
3,PH2M,23.831247664843684,2.5706298064410973,45.09186552324627,11,North
3,WH2M,22.305893557827286,1.3205808053510921,43.29120631030348,11,North
4,Ricardian,30.43084849989053,-6.7045218141106915,67.56621881389175,11,North
4,PH2M,17.719544495183776,-24.235525123853265,59.674614114220816,11,North
4,WH2M,12.797667094738454,-28.356613758727367,53.95194794820428,11,North
5,Ricardian,57.79916773303779,11.806905253150887,103.7914302129247,11,North
5,PH2M,29.3073184914114,-21.797129428604478,80.41176641142728,11,North
5,WH2M,28.61349699198642,-23.170328577190876,80.39732256116372,11,North
6,Ricardian,71.13971253555354,5.520180364704103,136.75924470640297,11,North
6,PH2M,35.498178930496984,-37.47272675549559,108.46908461648957,11,North
6,WH2M,35.86867808749462,-37.89940462299207,109.63676079798131,11,North
7,Ricardian,117.27050669007457,80.4034653113693,154.13754806877984,11,North
7,PH2M,61.04112173826233,20.07608350126805,102.00615997525662,11,North
7,WH2M,56.51688216556363,14.960210169127954,98.07355416199931,11,North
8,Ricardian,67.0258219052136,32.815591968841574,101.23605184158563,11,North
8,PH2M,32.14610486129063,-5.914711925265017,70.20692164784629,11,North
8,WH2M,35.15181673110486,-3.3819808866857954,73.68561434889551,11,North
9,Ricardian,92.49023185725125,59.63034150809452,125.35012220640797,11,North
9,PH2M,46.24531755905956,9.355158774859873,83.13547634325924,11,North
9,WH2M,46.565718476457334,9.935786070296537,83.19565088261814,11,North
10,Ricardian,-14.789007102513605,-42.03196963701872,12.453955431991506,11,North
10,PH2M,-10.457141242572018,-41.01269946639974,20.0984169812557,11,North
10,WH2M,-4.279747967184743,-34.645153663163384,26.085657728793894,11,North
11,Ricardian,16.237474203635692,-30.55774969183718,63.032698099108565,11,North
11,PH2M,7.516278789410094,-45.14808911338155,60.18064669220174,11,North
11,WH2M,8.707515819869647,-43.24523895719428,60.66027059693358,11,North
12,Ricardian,-17.225740142927446,-44.03482927525999,9.583348989405096,11,North
12,PH2M,-7.407434228707803,-37.94721535849638,23.132346901080773,11,North
12,WH2M,-9.875181528235613,-39.3370410005064,19.586677944035173,11,North
13,Ricardian,-23.769722356051815,-51.55396453531144,4.014519823207802,11,North
13,PH2M,-12.476918343679301,-43.709217743758856,18.755381056400257,11,North
13,WH2M,-11.439403830026068,-42.349762772346445,19.470955112294313,11,North
14,Ricardian,11.006236883251141,-16.390769032542675,38.40324279904496,11,North
14,PH2M,5.1978194523959225,-25.563768723875047,35.959407628666895,11,North
14,WH2M,5.737525936016493,-24.761497059923087,36.23654893195607,11,North
15,Ricardian,4.387692987814184,-22.25470408293898,31.030090058567346,11,North
15,PH2M,3.6768221357791795,-26.48926850277894,33.8429127743373,11,North
15,WH2M,0.6684726792843612,-28.743625777027216,30.080571135595935,11,North
16,Ricardian,44.03633422006297,20.608094028707367,67.46457441141857,11,North
16,PH2M,20.802380637675824,-5.51030046874677,47.11506174409842,11,North
16,WH2M,23.404349236185496,-2.6988321005155385,49.50753057288653,11,North
17,Ricardian,18.697431681845735,-2.47700926804168,39.871872631733154,11,North
17,PH2M,8.624069838118908,-15.266124373939698,32.514264050177516,11,North
17,WH2M,10.135807675948227,-13.320484170889598,33.59209952278605,11,North
18,Ricardian,43.75221646650415,28.950079814617098,58.554353118391205,11,North
18,PH2M,17.88594036726368,1.0116383799253832,34.76024235460197,11,North
18,WH2M,26.19853202707694,9.936304086610836,42.46075996754304,11,North
19,Ricardian,16.82888969723976,0.1060358397484471,33.551743554731075,11,North
19,PH2M,7.288540103168019,-11.498789199995604,26.07586940633164,11,North
19,WH2M,9.589252490771857,-9.014808736507883,28.1933137180516,11,North
20,Ricardian,52.653728483827564,2.675594786742799,102.63186218091232,11,North
20,PH2M,27.205542971534978,-28.439748895116633,82.85083483818659,11,North
20,WH2M,25.60649227536829,-30.41379772217961,81.62678227291619,11,North
21,Ricardian,20.046411882335946,-6.6503641861135385,46.743187950785426,11,North
21,PH2M,9.313150432822757,-20.341097411009805,38.967398276655324,11,North
21,WH2M,10.82399939375305,-19.202087741577053,40.85008652908315,11,North
22,Ricardian,71.13796558842074,37.80806005648001,104.46787112036148,11,North
22,PH2M,36.07294403873274,-0.9448729285515185,73.090761006017,11,North
22,WH2M,35.33211932752438,-2.1246796100714036,72.78891826512017,11,North
23,Ricardian,-50.63763224907751,-80.2872673742453,-20.987997123909725,11,North
23,PH2M,-23.783410726755772,-56.81125864283723,9.24443718932569,11,North
23,WH2M,-27.110441291606033,-60.3415082188194,6.120625635607329,11,North
24,Ricardian,-32.74187052491399,-59.8254097859402,-5.658331263887781,11,North
24,PH2M,-15.953455156496432,-46.15961438460897,14.252704071616112,11,North
24,WH2M,-16.98106978114786,-47.297265399636444,13.33512583734073,11,North
0,Ricardian,-9.157147170596248,-21.932377645000958,3.6180833038084614,12,North
0,PH2M,-1.0127454966566685,-19.42886375874788,17.40337276543454,12,North
0,WH2M,-8.202922706578375,-21.334658773833546,4.928813360676795,12,North
1,Ricardian,3.7304902680850223,-15.615506789302403,23.07648732547245,12,North
1,PH2M,0.6387123677471185,-24.964025205840155,26.24144994133439,12,North
1,WH2M,3.0699037429022686,-16.816462722211696,22.956270208016235,12,North
2,Ricardian,10.244986408324364,-30.136449179467235,50.626421996115965,12,North
2,PH2M,6.353630539891785,-51.939473506159246,64.64673458594282,12,North
2,WH2M,3.9155561095032168,-37.45651694265824,45.28762916166467,12,North
3,Ricardian,3.198028431300129,-11.251353895354749,17.647410757955008,12,North
3,PH2M,-3.914105893413616,-25.28214714636707,17.453935359539837,12,North
3,WH2M,7.0167931998789435,-8.2663637070921,22.299950106849987,12,North
4,Ricardian,6.569598991535181,-3.2675364099571818,16.406734393027545,12,North
4,PH2M,-7.380200390375619,-23.34391217940216,8.58351139865092,12,North
4,WH2M,13.820598775915883,2.8498824029536376,24.791315148878127,12,North
5,Ricardian,18.43875459572964,6.564791470738193,30.31271772072109,12,North
5,PH2M,-2.5522991100141468,-25.89769558226536,20.793097362237067,12,North
5,WH2M,20.864705533151316,5.536777973076607,36.19263309322602,12,North
6,Ricardian,25.160668415174,11.535478575067284,38.785858255280715,12,North
6,PH2M,-19.867511832604563,-44.81012200680769,5.075098341598565,12,North
6,WH2M,44.70157775247562,28.62752867175648,60.775626833194764,12,North
7,Ricardian,7.468899783731457,-7.019157674363111,21.956957241826025,12,North
7,PH2M,-7.287276764970354,-32.37157474810425,17.797021218163547,12,North
7,WH2M,14.579956263004021,-1.830010389975218,30.98992291598326,12,North
8,Ricardian,19.41046318796657,4.508910985283535,34.312015390649606,12,North
8,PH2M,-10.080085754001345,-35.787487800738624,15.627316292735934,12,North
8,WH2M,29.25786539858791,12.628021740925139,45.887709056250685,12,North
9,Ricardian,0.5935385475073041,-26.128265244875386,27.315342339889995,12,North
9,PH2M,-13.988997243814126,-53.54579101261376,25.56779652498551,12,North
9,WH2M,14.472685736477692,-15.201631482074118,44.1470029550295,12,North
10,Ricardian,7.211779711464379,-8.374695769629668,22.798255192558425,12,North
10,PH2M,2.0986062684653666,-21.78753386164274,25.984746398573474,12,North
10,WH2M,5.1209316886189775,-11.656804327742456,21.89866770498041,12,North
