region,horizon,coefficient,estimate,std_error,conf_low,conf_high
North,0,ricardian,-0.5582708471020134,1.6385591639740287,-3.782214158355961,2.6656724641519345
North,0,ph2m_diff,3.2132563475897755,5.545850888238212,-7.698469801488562,14.124982496668112
North,0,wh2m_diff,-0.7408739232526428,2.4474468473663706,-5.556342333974879,4.074594487469593
North,1,ricardian,0.3213885917327519,1.5331284810840915,-2.6953809579739074,3.3381581414394113
North,1,ph2m_diff,-1.7797363252268052,4.555667805131816,-10.74402084714928,7.184548196695669
North,1,wh2m_diff,0.37279501626123573,2.432345700866837,-4.413383399487927,5.158973432010399
North,2,ricardian,-0.7324297211992378,1.3427622636376677,-3.374855623219557,1.9099961808210812
North,2,ph2m_diff,3.798718155149002,5.958806070527984,-7.927634254563861,15.525070564861865
North,2,wh2m_diff,-0.7504429075174728,1.1767680590753087,-3.066208314527637,1.5653224994926913
North,3,ricardian,0.433941145636847,1.7954051693646453,-3.0995840131044003,3.967466304378094
North,3,ph2m_diff,-2.0266183603293704,5.155465202621326,-12.173055671147678,8.119818950488936
North,3,wh2m_diff,0.04102502703477452,3.5833644263478646,-7.0113710390405775,7.093421093110127
North,4,ricardian,-0.2753653434566019,1.0995731324665325,-2.439647723737764,1.8889170368245602
North,4,ph2m_diff,-0.42568896422515656,2.537577819972477,-5.420386271933222,4.569008343482909
North,4,wh2m_diff,1.3680903701067084,3.060647544044943,-4.656161547515423,7.39234228772884
North,5,ricardian,0.149342720445895,1.024443594824633,-1.8672776989389173,2.165963139830707
North,5,ph2m_diff,-4.403678535180141,3.6682883199176524,-11.62471556201916,2.8173584916588776
North,5,wh2m_diff,3.2821153095361515,3.3573230934312086,-3.3267856967164597,9.891016315788763
North,6,ricardian,1.9426705884014182,1.3645201633324289,-0.7436927973623251,4.629033974165162
North,6,ph2m_diff,-7.8459990347014585,2.881557548488424,-13.518990097966947,-2.17300797143597
North,6,wh2m_diff,-0.5110630507473266,3.536907392121438,-7.47425697954044,6.4521308780457876
North,7,ricardian,0.16705992470367684,1.4697495835896874,-2.726812749886575,3.0609325992939285
North,7,ph2m_diff,-5.084305308883579,1.7540962348721594,-8.538044108591446,-1.6305665091757109
North,7,wh2m_diff,3.5458582926862214,4.625418686815733,-5.561388884498211,12.653105469870653
North,8,ricardian,0.5121266981909982,0.19219789810825344,0.13365033080498284,0.8906030655770136
North,8,ph2m_diff,-4.801644715651603,1.378760079032446,-7.516700974566263,-2.0865884567369433
North,8,wh2m_diff,2.0411355794274,0.8700242873835484,0.32788254665455163,3.7543886122002483
North,9,ricardian,2.0988168810226715,0.5420335005826789,1.031303459801794,3.1663303022435487
North,9,ph2m_diff,-8.929076394939912,2.1291066782256243,-13.122267317223443,-4.735885472656381
North,9,wh2m_diff,0.1362920992524707,1.1517855806159591,-2.132103792061389,2.4046879905663303
North,10,ricardian,2.1914615763194414,0.5591216239860219,1.0901407077396386,3.2927824448992444
North,10,ph2m_diff,-7.284729977449768,1.4309061213577432,-10.10323440443874,-4.466225550460796
North,10,wh2m_diff,-1.7272694374508726,1.1736042748856392,-4.0389576711692925,0.5844187962675478
North,11,ricardian,2.8011597752036237,1.5911843701084878,-0.3335116388889472,5.935831189296195
North,11,ph2m_diff,-9.909728028199977,5.620449493143229,-20.982148478952602,1.1626924225526505
North,11,wh2m_diff,-1.5867851832474444,1.8032665527137122,-5.139263589251097,1.9656932227562087
North,12,ricardian,3.4347539095447424,0.6663561786757246,2.1218111583817985,4.747696660707686
North,12,ph2m_diff,-7.900320808073836,2.3496134343334396,-12.529838812654983,-3.270802803492688
North,12,wh2m_diff,-5.608473985234119,0.9660173484394597,-7.511848660399327,-3.7050993100689116
North,13,ricardian,2.216425825659903,0.7962325340043306,0.6473230476152612,3.7855286037045452
North,13,ph2m_diff,-7.854672346557406,3.1666508301502643,-14.095061180831198,-1.614283512283614
North,13,wh2m_diff,-1.3607271299900356,1.3763439586076578,-4.073031685212455,1.3515774252323836
North,14,ricardian,2.4926811804637996,1.4257578445659826,-0.31749818444474265,5.302860545372342
North,14,ph2m_diff,-7.473930628593328,5.976511710393224,-19.253679866300597,4.305818609113942
North,14,wh2m_diff,-2.65149785489855,2.7523911731503707,-8.076481423057086,2.7734857132599844
North,15,ricardian,3.032838303889041,1.147644400779133,0.77039570303302,5.295280904745062
North,15,ph2m_diff,-9.153591403524064,3.6721263781333517,-16.392745925583124,-1.9144368814650052
North,15,wh2m_diff,-3.160630979580937,1.4868876572994019,-6.09185076880952,-0.2294111903523537
North,16,ricardian,1.4614471259293005,1.0530845099339765,-0.6150010949047933,3.5378953467633942
North,16,ph2m_diff,-5.0576063046005695,3.6170108962735,-12.189546589977585,2.074333980776446
North,16,wh2m_diff,-1.0325230587466865,1.8768430674005359,-4.733239773621715,2.6681936561283424
North,17,ricardian,2.6635814893936525,1.416573427713914,-0.13019036366295378,5.457353342450259
North,17,ph2m_diff,-7.997413527742487,4.2052246311757004,-16.29097458184105,0.2961475263560738
North,17,wh2m_diff,-2.675263916890502,2.6300821209155267,-7.862322530928804,2.5117946971477996
North,18,ricardian,4.277160011596349,0.7212597852430742,2.8543577417323878,5.69996228146031
North,18,ph2m_diff,-12.286999119401264,2.6777263700611003,-17.5692500300264,-7.004748208776128
North,18,wh2m_diff,-4.908318181819198,1.5062845333867936,-7.8797094849423015,-1.9369268786960956
North,19,ricardian,1.5750652326993397,0.728212584020316,0.1381874443507347,3.0119430210479448
North,19,ph2m_diff,-7.657062641491315,2.9442597342909465,-13.46654947015315,-1.8475758128294784
North,19,wh2m_diff,0.8534788237157545,1.68874129966355,-2.47867296410039,4.1856306115318995
North,20,ricardian,0.7678234598906485,0.3531649660181829,0.07078478963881629,1.4648621301424807
North,20,ph2m_diff,-2.1243412563833,1.4976333194450075,-5.0802073188653845,0.8315248060987841
North,20,wh2m_diff,-1.1658049407533317,0.8087233933629433,-2.7619753793642565,0.43036549785759304
North,21,ricardian,0.24206892510954509,0.5788752475036651,-0.9007876637793684,1.3849255139984586
North,21,ph2m_diff,-2.217534369140195,2.5794749031925956,-7.310116754896091,2.8750480166157018
North,21,wh2m_diff,0.879116857580262,0.8291404305955625,-0.7578310138422933,2.5160647290028173
North,22,ricardian,-2.055184252022623,0.9107423432017194,-3.8538107263704813,-0.2565577776747645
North,22,ph2m_diff,6.192245684199713,3.4170611938326463,-0.556113798118572,12.940605166517997
North,22,wh2m_diff,2.003884668300304,1.0479311819765649,-0.06567625775869468,4.073445594359303
North,23,ricardian,0.9096288909186105,0.9692223963766793,-1.0051574884493355,2.824415270286557
North,23,ph2m_diff,-0.41368688167785406,4.093845025617303,-8.501447465419814,7.6740737020641046
North,23,wh2m_diff,-3.1967345530304674,2.3141763877515404,-7.768599011886243,1.375129905825308
North,24,ricardian,0.2352656788587417,1.213922296590352,-2.163864377022142,2.6343957347396256
North,24,ph2m_diff,1.5679278165506154,3.509628393112515,-5.368311007416369,8.5041666405176
North,24,wh2m_diff,-2.4853716666034256,2.714560974703205,-7.85028245308805,2.8795391198811986
Northeast,0,ricardian,0.19403135682730216,0.3985048799888545,-0.5893591714842028,0.977421885138807
Northeast,0,ph2m_diff,0.27634039607949146,4.138217588046669,-7.858667794180339,8.411348586339322
Northeast,0,wh2m_diff,-1.134423527548672,3.5308161904125037,-8.07538736431631,5.806540309218966
Northeast,1,ricardian,0.004809427394942797,0.4624657916567242,-0.9043786308931517,0.9139974856830374
Northeast,1,ph2m_diff,1.9513546516527145,4.477345967416269,-6.850916910566605,10.753626213872034
Northeast,1,wh2m_diff,-1.8313227727545087,4.789687026461458,-11.247643560062741,7.584998014553723
Northeast,2,ricardian,0.18876678584739198,0.4271999968839422,-0.6511497943666191,1.028683366061403
Northeast,2,ph2m_diff,-0.5920487199095978,3.0024943230019465,-6.495243434990293,5.311145995171097
Northeast,2,wh2m_diff,-0.37545721967114987,3.2688729269838928,-6.802378076443464,6.051463637101165
Northeast,3,ricardian,1.238405202066437,0.5120272645247465,0.23163519167981117,2.245175212453063
Northeast,3,ph2m_diff,-1.359394129014393,6.038079235426943,-13.23172499055244,10.512936732523656
Northeast,3,wh2m_diff,-4.043485989483179,5.994808174648261,-15.830735431870572,7.743763452904212
Northeast,4,ricardian,0.5817501449632223,0.5270686441136885,-0.4546756319463172,1.6181759218727618
Northeast,4,ph2m_diff,-0.2237618138856745,4.270026430843152,-8.620325545072632,8.172801917301282
Northeast,4,wh2m_diff,-2.396735599595305,5.274257817514939,-12.768016109615623,7.9745449104250135
Northeast,5,ricardian,0.024411166710140896,0.7155410611667378,-1.3827411770642921,1.431563510484574
Northeast,5,ph2m_diff,7.836421963062357,4.858807845070082,-1.718701031544894,17.39154495766961
Northeast,5,wh2m_diff,-7.4422965964735335,2.827575058408349,-13.002884362254145,-1.8817088306929222
Northeast,6,ricardian,0.6428919600484901,0.8732786572060544,-1.0746080810650238,2.360392001162004
Northeast,6,ph2m_diff,3.7852577981349036,6.932618577762521,-9.849305000440374,17.41982059671018
Northeast,6,wh2m_diff,-6.379825930880845,3.9755587829051104,-14.198661667613631,1.439009805851942
Northeast,7,ricardian,0.44333029155358844,1.0308350373627484,-1.5842235569427374,2.470884140049914
Northeast,7,ph2m_diff,5.278305580420711,6.311324280379608,-7.135465168515236,17.69207632935666
Northeast,7,wh2m_diff,-6.774385874092278,4.097532081459385,-14.833839268647962,1.2850675204634054
Northeast,8,ricardian,0.6191575081653826,0.7337262597351939,-0.8241495203423803,2.0624645366731453
Northeast,8,ph2m_diff,3.658010743686059,4.58721498826003,-5.365462991902097,12.681484479274216
