uf_code,region,horizon,coefficient,estimate,std_error,conf_low,conf_high
11,North,0,ricardian,-8.250620880836804,11.041241899201717,-29.8910573478668,13.389815586193189
11,North,0,ph2m_diff,30.58171268178966,23.75888412956727,-15.98484452502246,77.14826988860179
11,North,0,wh2m_diff,1.9941182693679202,20.088406254957537,-37.378434497158,41.366671035893845
11,North,1,ricardian,27.79566134020134,8.688820067562451,10.765886939630057,44.825435740772626
11,North,1,ph2m_diff,-54.779997071752575,17.93330285788431,-89.92862479705505,-19.6313693464501
11,North,1,wh2m_diff,-54.550150239939,16.919569917582702,-87.71189791230843,-21.38840256756957
11,North,2,ricardian,7.135186957020069,10.071262828230411,-12.60412546514854,26.874499379188677
11,North,2,ph2m_diff,-0.4495392397030642,21.517112576247477,-42.62230494044198,41.72322646103585
11,North,2,wh2m_diff,-27.448104258247216,19.197048871878145,-65.07362865658365,10.177420140089222
11,North,3,ricardian,46.03554435858262,9.601314711565626,27.217313319679416,64.85377539748582
11,North,3,ph2m_diff,-89.9252781854097,20.44206043636225,-129.99098041047085,-49.85957596034854
11,North,3,wh2m_diff,-91.01401769593996,18.172999525999458,-126.63244225796237,-55.395593133917544
11,North,4,ricardian,30.43084849989053,18.946965662083734,-6.7045218141106915,67.56621881389175
11,North,4,ph2m_diff,-51.47956562140895,40.339618963931095,-130.54376594078286,27.584634697964958
11,North,4,wh2m_diff,-67.63128113091096,34.70821151319559,-135.65812566457276,0.39556340275085233
11,North,5,ricardian,57.79916773303779,23.465871231649157,11.806905253150887,103.7914302129247
11,North,5,ph2m_diff,-115.38926471796186,46.032042283933066,-205.61040972929555,-25.16811970662816
11,North,5,wh2m_diff,-111.9403389286021,46.563463792935785,-203.20305095819106,-20.67762689901315
11,North,6,ricardian,71.13971253555354,33.47996835066763,5.520180364704103,136.75924470640297
11,North,6,ph2m_diff,-144.34480265673497,65.94864003394177,-273.60176195265717,-15.087843360812741
11,North,6,wh2m_diff,-135.28048012015248,65.94515387465309,-264.5306066694245,-6.030353570880436
11,North,7,ricardian,117.27050669007457,18.810060628413474,80.4034653113693,154.13754806877984
11,North,7,ph2m_diff,-227.72363176952132,36.899443343532084,-300.04521177242043,-155.4020517666222
11,North,7,wh2m_diff,-233.01781825589796,37.52531891840258,-306.56609184434654,-159.46954466744938
11,North,8,ricardian,67.0258219052136,17.454519678023658,32.815591968841574,101.23605184158563
11,North,8,ph2m_diff,-141.2595184375997,34.46678429608331,-208.8131743208337,-73.70586255436568
11,North,8,wh2m_diff,-122.25132579129544,34.70171761786308,-190.26544252398617,-54.23720905860472
11,North,9,ricardian,92.49023185725125,16.76555824920833,59.63034150809452,125.35012220640797
11,North,9,ph2m_diff,-187.28748044958058,34.64154766473279,-255.18366624118448,-119.3912946579767
11,North,9,wh2m_diff,-176.1414235975172,31.67099241172158,-238.21542807913283,-114.06741911590154
11,North,10,ricardian,-14.789007102513605,13.899726091598685,-42.03196963701872,12.453955431991506
11,North,10,ph2m_diff,17.543642471097414,28.589090373143073,-38.489945011023785,73.57722995321862
11,North,10,wh2m_diff,40.30779487423362,26.243272821051676,-11.128074691486525,91.74366443995376
11,North,11,ricardian,16.237474203635692,23.875552951272386,-30.55774969183718,63.032698099108565
11,North,11,ph2m_diff,-35.32000740895779,49.9194137880189,-133.16026056282703,62.52024574491145
11,North,11,wh2m_diff,-28.880819669203035,44.15822188027227,-115.42934417586528,57.66770483745921
11,North,12,ricardian,-17.225740142927446,13.678358043208558,-44.03482927525999,9.583348989405096
11,North,12,ph2m_diff,39.76320001590569,30.221708867816396,-19.47026091626922,98.9966609480806
11,North,12,wh2m_diff,28.1927398531845,23.906411146368967,-18.662964993305586,75.04844469967458
11,North,13,ricardian,-23.769722356051815,14.175894250311831,-51.55396453531144,4.014519823207802
11,North,13,ph2m_diff,45.73477630535614,29.47355555621444,-12.032331081164557,103.50188369187684
11,North,13,wh2m_diff,47.2923869780908,26.505070564062596,-4.656596735164619,99.24137069134622
11,North,14,ricardian,11.006236883251141,13.978321097682358,-16.390769032542675,38.40324279904496
11,North,14,ph2m_diff,-23.523535128852814,28.90218043421208,-80.17076785458671,33.12369759688109
11,North,14,wh2m_diff,-20.207905940661504,26.22249383578917,-71.60304944363185,31.187237562308844
11,North,15,ricardian,4.387692987814184,13.593309510228245,-22.25470408293898,31.030090058567346
11,North,15,ph2m_diff,-2.8789589692868915,29.232508012671527,-60.173621851901636,54.41570391332785
11,North,15,wh2m_diff,-14.264903677590475,24.38069470431955,-62.05018721612321,33.52037986094226
11,North,16,ricardian,44.03633422006297,11.953403417692659,20.608094028707367,67.46457441141857
11,North,16,ph2m_diff,-94.09529011707886,24.74833011815552,-142.60112582617157,-45.589454407986146
