level,frequency,group,outcome,horizon,n_obs,estimate,std_error,ci_low,ci_high,p_value,shock_sd,irf_pos_1sd,irf_neg_1sd,inference,model_id
state,quarterly,11,consumption_index,0,23,0.32627741776504104,0.25819287366900723,-0.1797806146262131,0.8323354501562952,0.20633899995462923,0.1134395615862862,0.037012767226771805,-0.037012767226771805,newey-west,state_11_consumption_index
state,quarterly,12,consumption_index,0,23,0.15172894389616942,0.16840844497656804,-0.17835160825790392,0.48180949605024276,0.36761062549353674,0.1134395615862862,0.017212064875531674,-0.017212064875531674,newey-west,state_12_consumption_index
state,quarterly,13,consumption_index,0,23,0.25413666050540923,0.20781382417557698,-0.15317843487872163,0.6614517558895401,0.22136540562086005,0.1134395615862862,0.028829151350736475,-0.028829151350736475,newey-west,state_13_consumption_index
state,quarterly,14,consumption_index,0,23,0.15468294821084522,0.12041360072773069,-0.08132770921550694,0.39069360563719735,0.1989331535028267,0.1134395615862862,0.017547165829912493,-0.017547165829912493,newey-west,state_14_consumption_index
state,quarterly,15,consumption_index,0,23,0.06948920135531764,0.08220807660031848,-0.09163862878130657,0.23061703149194185,0.39795209161423983,0.1134395615862862,0.007882824536728398,-0.007882824536728398,newey-west,state_15_consumption_index
state,quarterly,16,consumption_index,0,23,0.23111587069586154,0.26002231114477936,-0.27852785914790595,0.7407596005396291,0.37409395437836146,0.1134395615862862,0.02621768304737134,-0.02621768304737134,newey-west,state_16_consumption_index
state,quarterly,17,consumption_index,0,23,-0.030134425569583734,0.060565336645837776,-0.14884248539542577,0.0885736342562583,0.6187995962465709,0.1134395615862862,-0.0034184360252681512,0.0034184360252681512,newey-west,state_17_consumption_index
state,quarterly,21,consumption_index,0,23,0.05766903501606862,0.06568985001627446,-0.07108307101582931,0.18642114104796656,0.3799986858096185,0.1134395615862862,0.006541950049327012,-0.006541950049327012,newey-west,state_21_consumption_index
state,quarterly,22,consumption_index,0,23,0.09519382981513419,0.10668586417994308,-0.11391046397755425,0.3042981236078226,0.3722420330390588,0.1134395615862862,0.010798746319948363,-0.010798746319948363,newey-west,state_22_consumption_index
state,quarterly,23,consumption_index,0,23,0.26717240296617867,0.21491963506464565,-0.15407008176052678,0.6884148876928842,0.2138210346565883,0.1134395615862862,0.0303079202604379,-0.0303079202604379,newey-west,state_23_consumption_index
state,quarterly,24,consumption_index,0,23,0.087890095640389,0.09228718571941216,-0.09299278836965885,0.26877297965043684,0.3409173418343381,0.1134395615862862,0.009970213917222491,-0.009970213917222491,newey-west,state_24_consumption_index
state,quarterly,25,consumption_index,0,23,0.226031345327023,0.11777166294689129,-0.00480111404888392,0.45686380470292987,0.05495476342472583,0.1134395615862862,0.025640896718655947,-0.025640896718655947,newey-west,state_25_consumption_index
state,quarterly,26,consumption_index,0,23,0.11027225978568711,0.10863470958161223,-0.10265177099427286,0.3231962905656471,0.31007059557663696,0.1134395615862862,0.012509236805217403,-0.012509236805217403,newey-west,state_26_consumption_index
state,quarterly,27,consumption_index,0,23,0.15117543785995635,0.1927490095003389,-0.22661262076070793,0.5289634964806207,0.43285682641007805,0.1134395615862862,0.0171492753934483,-0.0171492753934483,newey-west,state_27_consumption_index
state,quarterly,28,consumption_index,0,23,0.11907867772245936,0.12032302858684722,-0.11675445830776118,0.3549118137526799,0.32234118882978025,0.1134395615862862,0.013508232995110454,-0.013508232995110454,newey-west,state_28_consumption_index
state,quarterly,29,consumption_index,0,23,0.16963335812607433,0.13050904520372997,-0.08616437047323638,0.42543108672538504,0.19367556424514243,0.1134395615862862,0.01924313377623135,-0.01924313377623135,newey-west,state_29_consumption_index
state,quarterly,31,consumption_index,0,23,0.07411750337051833,0.07897453068756406,-0.08067257677710722,0.2289075835181439,0.3479881262753095,0.1134395615862862,0.008407857088221688,-0.008407857088221688,newey-west,state_31_consumption_index
state,quarterly,32,consumption_index,0,23,0.15288039414942745,0.07742528722759293,0.001126831183345306,0.30463395711550956,0.048318807769405225,0.1134395615862862,0.017342684887449684,-0.017342684887449684,newey-west,state_32_consumption_index
state,quarterly,33,consumption_index,0,23,0.12286414111238247,0.07412089521679278,-0.022412813512531382,0.26814109573729633,0.09739456414093683,0.1134395615862862,0.01393765430246427,-0.01393765430246427,newey-west,state_33_consumption_index
state,quarterly,35,consumption_index,0,23,0.13236450241249367,0.0941264319063589,-0.05212330412396976,0.3168523089489571,0.15965240077337706,0.1134395615862862,0.015015371123260204,-0.015015371123260204,newey-west,state_35_consumption_index
state,quarterly,41,consumption_index,0,23,0.039409918417413474,0.043298216221628966,-0.045454585376979294,0.12427442221180623,0.36271848100363435,0.1134395615862862,0.00447064386742269,-0.00447064386742269,newey-west,state_41_consumption_index
state,quarterly,42,consumption_index,0,23,-0.045530603760732306,0.06166739214693266,-0.16639869236872032,0.07533748484725572,0.4603167174842162,0.1134395615862862,-0.0051649717293763865,0.0051649717293763865,newey-west,state_42_consumption_index
state,quarterly,43,consumption_index,0,23,0.032136097701185536,0.08379213237288226,-0.1320964817496637,0.19636867715203477,0.7013330134123024,0.1134395615862862,0.0036455048343165468,-0.0036455048343165468,newey-west,state_43_consumption_index
state,quarterly,50,consumption_index,0,23,0.07729283682744645,0.07251915473884363,-0.06484470646068705,0.21943038011557994,0.28650207961257257,0.1134395615862862,0.00876806552346588,-0.00876806552346588,newey-west,state_50_consumption_index
state,quarterly,51,consumption_index,0,23,0.006236314272272017,0.0760535143304211,-0.14282857381535335,0.15530120235989736,0.9346474861764051,0.1134395615862862,0.0007074447569608371,-0.0007074447569608371,newey-west,state_51_consumption_index
state,quarterly,52,consumption_index,0,23,0.12730851192331002,0.06321602249802924,0.0034051078271727236,0.2512119160194473,0.04402374766070505,0.1134395615862862,0.014441821778782778,-0.014441821778782778,newey-west,state_52_consumption_index
state,quarterly,53,consumption_index,0,23,0.2044691130031774,0.13038233731012694,-0.051080268124671396,0.46001849413102625,0.11682814513121875,0.1134395615862862,0.023194886537017255,-0.023194886537017255,newey-west,state_53_consumption_index
state,quarterly,11,consumption_index,1,22,0.02043785317806851,0.09994110024913798,-0.17544670331024192,0.21632240966637895,0.8379635880801892,0.1134395615862862,0.0023184611042849777,-0.0023184611042849777,newey-west,state_11_consumption_index
state,quarterly,12,consumption_index,1,22,-0.2158438299527728,0.12471830804757869,-0.46029171372602706,0.02860405382048145,0.08351407912493669,0.1134395615862862,-0.024485229440947453,0.024485229440947453,newey-west,state_12_consumption_index
