horizon,agent_type,estimate,conf_low,conf_high
0,Ricardian,-0.05033856844468347,-0.49701250896674165,0.3963353720773747
0,PH2M,0.07596456747198128,-0.45168406054156623,0.6036131954855288
0,WH2M,-0.14297796074473768,-0.6650425502395589,0.3790866287500836
1,Ricardian,0.0856801253699852,-0.2829115688449354,0.4542718195849058
1,PH2M,0.13282863000929185,-0.3819191489756207,0.6475764089942044
1,WH2M,-0.05512550686899506,-0.4888572829483794,0.3786062692103893
2,Ricardian,0.26168925340884275,-0.2007592562685358,0.7241377630862214
2,PH2M,0.29000496150311983,-0.2493038298909992,0.8293137528972389
2,WH2M,-0.056594153482891985,-0.6102557478376743,0.49706744087189036
3,Ricardian,0.33869690295339067,-0.10649337286112176,0.7838871787679031
3,PH2M,0.26692372641411716,-0.27572828513682573,0.8095757379650601
3,WH2M,0.04194326093266543,-0.5094990595596149,0.5933855814249458
4,Ricardian,0.08918025034137757,-0.28263725097030823,0.46099775165306334
4,PH2M,0.20115928711200043,-0.2711565692866767,0.6734751435106776
4,WH2M,-0.1448935655147754,-0.6303996557718885,0.3406125247423378
5,Ricardian,-0.11573350846277529,-0.5705661764819792,0.3390991595564286
5,PH2M,0.00048656090069626456,-0.5699475974871369,0.5709207192885293
5,WH2M,-0.15532958341947706,-0.7299356653629541,0.419276498524
6,Ricardian,0.18724781231742785,-0.11288052667357282,0.4873761513084285
6,PH2M,0.1590130856397593,-0.24788870811181563,0.5659148793913342
6,WH2M,-0.012262192301777108,-0.4185369538221322,0.39401256921857797
7,Ricardian,0.5324218944052406,0.24571991730675308,0.8191238715037281
7,PH2M,0.3323591625945729,-0.046940264246227215,0.711658589435373
7,WH2M,0.16806798261472833,-0.2300376280078525,0.5661735932373091
8,Ricardian,0.2698337033932691,-0.00646686166324878,0.546134268449787
8,PH2M,0.06984611318490053,-0.25644807993059504,0.3961403063003961
8,WH2M,0.14868601806120874,-0.21631498144872324,0.5136870175711408
9,Ricardian,-0.08409777112820041,-0.3399770899693123,0.17178154771291151
9,PH2M,-0.05344725381029501,-0.3874046749131392,0.28051016729254913
9,WH2M,-0.029797247363698084,-0.3376012616143874,0.2780067668869912
10,Ricardian,0.028915018983758818,-0.15452794155386887,0.2123579795213865
10,PH2M,0.006650582562096347,-0.3290099117097765,0.34231107683396916
10,WH2M,0.030942052094239732,-0.29224565789839213,0.3541297620868716
11,Ricardian,-0.03301690022878893,-0.4607258625667659,0.394692062109188
11,PH2M,-0.1570285669319166,-0.7096237614852445,0.39556662762141137
11,WH2M,0.14746285425169733,-0.37058061923315444,0.6655063277365492
12,Ricardian,0.01893833913736446,-0.33514174947545067,0.3730184277501796
12,PH2M,-0.03760948654549039,-0.47019908200804006,0.39498010891705926
12,WH2M,0.10256020042446734,-0.3538196330710377,0.5589400339199724
13,Ricardian,0.05513765663610456,-0.2853401228673211,0.39561543613953015
13,PH2M,0.009100092541387834,-0.4151040121041141,0.43330419718688973
13,WH2M,0.021364830813503807,-0.42020424357778985,0.4629339052047975
14,Ricardian,-0.007558862320591994,-0.4211888988951921,0.4060711742540081
14,PH2M,-0.03936209789625943,-0.6201582672209504,0.5414340714284315
14,WH2M,0.029624408177034853,-0.44628279402351023,0.50553161037758
15,Ricardian,-0.11979208279435312,-0.49854581474830545,0.25896164915959924
15,PH2M,0.07120608307607097,-0.3930831296452076,0.5354952957973496
15,WH2M,-0.19010578543425727,-0.6568365010924697,0.2766249302239551
16,Ricardian,-0.14544406334662277,-0.4539104450239875,0.16302231833074196
16,PH2M,-0.20596367143389954,-0.56024772339322,0.14832038052542096
16,WH2M,0.032826029814268604,-0.3581237877353941,0.42377584736393126
17,Ricardian,-0.2634078727682373,-0.7873840766902004,0.2605683311537258
17,PH2M,-0.18442604655038652,-0.8056617530431611,0.4368096599423881
17,WH2M,-0.07694014832522514,-0.6931201097263655,0.5392398130759153
18,Ricardian,-0.20069080723513483,-0.5069344424367144,0.10555282796644477
18,PH2M,-0.05425082183422822,-0.45906488017970026,0.35056323651124377
18,WH2M,-0.11561297557081282,-0.5235199298844264,0.2922939787428007
19,Ricardian,0.04176929484156177,-0.22846462138241208,0.31200321106553563
19,PH2M,-0.0030414617366285104,-0.35911675721490405,0.35303383374164704
19,WH2M,0.0531080858362407,-0.2768660811306719,0.38308225280315333
20,Ricardian,0.1612479139278621,-0.09879042089586207,0.42128624875158627
20,PH2M,0.12818476480007673,-0.21051807460399813,0.4668876042041516
20,WH2M,0.03632395567089787,-0.3394906333289355,0.4121385446707312
21,Ricardian,0.33251008066758436,0.028557871920512956,0.6364622894146558
21,PH2M,0.35101876162606194,-0.0510617030360212,0.7530992262881451
21,WH2M,0.0026271720301411228,-0.38232796908800004,0.3875823131482823
22,Ricardian,0.19930586309201828,-0.18872607999727745,0.587337806181314
22,PH2M,0.09700697152869113,-0.4342272779875083,0.6282412210448906
22,WH2M,0.10010142627452888,-0.3591920748395534,0.5593949273886112
23,Ricardian,0.2504263694703703,-0.19133071433444104,0.6921834532751816
23,PH2M,0.30471065927666474,-0.2030351265839706,0.8124564451373001
23,WH2M,-0.030793995649245398,-0.6119151232489799,0.550327131950489
24,Ricardian,0.20458981222630582,-0.1897926688090257,0.5989722932616374
24,PH2M,0.4027284357245958,-0.10283079878485069,0.9082876702340423
24,WH2M,-0.2004864820718247,-0.7021496028334269,0.3011766386897774
