macro_region,mean_peak_response,mean_peak_h,mean_n_significant_horizons
Center-West,0.08158233927667119,4.75,3.0
North,0.06164403477898822,7.714285714285714,2.5714285714285716
Northeast,0.3093612587942979,10.222222222222221,2.7777777777777777
South,-0.08486955204331555,9.0,3.3333333333333335
Southeast,0.04989426863883175,6.25,2.0
