draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,theta_wP_c,theta_wP_d,theta_wP_tp,theta_wW_c,theta_wW_d,theta_wW_b
1056,0.4678669681528611,0.010875008807959436,0.09,0.3669919593449017,-4.828616253855688,-2.9943710391719467,0.08598072943367321,0.08328763776132686,0.5405100041378692,0.12446937637291498,0.04749208249443143,0.734067546726788,1.6095697737587802,0.11128255007185735,0.8467695597371383,0.565474617724499,0.7322223322744725,0.015872658277903805,0.2367475644023805,0.6068076073316768,-0.15744265423135895,-1.0481136171449963,-0.14260299328225656,1.3989781019581047,-1.1726439308074714
913,0.46790849418870184,0.011002062864868626,0.06,0.39690643132383324,-5.044550232375127,-3.060717373932247,0.09377709590874014,0.09106653379367503,0.3585332610872785,0.13544142956081917,0.05211276225666109,0.6552507924779716,0.6154286720176501,0.07972832552086567,0.8929491883742234,0.8109985730389673,0.45519865996278286,0.01,0.22818599392545513,1.4221112581324251,-0.12533972555754963,-0.1964643765370235,0.4415340729815411,-0.36603082151856997,0.8453688639491761
1060,0.4690247022104649,0.010189332764645056,0.06,0.3988353694458198,-4.865289898457258,-3.0294391072572022,0.09209519914994665,0.08939263465486386,0.21957325901898492,0.13578803126293953,0.048402367036953754,0.7108382399617937,0.8207566262197599,0.1988606953273372,0.8965529095742577,0.7860880387241065,0.42001447880752485,0.01,0.2731292082043717,0.5740784035279443,-0.6452091741700966,0.2533149900865887,0.12921265550734118,0.48364793476837054,0.2901595891563127
892,0.46919376488534736,0.0108754398850677,0.06,0.39831832500027964,-5.335379194864242,-3.2311584462123246,0.09674985801081298,0.09403929589574789,0.26035554180222004,0.13671892259592566,0.05678079342570029,0.6250850342702754,0.47744684809602345,0.08496272197260887,0.8894263117252788,0.98,0.3810186491330104,0.01482951800711163,0.1900799863017414,1.381326742745339,-0.024804957813061197,-0.5377359289019751,0.7823226497330007,-0.47490618057462075,0.17753476871354718
5,0.4694196243649135,0.010774447005024654,0.06,0.39864517735988886,-5.305860885370815,-3.6466988229927133,0.09382746444769308,0.09111690233262798,0.3110647148212262,0.13760713420260837,0.050047794692777786,0.6247558783246214,0.41101176042911236,0.07897039812691058,0.9290839035271452,0.8145274250791977,0.5880368826436404,0.03461890473188477,0.27920590535095996,1.375354236380402,-0.18560792383214303,0.27406514253444686,0.6028444353600093,-0.21783230793904307,-0.22904273639899744
138,0.46971640432620115,0.011080587158934365,0.09,0.3686358171672668,-6.000546857430416,-3.9229835104276156,0.09514498426958438,0.09243442215451927,0.4613454410404987,0.12884894860758933,0.061441019931579424,0.6598577726604685,1.066711622296984,0.14551928098116895,0.9780888476529791,0.7985246427004907,0.4136402703052932,0.05195377269592121,0.14100661241296203,-0.14431085555979983,1.7702736012573514,0.9365853830436723,-1.1390250072834007,1.4382445336755922,-0.4871979079612756
596,0.4699314537078818,0.010866837214333406,0.06,0.3990646164935484,-5.789235086637538,-4.456106004940776,0.09546843686867768,0.09275787475361257,0.22557115049307058,0.14035195953738933,0.05058491419996604,0.6634253521881338,0.5451723930332771,0.15523146680799565,0.928057671933346,0.5517137115623324,0.7569643113823036,0.06902792540773993,0.316354054375921,0.9138757320027898,-1.1132121051313468,0.404833236750144,0.6608871830614682,0.32635901651000393,-0.13128064215763727
334,0.47021109390570376,0.011822399476611902,0.06,0.39838869442909186,-6.297811613830179,-4.569231745277071,0.10019387967952567,0.09748331756446058,0.3058904902451643,0.14111483843927916,0.05927292091977218,0.6584237476757799,0.7179765384003968,0.09553384760819073,0.8447213706162242,0.6344777323128146,0.45427756242382455,0.07041094374501404,0.22033517128352534,2.0,0.5314113921916394,0.7825980795962869,1.4771458072442551,1.1117189849631437,-0.47220119008352524
469,0.47049519945857615,0.011149224437885458,0.06,0.3993459750206907,-5.769421481059725,-4.562512793926182,0.09494809824108563,0.09223753612602055,0.3202915711149339,0.14066852287278592,0.04922767360938537,0.6333557721528328,0.4089901123819902,0.11699714352083126,0.8813849213802438,0.6410414374688786,0.5828594416203023,0.07445848729015768,0.34099553680195993,0.739926802133281,-0.023749628983469204,-0.018256298941585612,2.0,-1.7005468695799308,-0.574166609393462
934,0.47078836004022684,0.010380843569043561,0.09,0.37040751647118325,-5.138676835890577,-3.2653663498434544,0.0887528774397048,0.08604231532463968,0.4684539607865734,0.12657659412456715,0.05092916075484244,0.6625191187900759,0.6347327488259908,0.2554951308377508,0.99,0.9314464684741794,0.39874919755489646,0.025609469368264533,0.21109602424197532,0.5299438671755423,0.8956227643655846,-0.14626027403750624,0.9331011012136345,0.46463207215405883,-0.9981167844203847
350,0.4709189505446847,0.00972045703021624,0.09,0.3711984935144685,-5.039005234120862,-3.482333181427521,0.08659470491229723,0.08388414279723214,0.3962240761013015,0.12718753943380198,0.04600187039079248,0.6393387233387803,0.5619648393639095,0.14509606143201695,0.8632432808547779,0.771606623089288,0.5562732332975686,0.03744418347675313,0.2838647783147064,1.955637073611741,-0.10311527939219853,0.7076026858315237,1.3356220403844148,-0.88034519609206,-0.6612822175581144
119,0.47151545762476005,0.010624049293799172,0.06,0.4008914083309609,-5.151052163075816,-3.426367022943709,0.0936854921147268,0.0909749299996617,0.24799655887623331,0.13785165982931624,0.04951932440013736,0.7406112813805295,1.3086727088913501,0.06894247676830104,0.893994267674123,0.98,0.6519021791371553,0.024936366143123615,0.28372041922443453,1.0011996138490524,0.1691735204364943,-0.41920826159089786,0.9464077583795593,-0.9588314251660282,0.08107407112084923
188,0.47155996224663344,0.011219647838908796,0.06,0.40034031440772466,-6.072416271997203,-5.107127216678883,0.09622375809598521,0.09351319598092012,0.2400852873804027,0.14280535668808172,0.04964215950388867,0.6735241280051665,0.5258115905957804,0.21532334413032803,0.9123704189132892,0.7436934776408193,0.4802205257744743,0.09871064879151413,0.3694346612208387,0.5099240924378464,-0.02546028604746493,0.054094096600543845,0.40825593369004154,-0.03341103158999658,0.0031937162710202922
