label,loss,mse,sign_penalty,persistence_penalty,impact_ph_model,impact_wh_model,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
baseline,0.07191139321642946,0.020861562942143724,0.04,0.011049830274285737,-0.05224461166572111,-0.044190535411785574,0.73,0.7,0.13,0.9,0.8,0.5,0.05,0.26826666666666665
tuned_best,0.04697984520858797,0.0023582338843315563,0.04,0.004621611324256416,-0.03238823552724029,-0.032286662317463494,0.4598126319085204,1.4669556636657184,0.17436663808356945,0.9000321175202491,0.4037608391314957,0.3305594409604514,0.16777799291617346,0.32755727601055645
relative_improvement,0.3466981641254786,,,,,,,,,,,,,
